displayName,printYear,author,printLocation,category,source,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,displayNameEnglish,authorEnglish,categoryEnglish,printLocationEnglish,underwentBerelUnflagging,fileName,notHumanReviewed
אחיעזר חלק אבן העזר,1922,רבי חיים עוזר גרודזינסקי,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/achiezer/achiezer__text_files.zip,https://files.dicta.org.il/achiezer/achiezer__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer/achiezer__ocr_data_html_files.zip,achiezer_EGT,Achiezer Even Haezer,Chaim Ozer Grodzinski,Responsa,Vilna,,achiezer,
אחיעזר חלק חלק ג,1922,רבי חיים עוזר גרודזינסקי,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/achiezer3/achiezer3__text_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__ocr_data_html_files.zip,achiezer3_EGT,Achiezer part 3,Chaim Ozer Grodzinski,Responsa,Vilna,,achiezer3,
אפיקי ים חלק א,1905,רבי יחיאל מיכל רבינוביץ,וילנא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/afikeiyam1/afikeiyam1__text_files.zip,https://files.dicta.org.il/afikeiyam1/afikeiyam1__nikud_meteg_files.zip,https://files.dicta.org.il/afikeiyam1/afikeiyam1__ocr_data_html_files.zip,afikeiyam1_EGT,Afikei Yam part 1,Rabbi Yechiel Michal Rabinowitz,Chiddushim by Topic,Vilna,,afikeiyam1,
אגודת אזוב אורח חיים,1885,רבי משה זאב וולף מרגליות,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__text_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__ocr_data_html_files.zip,aggudatezovorachchayim,Aggudat Ezov Orach Chayim,Rabbi Moshe Ze'ev Wolf of Margaliot,Responsa,Vilna,,aggudatezovorachchayim,
אגודת אזוב יורה דעה,1885,רבי משה זאב וולף מרגליות,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__text_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__ocr_data_html_files.zip,aggudatezovyorehdeah,Aggudat Ezov Yoreh Deah,Rabbi Moshe Ze'ev Wolf of Margaliot,Responsa,Vilna,,aggudatezovyorehdeah,
אגודת אזוב מדברי,1879,ר' מיכאל דב ויינגוט,פיוטרקוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/agudasezovmidivri/agudasezovmidivri__text_files.zip,https://files.dicta.org.il/agudasezovmidivri/agudasezovmidivri__nikud_meteg_files.zip,https://files.dicta.org.il/agudasezovmidivri/agudasezovmidivri__ocr_data_html_files.zip,agudasezovmidivri,Agudas Ezov miDivri,Michiel Dov Ben Issachar Weingot,Acharonim on Talmud Bavli,Petrikow,,agudasezovmidivri,
אהבת עולם,1903,ר' דוד יוסף פרחי,ירושלים,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/ahavatolam/ahavatolam__text_files.zip,https://files.dicta.org.il/ahavatolam/ahavatolam__nikud_meteg_files.zip,https://files.dicta.org.il/ahavatolam/ahavatolam__ocr_data_html_files.zip,ahavatolam,Ahavat Olam,Rabbi David Yosef Perahi,Derashot,Jerusalem,,ahavatolam,
אלפא ביתא,1878,ר' צבי הירש מנדבורנא,וורשה,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/alfabeita/alfabeita__text_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__nikud_meteg_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__ocr_data_html_files.zip,alfabeita_EGT,Alfa Beita,R. Zvi Hirsch of Ndvorna,Sifrei Chasidut,Warsaw,,alfabeita,
עמודיה שבעה,1888,בצלאל בן שלמה מקוברין,לבוב,דרשות,ספריית דיקטה,https://files.dicta.org.il/amudehashivah/amudehashivah__text_files.zip,https://files.dicta.org.il/amudehashivah/amudehashivah__nikud_meteg_files.zip,https://files.dicta.org.il/amudehashivah/amudehashivah__ocr_data_html_files.zip,amudehashivah,Amudeha shivah,Bezalel ben Shlomo of Kobrin,Derashot,Lvov,,amudehashivah,
עמוד העבודה,1884,ברוך בן אברהם מקוסוב,יוזפוב,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/amudhaavodah/amudhaavodah__text_files.zip,https://files.dicta.org.il/amudhaavodah/amudhaavodah__nikud_meteg_files.zip,https://files.dicta.org.il/amudhaavodah/amudhaavodah__ocr_data_html_files.zip,amudhaavodah,Amud haAvodah,"Kasber, Baruch",Sifrei Chasidut,Jozefow,,amudhaavodah,
ארצות י-הודה,1887,"דבורץ, יהודה ליב בן שלום",וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/artzosyehudah/artzosyehudah__text_files.zip,https://files.dicta.org.il/artzosyehudah/artzosyehudah__nikud_meteg_files.zip,https://files.dicta.org.il/artzosyehudah/artzosyehudah__ocr_data_html_files.zip,artzosyehudah,Artzos Yehudah,Yehudah Leib Daboretz,Responsa,Vilna,,artzosyehudah,
ערוך לנר ראש השנה,1875,הרב יעקב יוקב אֶטלינגר,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__text_files.zip,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__ocr_data_html_files.zip,aruchlanerroshhashanah_EGT,Aruch Laner Rosh Hashanah,Yaakov Etlinger,Acharonim on Talmud Bavli,Warsaw,,aruchlanerroshhashanah,
ערוך לנר סנהדרין,1875,הרב יעקב יוקב אֶטלינגר,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__text_files.zip,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__ocr_data_html_files.zip,aruchlanersanhedrin_EGT,Aruch Laner Sanhedrin,Yaakov Etlinger,Acharonim on Talmud Bavli,Warsaw,,aruchlanersanhedrin,
ערוך לנר יבמות,1891,הרב יעקב יוקב אֶטלינגר,ירושלים,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/aruchlaneryevamot/aruchlaneryevamot__text_files.zip,https://files.dicta.org.il/aruchlaneryevamot/aruchlaneryevamot__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlaneryevamot/aruchlaneryevamot__ocr_data_html_files.zip,aruchlaneryevamot,Aruch La-Ner (Yevamot),Yaakov Etlinger,Acharonim on Talmud Bavli,Jerusalem,,aruchlaneryevamot,
אספת גאונים,1895,"רבי יעקב מלובלין, רבי העשיל מקראקא, חלקת מחוקק",לובלין,"שו""ת",,https://files.dicta.org.il/asefatgeonim/asefatgeonim__text_files.zip,https://files.dicta.org.il/asefatgeonim/asefatgeonim__nikud_meteg_files.zip,https://files.dicta.org.il/asefatgeonim/asefatgeonim__ocr_data_html_files.zip,asefatgeonim_EGT,Asefat Geonim,"rabbi yaakov lublin, rabbi heschel mikraka, Chelkat Mechokek",Responsa,Lublin,,asefatgeonim,
אשר לשלמה,1906,רבי שלמה בן משה אבן דנאן,ירושלים,"שו""ת",,https://files.dicta.org.il/asherlishlomo/asherlishlomo__text_files.zip,https://files.dicta.org.il/asherlishlomo/asherlishlomo__nikud_meteg_files.zip,https://files.dicta.org.il/asherlishlomo/asherlishlomo__ocr_data_html_files.zip,asherlishlomo_EGT,Asher LiShlomo,Shlomo Ibn Danan,Responsa,Jerusalem,,asherlishlomo,
עשירית האיפה חלק א,1927,"וואלפיש, ירוחם יהודה ליב בן אהרן",פיוטרקוב,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/asirithaefah1/asirithaefah1__text_files.zip,https://files.dicta.org.il/asirithaefah1/asirithaefah1__nikud_meteg_files.zip,https://files.dicta.org.il/asirithaefah1/asirithaefah1__ocr_data_html_files.zip,asirithaefah1,Asirit ha-efah part 1,"Volfish, Yeruham Yehudah Leyb ben Aharon",Acharonim on Talmud Bavli,Piotrkow,,asirithaefah1,
עטרת חכמים חלק א,1866,הרב ברוך פרנקל תאומים,יוזפוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__text_files.zip,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__ocr_data_html_files.zip,ateretchachamim1,Ateret Chachamim part 1,"Frankel-Teumim, Boruch",Responsa,Jozefow,,ateretchachamim1,
עטרת חכמים חלק ב,1866,הרב ברוך פרנקל תאומים,יוזפוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__text_files.zip,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__ocr_data_html_files.zip,ateretchachamim2,Ateret Chachamim part 2,"Frankel-Teumim, Boruch",Acharonim on Talmud Bavli,Jozefow,,ateretchachamim2,
אתוון דאורייתא,1891,ר' יוסף ענגיל,לבוב,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/atvandeoraita/atvandeoraita__text_files.zip,https://files.dicta.org.il/atvandeoraita/atvandeoraita__nikud_meteg_files.zip,https://files.dicta.org.il/atvandeoraita/atvandeoraita__ocr_data_html_files.zip,atvandeoraita_EGT,Atvan De-Oraita,Rabbi Yosef Engil,Chiddushim by Topic,Lʹviv,,atvandeoraita,
עצי ברושים,1903,הרב שלמה כהן,וילנא,"שו""ת",,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__text_files.zip,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__nikud_meteg_files.zip,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__ocr_data_html_files.zip,atzeibroshimversion1,Atse beroshim,harav shlomo cohen,Responsa,Vilnius,,atzeibroshimversion1,
עצי חיים על מועדים,1934,"טייטלבוים, חיים צבי בן חנניה יום טוב ליפא",סיגט,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/atzeichaimmoadim/atzeichaimmoadim__text_files.zip,https://files.dicta.org.il/atzeichaimmoadim/atzeichaimmoadim__nikud_meteg_files.zip,https://files.dicta.org.il/atzeichaimmoadim/atzeichaimmoadim__ocr_data_html_files.zip,atzeichaimmoadim,Atzei Chaim Moadim,"Teitelbaum, Chaim Tzvi",Derashot,Sighet,,atzeichaimmoadim,
עצמות יוסף על קידושין,1883,רבי יוסף אבן עזרא,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__text_files.zip,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__nikud_meteg_files.zip,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__ocr_data_html_files.zip,atzmotyosefkiddushin_EGT,Atzmot Yosef (Kiddushin),Josef ben Isaac ibn Ezra,Acharonim on Talmud Bavli,Warsaw,,atzmotyosefkiddushin,
אב בחכמה,1927,"יודלביץ, אברהם אהרן בן בנימין בונם",ניו יורק,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/avbehokhmah/avbehokhmah__text_files.zip,https://files.dicta.org.il/avbehokhmah/avbehokhmah__nikud_meteg_files.zip,https://files.dicta.org.il/avbehokhmah/avbehokhmah__ocr_data_html_files.zip,avbehokhmah,Av be-hokhmah,"Yudelovits, Avraham Aharon ben B",Halachah and Minhagim,New York,,avbehokhmah,
אבי הנחל,1854,"שפירא, יהושע איזיק בן יחיאל",קניגסברג,דרשות,ספריית דיקטה,https://files.dicta.org.il/avihanachal/avihanachal__text_files.zip,https://files.dicta.org.il/avihanachal/avihanachal__nikud_meteg_files.zip,https://files.dicta.org.il/avihanachal/avihanachal__ocr_data_html_files.zip,avihanachal,Avi haNachal,Yehoshua Izaik bar Yehiel Shapiro,Derashot,Koenigsberg,,avihanachal,
אבקת רוכל,1859,רבי יוסף בן אפרים קארו,לייפציג,"שו""ת",,https://files.dicta.org.il/avkatrochel/avkatrochel__text_files.zip,https://files.dicta.org.il/avkatrochel/avkatrochel__nikud_meteg_files.zip,https://files.dicta.org.il/avkatrochel/avkatrochel__ocr_data_html_files.zip,avkatrochel_EGT,Avkat Rochel,Joseph Karo,Responsa,Leipzig,,avkatrochel,
