שם הקובץ,נתיב הקובץ,תיקיית המקור
מלחמת היהודים.txt,אוצריא/ספרות עזר/תולדות עם ישראל/יוסף בן מתתיהו/מלחמת היהודים.txt,Ben-Yehuda
חיי יוסף.txt,אוצריא/ספרות עזר/תולדות עם ישראל/יוסף בן מתתיהו/חיי יוסף.txt,Ben-Yehuda
חידושי מהראל על השס.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי מהראל על השס.txt,Dicta
צלח על סדר קדשים.txt,אוצריא/תלמוד בבלי/אחרונים/צלח על סדר קדשים.txt,Dicta
שמחת יום טוב.txt,אוצריא/תלמוד בבלי/אחרונים/שמחת יום טוב.txt,Dicta
ישמח משה על השס.txt,אוצריא/תלמוד בבלי/אחרונים/ישמח משה על השס.txt,Dicta
גרש ירחים.txt,אוצריא/תלמוד בבלי/אחרונים/גרש ירחים.txt,Dicta
כפות תמרים על סוכה.txt,אוצריא/תלמוד בבלי/אחרונים/כפות תמרים על סוכה.txt,Dicta
שערי תורה חלק א.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורה חלק א.txt,Dicta
המקנה על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/המקנה על קידושין.txt,Dicta
קובץ הערות.txt,אוצריא/תלמוד בבלי/אחרונים/קובץ הערות.txt,Dicta
תורת גיטין על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/תורת גיטין על גיטין.txt,Dicta
חידוד הלכות על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/חידוד הלכות על נדה.txt,Dicta
מעיני החכמה על סדר נזיקין.txt,אוצריא/תלמוד בבלי/אחרונים/מעיני החכמה על סדר נזיקין.txt,Dicta
דבש תמר - ב (ראש).txt,אוצריא/תלמוד בבלי/אחרונים/דבש תמר - ב (ראש).txt,Dicta
משמרות כהונה על סדר נזיקין.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה על סדר נזיקין.txt,Dicta
משמרות כהונה חלק א.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה חלק א.txt,Dicta
משמרות כהונה חלק ג.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה חלק ג.txt,Dicta
