ref,line_index
"Jewish Legal Writings by Women, Hebrew Section; IV THE INDIVIDUAL 1",22
"Jewish Legal Writings by Women, Hebrew Section; IV THE INDIVIDUAL 2",23
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 1",25
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 2",26
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 3",27
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 4",28
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 5",29
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 6",30
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 7",31
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 8",32
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 9",33
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 10",34
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 11",35
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 12",36
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 13",37
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 14",38
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 15",39
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 16",40
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 17",41
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 18",42
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 19",43
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 20",44
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 21",45
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 22",46
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 23",47
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 24",48
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 25",49
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 26",50
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 27",51
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 28",52
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 29",53
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 30",54
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 31",55
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 32",56
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 33",57
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 34",58
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 35",59
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 36",60
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 37",61
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 38",62
"Jewish Legal Writings by Women, The Blessings of Shelo Asani Isha and She'asani Kirtzono 39",63
