ref,line_index
"Charedim, Introduction 1",4
"Charedim, Introduction 2",5
"Charedim, Introduction 3",6
"Charedim, Introduction 4",7
"Charedim, Introduction 5",8
"Charedim, Introduction 6",9
"Charedim, Introduction 7",10
"Charedim, Introduction 8",11
"Charedim, Introduction 9",12
"Charedim, Introduction 10",13
"Charedim, Introduction 11",14
"Charedim, Introduction 12",15
"Charedim, Introduction 13",16
"Charedim, Introduction 14",17
"Charedim, Introduction 15",18
"Charedim, Introduction 16",19
"Charedim, Introduction 17",20
"Charedim, Introduction 18",21
"Charedim, Introduction 19",22
"Charedim, Introduction 20",23
"Charedim, Introduction 21",24
"Charedim, Introduction 22",25
"Charedim, Introduction 23",26
"Charedim, Introduction 24",27
"Charedim, Introduction 25",28
"Charedim, Introduction 26",29
"Charedim, Introduction 27",30
"Charedim, Introduction 28",31
"Charedim, Introduction 29",32
"Charedim, Introduction 30",33
"Charedim, Introduction 31",34
"Charedim, Introduction 32",35
"Charedim, Introduction 33",36
"Charedim, Introduction 34",37
"Charedim, Introduction 35",38
"Charedim, Introduction 36",39
"Charedim, Introduction 37",40
"Charedim, Introduction 38",41
"Charedim, Introduction 39",42
"Charedim, Introduction 40",43
"Charedim, Introduction 41",44
"Charedim, Introduction 42",45
"Charedim, Introduction 43",46
"Charedim, Introduction 44",47
"Charedim, Introduction 45",48
"Charedim, Introduction 46",49
"Charedim, Introduction 47",50
"Charedim, Knowledge of God 1:1",53
"Charedim, Knowledge of God 2:1",55
"Charedim, Knowledge of God 2:2",56
"Charedim, Knowledge of God 3:1",58
"Charedim, Knowledge of God 4:1",60
"Charedim, Knowledge of God 5:1",62
"Charedim, Knowledge of God 5:2",63
"Charedim, Knowledge of God 5:3",64
"Charedim, Knowledge of God 5:4",65
"Charedim, Knowledge of God 5:5",66
"Charedim, Knowledge of God 5:6",67
"Charedim, Knowledge of God 5:7",68
"Charedim, Knowledge of God 5:8",69
"Charedim, Knowledge of God 5:9",70
"Charedim, Knowledge of God 5:10",71
"Charedim, Knowledge of God 5:11",72
"Charedim, Knowledge of God 5:12",73
"Charedim, Knowledge of God 6:1",75
"Charedim, Knowledge of God 6:2",76
"Charedim, Knowledge of God 6:3",77
"Charedim, Knowledge of God 6:4",78
"Charedim, Knowledge of God 6:5",79
"Charedim, Knowledge of God 6:6",80
"Charedim, Knowledge of God 6:7",81
"Charedim, Knowledge of God 6:8",82
"Charedim, Knowledge of God 7:1",84
"Charedim, Knowledge of God 7:2",85
"Charedim, Knowledge of God 7:3",86
"Charedim, Knowledge of God 8:1",88
"Charedim, Positive Commandments 1:1",91
"Charedim, Positive Commandments 1:2",92
"Charedim, Positive Commandments 1:3",93
"Charedim, Positive Commandments 1:4",94
"Charedim, Positive Commandments 1:5",95
"Charedim, Positive Commandments 1:6",96
"Charedim, Positive Commandments 1:7",97
"Charedim, Positive Commandments 1:8",98
"Charedim, Positive Commandments 1:9",99
"Charedim, Positive Commandments 1:10",100
"Charedim, Positive Commandments 1:11",101
"Charedim, Positive Commandments 1:12",102
"Charedim, Positive Commandments 1:13",103
"Charedim, Positive Commandments 1:14",104
"Charedim, Positive Commandments 1:15",105
"Charedim, Positive Commandments 1:16",106
"Charedim, Positive Commandments 1:17",107
"Charedim, Positive Commandments 1:18",108
"Charedim, Positive Commandments 1:19",109
"Charedim, Positive Commandments 1:20",110
"Charedim, Positive Commandments 1:21",111
"Charedim, Positive Commandments 1:22",112
"Charedim, Positive Commandments 1:23",113
"Charedim, Positive Commandments 1:24",114
"Charedim, Positive Commandments 1:25",115
"Charedim, Positive Commandments 1:26",116
"Charedim, Positive Commandments 1:27",117
"Charedim, Positive Commandments 1:28",118
"Charedim, Positive Commandments 1:29",119
"Charedim, Positive Commandments 1:30",120
"Charedim, Positive Commandments 1:31",121
"Charedim, Positive Commandments 1:32",122
"Charedim, Positive Commandments 1:33",123
"Charedim, Positive Commandments 1:34",124
"Charedim, Positive Commandments 1:35",125
"Charedim, Positive Commandments 1:36",126
"Charedim, Positive Commandments 1:37",127
"Charedim, Positive Commandments 1:38",128
"Charedim, Positive Commandments 1:39",129
"Charedim, Positive Commandments 1:40",130
"Charedim, Positive Commandments 1:41",131
"Charedim, Positive Commandments 1:42",132
"Charedim, Positive Commandments 2:1",134
"Charedim, Positive Commandments 2:2",135
"Charedim, Positive Commandments 2:3",136
"Charedim, Positive Commandments 2:4",137
"Charedim, Positive Commandments 3:1",139
"Charedim, Positive Commandments 3:2",140
"Charedim, Positive Commandments 3:3",141
"Charedim, Positive Commandments 3:4",142
"Charedim, Positive Commandments 3:5",143
"Charedim, Positive Commandments 3:6",144
"Charedim, Positive Commandments 3:7",145
"Charedim, Positive Commandments 4:1",147
"Charedim, Positive Commandments 4:2",148
"Charedim, Positive Commandments 4:3",149
"Charedim, Positive Commandments 4:4",150
"Charedim, Positive Commandments 4:5",151
"Charedim, Positive Commandments 4:6",152
"Charedim, Positive Commandments 4:7",153
"Charedim, Positive Commandments 4:8",154
"Charedim, Positive Commandments 4:9",155
"Charedim, Positive Commandments 4:10",156
"Charedim, Positive Commandments 4:11",157
"Charedim, Positive Commandments 4:12",158
"Charedim, Positive Commandments 4:13",159
"Charedim, Positive Commandments 4:14",160
"Charedim, Positive Commandments 4:15",161
"Charedim, Positive Commandments 4:16",162
"Charedim, Positive Commandments 4:17",163
"Charedim, Positive Commandments 4:18",164
"Charedim, Positive Commandments 4:19",165
"Charedim, Positive Commandments 4:20",166
"Charedim, Positive Commandments 4:21",167
"Charedim, Positive Commandments 4:22",168
"Charedim, Positive Commandments 4:23",169
"Charedim, Positive Commandments 4:24",170
"Charedim, Positive Commandments 4:25",171
"Charedim, Positive Commandments 4:26",172
"Charedim, Positive Commandments 4:27",173
"Charedim, Positive Commandments 4:28",174
"Charedim, Positive Commandments 4:29",175
"Charedim, Positive Commandments 4:30",176
"Charedim, Positive Commandments 4:31",177
"Charedim, Positive Commandments 4:32",178
"Charedim, Positive Commandments 4:33",179
"Charedim, Positive Commandments 4:34",180
"Charedim, Positive Commandments 4:35",181
"Charedim, Positive Commandments 4:36",182
"Charedim, Positive Commandments 4:37",183
"Charedim, Positive Commandments 4:38",184
"Charedim, Positive Commandments 4:39",185
"Charedim, Positive Commandments 4:40",186
"Charedim, Positive Commandments 4:41",187
"Charedim, Positive Commandments 4:42",188
"Charedim, Positive Commandments 4:43",189
"Charedim, Positive Commandments 4:44",190
"Charedim, Positive Commandments 4:45",191
"Charedim, Positive Commandments 4:46",192
"Charedim, Positive Commandments 4:47",193
"Charedim, Positive Commandments 4:48",194
"Charedim, Positive Commandments 4:49",195
"Charedim, Positive Commandments 4:50",196
"Charedim, Positive Commandments 4:51",197
"Charedim, Positive Commandments 4:52",198
"Charedim, Positive Commandments 4:53",199
"Charedim, Positive Commandments 4:54",200
"Charedim, Positive Commandments 4:55",201
"Charedim, Positive Commandments 4:56",202
"Charedim, Positive Commandments 4:57",203
"Charedim, Positive Commandments 4:58",204
"Charedim, Positive Commandments 4:59",205
"Charedim, Positive Commandments 4:60",206
"Charedim, Positive Commandments 4:61",207
"Charedim, Positive Commandments 4:62",208
"Charedim, Positive Commandments 4:63",209
"Charedim, Positive Commandments 4:64",210
"Charedim, Positive Commandments 4:65",211
"Charedim, Positive Commandments 4:66",212
"Charedim, Positive Commandments 4:67",213
"Charedim, Positive Commandments 4:68",214
"Charedim, Positive Commandments 4:69",215
"Charedim, Positive Commandments 4:70",216
"Charedim, Positive Commandments 4:71",217
"Charedim, Positive Commandments 4:72",218
"Charedim, Positive Commandments 4:73",219
"Charedim, Positive Commandments 5:1",221
"Charedim, Positive Commandments 5:2",222
"Charedim, Positive Commandments 5:3",223
"Charedim, Positive Commandments 5:4",224
"Charedim, Positive Commandments 5:5",225
"Charedim, Positive Commandments 5:6",226
"Charedim, Positive Commandments 5:7",227
"Charedim, Positive Commandments 5:8",228
"Charedim, Positive Commandments 5:9",229
"Charedim, Positive Commandments 5:10",230
"Charedim, Positive Commandments 5:11",231
"Charedim, Positive Commandments 5:12",232
"Charedim, Positive Commandments 5:13",233
"Charedim, Positive Commandments 5:14",234
"Charedim, Positive Commandments 5:15",235
"Charedim, Positive Commandments 5:16",236
"Charedim, Positive Commandments 5:17",237
"Charedim, Positive Commandments 5:18",238
"Charedim, Positive Commandments 5:19",239
"Charedim, Positive Commandments 5:20",240
"Charedim, Positive Commandments 5:21",241
"Charedim, Positive Commandments 5:22",242
"Charedim, Positive Commandments 5:23",243
"Charedim, Positive Commandments 5:24",244
"Charedim, Positive Commandments 5:25",245
"Charedim, Positive Commandments 5:26",246
"Charedim, Positive Commandments 5:27",247
"Charedim, Positive Commandments 5:28",248
"Charedim, Positive Commandments 5:29",249
"Charedim, Positive Commandments 5:30",250
"Charedim, Positive Commandments 5:31",251
"Charedim, Positive Commandments 5:32",252
"Charedim, Positive Commandments 5:33",253
"Charedim, Positive Commandments 5:34",254
"Charedim, Positive Commandments 5:35",255
"Charedim, Positive Commandments 5:36",256
"Charedim, Positive Commandments 5:37",257
"Charedim, Positive Commandments 5:38",258
"Charedim, Positive Commandments 5:39",259
"Charedim, Positive Commandments 5:40",260
"Charedim, Positive Commandments 5:41",261
"Charedim, Positive Commandments 5:42",262
"Charedim, Positive Commandments 5:43",263
"Charedim, Positive Commandments 5:44",264
"Charedim, Positive Commandments 5:45",265
"Charedim, Positive Commandments 5:46",266
"Charedim, Positive Commandments 5:47",267
"Charedim, Positive Commandments 5:48",268
"Charedim, Positive Commandments 5:49",269
"Charedim, Positive Commandments 5:50",270
"Charedim, Positive Commandments 5:51",271
"Charedim, Positive Commandments 5:52",272
"Charedim, Positive Commandments 5:53",273
"Charedim, Positive Commandments 5:54",274
"Charedim, Positive Commandments 5:55",275
"Charedim, Positive Commandments 5:56",276
"Charedim, Positive Commandments 5:57",277
"Charedim, Positive Commandments 5:58",278
"Charedim, Positive Commandments 5:59",279
"Charedim, Positive Commandments 5:60",280
"Charedim, Positive Commandments 5:61",281
"Charedim, Positive Commandments 5:62",282
"Charedim, Positive Commandments 5:63",283
"Charedim, Positive Commandments 5:64",284
"Charedim, Positive Commandments 5:65",285
"Charedim, Positive Commandments 6:1",287
"Charedim, Positive Commandments 6:2",288
"Charedim, Positive Commandments 6:3",289
"Charedim, Positive Commandments 6:4",290
"Charedim, Positive Commandments 6:5",291
"Charedim, Positive Commandments 6:6",292
"Charedim, Positive Commandments 6:7",293
"Charedim, Positive Commandments 6:8",294
"Charedim, Positive Commandments 6:9",295
"Charedim, Positive Commandments 6:10",296
"Charedim, Positive Commandments 6:11",297
"Charedim, Positive Commandments 6:12",298
"Charedim, Positive Commandments 6:13",299
"Charedim, Positive Commandments 6:14",300
"Charedim, Positive Commandments 6:15",301
"Charedim, Positive Commandments 6:16",302
"Charedim, Positive Commandments 7:1",304
"Charedim, Positive Commandments 7:2",305
"Charedim, Positive Commandments 7:3",306
"Charedim, Positive Commandments 7:4",307
"Charedim, Positive Commandments 7:5",308
"Charedim, Positive Commandments 7:6",309
"Charedim, Positive Commandments 7:7",310
"Charedim, Positive Commandments 7:8",311
"Charedim, Positive Commandments 7:9",312
"Charedim, Positive Commandments 7:10",313
"Charedim, Positive Commandments 7:11",314
"Charedim, Positive Commandments 7:12",315
"Charedim, Positive Commandments 7:13",316
"Charedim, Positive Commandments 7:14",317
"Charedim, Positive Commandments 7:15",318
"Charedim, Negative Commandments 1:1",322
"Charedim, Negative Commandments 1:2",323
"Charedim, Negative Commandments 1:3",324
"Charedim, Negative Commandments 1:4",325
"Charedim, Negative Commandments 1:5",326
"Charedim, Negative Commandments 1:6",327
"Charedim, Negative Commandments 1:7",328
"Charedim, Negative Commandments 1:8",329
"Charedim, Negative Commandments 1:9",330
"Charedim, Negative Commandments 1:10",331
"Charedim, Negative Commandments 1:11",332
"Charedim, Negative Commandments 1:12",333
"Charedim, Negative Commandments 1:13",334
"Charedim, Negative Commandments 1:14",335
"Charedim, Negative Commandments 1:15",336
"Charedim, Negative Commandments 1:16",337
"Charedim, Negative Commandments 1:17",338
"Charedim, Negative Commandments 1:18",339
"Charedim, Negative Commandments 1:19",340
"Charedim, Negative Commandments 1:20",341
"Charedim, Negative Commandments 1:21",342
"Charedim, Negative Commandments 1:22",343
"Charedim, Negative Commandments 1:23",344
"Charedim, Negative Commandments 1:24",345
"Charedim, Negative Commandments 1:25",346
"Charedim, Negative Commandments 1:26",347
"Charedim, Negative Commandments 1:27",348
"Charedim, Negative Commandments 1:28",349
"Charedim, Negative Commandments 1:29",350
"Charedim, Negative Commandments 1:30",351
"Charedim, Negative Commandments 2:1",353
"Charedim, Negative Commandments 2:2",354
"Charedim, Negative Commandments 2:3",355
"Charedim, Negative Commandments 2:4",356
"Charedim, Negative Commandments 2:5",357
"Charedim, Negative Commandments 3:1",359
"Charedim, Negative Commandments 3:2",360
"Charedim, Negative Commandments 3:3",361
"Charedim, Negative Commandments 3:4",362
"Charedim, Negative Commandments 3:5",363
"Charedim, Negative Commandments 4:1",365
"Charedim, Negative Commandments 4:2",366
"Charedim, Negative Commandments 4:3",367
"Charedim, Negative Commandments 4:4",368
"Charedim, Negative Commandments 4:5",369
"Charedim, Negative Commandments 4:6",370
"Charedim, Negative Commandments 4:7",371
"Charedim, Negative Commandments 4:8",372
"Charedim, Negative Commandments 4:9",373
"Charedim, Negative Commandments 4:10",374
"Charedim, Negative Commandments 4:11",375
"Charedim, Negative Commandments 4:12",376
"Charedim, Negative Commandments 4:13",377
"Charedim, Negative Commandments 4:14",378
"Charedim, Negative Commandments 4:15",379
"Charedim, Negative Commandments 4:16",380
"Charedim, Negative Commandments 4:17",381
"Charedim, Negative Commandments 4:18",382
"Charedim, Negative Commandments 4:19",383
"Charedim, Negative Commandments 4:20",384
"Charedim, Negative Commandments 4:21",385
"Charedim, Negative Commandments 4:22",386
"Charedim, Negative Commandments 4:23",387
"Charedim, Negative Commandments 4:24",388
"Charedim, Negative Commandments 4:25",389
"Charedim, Negative Commandments 4:26",390
"Charedim, Negative Commandments 4:27",391
"Charedim, Negative Commandments 4:28",392
"Charedim, Negative Commandments 4:29",393
"Charedim, Negative Commandments 4:30",394
"Charedim, Negative Commandments 4:31",395
"Charedim, Negative Commandments 4:32",396
"Charedim, Negative Commandments 4:33",397
"Charedim, Negative Commandments 4:34",398
"Charedim, Negative Commandments 4:35",399
"Charedim, Negative Commandments 4:36",400
"Charedim, Negative Commandments 4:37",401
"Charedim, Negative Commandments 4:38",402
"Charedim, Negative Commandments 4:39",403
"Charedim, Negative Commandments 4:40",404
"Charedim, Negative Commandments 4:41",405
"Charedim, Negative Commandments 4:42",406
"Charedim, Negative Commandments 4:43",407
"Charedim, Negative Commandments 4:44",408
"Charedim, Negative Commandments 4:45",409
"Charedim, Negative Commandments 4:46",410
"Charedim, Negative Commandments 4:47",411
"Charedim, Negative Commandments 4:48",412
"Charedim, Negative Commandments 4:49",413
"Charedim, Negative Commandments 4:50",414
"Charedim, Negative Commandments 4:51",415
"Charedim, Negative Commandments 4:52",416
"Charedim, Negative Commandments 4:53",417
"Charedim, Negative Commandments 4:54",418
"Charedim, Negative Commandments 4:55",419
"Charedim, Negative Commandments 4:56",420
"Charedim, Negative Commandments 4:57",421
"Charedim, Negative Commandments 4:58",422
"Charedim, Negative Commandments 4:59",423
"Charedim, Negative Commandments 4:60",424
"Charedim, Negative Commandments 4:61",425
"Charedim, Negative Commandments 4:62",426
"Charedim, Negative Commandments 4:63",427
"Charedim, Negative Commandments 4:64",428
"Charedim, Negative Commandments 4:65",429
"Charedim, Negative Commandments 4:66",430
"Charedim, Negative Commandments 4:67",431
"Charedim, Negative Commandments 4:68",432
"Charedim, Negative Commandments 4:69",433
"Charedim, Negative Commandments 4:70",434
"Charedim, Negative Commandments 4:71",435
"Charedim, Negative Commandments 4:72",436
"Charedim, Negative Commandments 4:73",437
"Charedim, Negative Commandments 4:74",438
"Charedim, Negative Commandments 4:75",439
"Charedim, Negative Commandments 4:76",440
"Charedim, Negative Commandments 4:77",441
"Charedim, Negative Commandments 4:78",442
"Charedim, Negative Commandments 4:79",443
"Charedim, Negative Commandments 4:80",444
"Charedim, Negative Commandments 4:81",445
"Charedim, Negative Commandments 4:82",446
"Charedim, Negative Commandments 4:83",447
"Charedim, Negative Commandments 4:84",448
"Charedim, Negative Commandments 4:85",449
"Charedim, Negative Commandments 4:86",450
"Charedim, Negative Commandments 4:87",451
"Charedim, Negative Commandments 4:88",452
"Charedim, Negative Commandments 4:89",453
"Charedim, Negative Commandments 4:90",454
"Charedim, Negative Commandments 4:91",455
"Charedim, Negative Commandments 4:92",456
"Charedim, Negative Commandments 4:93",457
"Charedim, Negative Commandments 4:94",458
"Charedim, Negative Commandments 4:95",459
"Charedim, Negative Commandments 4:96",460
"Charedim, Negative Commandments 4:97",461
"Charedim, Negative Commandments 4:98",462
"Charedim, Negative Commandments 4:99",463
"Charedim, Negative Commandments 4:100",464
"Charedim, Negative Commandments 4:101",465
"Charedim, Negative Commandments 4:102",466
"Charedim, Negative Commandments 4:103",467
"Charedim, Negative Commandments 4:104",468
"Charedim, Negative Commandments 4:105",469
"Charedim, Negative Commandments 4:106",470
"Charedim, Negative Commandments 4:107",471
"Charedim, Negative Commandments 5:1",473
"Charedim, Negative Commandments 5:2",474
"Charedim, Negative Commandments 5:3",475
"Charedim, Negative Commandments 5:4",476
"Charedim, Negative Commandments 5:5",477
"Charedim, Negative Commandments 5:6",478
"Charedim, Negative Commandments 5:7",479
"Charedim, Negative Commandments 5:8",480
"Charedim, Negative Commandments 5:9",481
"Charedim, Negative Commandments 5:10",482
"Charedim, Negative Commandments 5:11",483
"Charedim, Negative Commandments 5:12",484
"Charedim, Negative Commandments 5:13",485
"Charedim, Negative Commandments 5:14",486
"Charedim, Negative Commandments 5:15",487
"Charedim, Negative Commandments 5:16",488
"Charedim, Negative Commandments 5:17",489
"Charedim, Negative Commandments 5:18",490
"Charedim, Negative Commandments 5:19",491
"Charedim, Negative Commandments 5:20",492
"Charedim, Negative Commandments 5:21",493
"Charedim, Negative Commandments 5:22",494
"Charedim, Negative Commandments 5:23",495
"Charedim, Negative Commandments 5:24",496
"Charedim, Negative Commandments 5:25",497
"Charedim, Negative Commandments 5:26",498
"Charedim, Negative Commandments 5:27",499
"Charedim, Negative Commandments 5:28",500
"Charedim, Negative Commandments 5:29",501
"Charedim, Negative Commandments 5:30",502
"Charedim, Negative Commandments 5:31",503
"Charedim, Negative Commandments 5:32",504
"Charedim, Negative Commandments 5:33",505
"Charedim, Negative Commandments 5:34",506
"Charedim, Negative Commandments 5:35",507
"Charedim, Negative Commandments 5:36",508
"Charedim, Negative Commandments 5:37",509
"Charedim, Negative Commandments 5:38",510
"Charedim, Negative Commandments 5:39",511
"Charedim, Negative Commandments 5:40",512
"Charedim, Negative Commandments 5:41",513
"Charedim, Negative Commandments 5:42",514
"Charedim, Negative Commandments 5:43",515
"Charedim, Negative Commandments 5:44",516
"Charedim, Negative Commandments 5:45",517
"Charedim, Negative Commandments 5:46",518
"Charedim, Negative Commandments 5:47",519
"Charedim, Negative Commandments 5:48",520
"Charedim, Negative Commandments 5:49",521
"Charedim, Negative Commandments 5:50",522
"Charedim, Negative Commandments 5:51",523
"Charedim, Negative Commandments 5:52",524
"Charedim, Negative Commandments 5:53",525
"Charedim, Negative Commandments 5:54",526
"Charedim, Negative Commandments 5:55",527
"Charedim, Negative Commandments 5:56",528
"Charedim, Negative Commandments 5:57",529
"Charedim, Negative Commandments 5:58",530
"Charedim, Negative Commandments 5:59",531
"Charedim, Negative Commandments 5:60",532
"Charedim, Negative Commandments 5:61",533
"Charedim, Negative Commandments 5:62",534
"Charedim, Negative Commandments 5:63",535
"Charedim, Negative Commandments 5:64",536
"Charedim, Negative Commandments 5:65",537
"Charedim, Negative Commandments 5:66",538
"Charedim, Negative Commandments 5:67",539
"Charedim, Negative Commandments 5:68",540
"Charedim, Negative Commandments 5:69",541
"Charedim, Negative Commandments 5:70",542
"Charedim, Negative Commandments 5:71",543
"Charedim, Negative Commandments 5:72",544
"Charedim, Negative Commandments 5:73",545
"Charedim, Negative Commandments 5:74",546
"Charedim, Negative Commandments 5:75",547
"Charedim, Negative Commandments 5:76",548
"Charedim, Negative Commandments 5:77",549
"Charedim, Negative Commandments 5:78",550
"Charedim, Negative Commandments 5:79",551
"Charedim, Negative Commandments 5:80",552
