ref,line_index
Kuntres HaHitpa'alut 1:1,4
Kuntres HaHitpa'alut 1:2,5
Kuntres HaHitpa'alut 1:3,6
Kuntres HaHitpa'alut 1:4,7
Kuntres HaHitpa'alut 1:5,8
Kuntres HaHitpa'alut 1:6,9
Kuntres HaHitpa'alut 1:7,10
Kuntres HaHitpa'alut 1:8,11
Kuntres HaHitpa'alut 1:9,12
Kuntres HaHitpa'alut 1:10,13
Kuntres HaHitpa'alut 1:11,14
Kuntres HaHitpa'alut 1:12,15
Kuntres HaHitpa'alut 1:13,16
Kuntres HaHitpa'alut 1:14,17
Kuntres HaHitpa'alut 1:15,18
Kuntres HaHitpa'alut 1:16,19
Kuntres HaHitpa'alut 1:17,20
Kuntres HaHitpa'alut 1:18,21
Kuntres HaHitpa'alut 1:19,22
Kuntres HaHitpa'alut 1:20,23
Kuntres HaHitpa'alut 1:21,24
Kuntres HaHitpa'alut 2:1,26
Kuntres HaHitpa'alut 2:2,27
Kuntres HaHitpa'alut 2:3,28
Kuntres HaHitpa'alut 2:4,29
Kuntres HaHitpa'alut 2:5,30
Kuntres HaHitpa'alut 2:6,31
Kuntres HaHitpa'alut 2:7,32
Kuntres HaHitpa'alut 2:8,33
Kuntres HaHitpa'alut 2:9,34
Kuntres HaHitpa'alut 2:10,35
Kuntres HaHitpa'alut 2:11,36
Kuntres HaHitpa'alut 2:12,37
Kuntres HaHitpa'alut 2:13,38
Kuntres HaHitpa'alut 2:14,39
Kuntres HaHitpa'alut 2:15,40
Kuntres HaHitpa'alut 2:16,41
Kuntres HaHitpa'alut 2:17,42
Kuntres HaHitpa'alut 2:18,43
Kuntres HaHitpa'alut 2:19,44
Kuntres HaHitpa'alut 3:1,46
Kuntres HaHitpa'alut 3:2,47
Kuntres HaHitpa'alut 3:3,48
Kuntres HaHitpa'alut 3:4,49
Kuntres HaHitpa'alut 3:5,50
Kuntres HaHitpa'alut 3:6,51
Kuntres HaHitpa'alut 3:7,52
Kuntres HaHitpa'alut 3:8,53
Kuntres HaHitpa'alut 3:9,54
