ref,line_index
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 1",4
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 2",5
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 3",6
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 4",7
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 5",8
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 6",9
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 7",10
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 8",11
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 9",12
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 10",13
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 11",14
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 12",15
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 13",16
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 14",17
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 15",18
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 16",19
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 17",20
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 18",21
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 19",22
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 20",23
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 21",24
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 22",25
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 23",26
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 24",27
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 25",28
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 26",29
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 27",30
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 28",31
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 29",32
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 30",33
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 31",34
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 32",35
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 33",36
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 34",37
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 35",38
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 36",39
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 37",40
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 38",41
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 39",42
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 40",43
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 41",44
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 42",45
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 43",46
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 44",47
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 45",48
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 46",49
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 47",50
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 48",51
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 49",52
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 50",53
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 51",54
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 52",55
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 53",56
"The Dignity of Difference; How to Avoid the Clash of Civilizations, Prologue 54",57
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 1",59
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 2",60
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 3",61
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 4",62
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 5",63
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 6",64
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 7",65
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 8",66
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 9",67
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 10",68
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 11",69
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 12",70
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 13",71
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 14",72
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 15",73
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 16",74
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 17",75
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 18",76
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 19",77
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 20",78
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 21",79
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 22",80
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 23",81
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 24",82
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 25",83
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 26",84
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 27",85
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 28",86
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 29",87
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 30",88
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 31",89
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 32",90
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 33",91
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 34",92
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 35",93
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 36",94
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 37",95
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 38",96
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 39",97
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 40",98
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 41",99
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 42",100
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 43",101
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 44",102
"The Dignity of Difference; How to Avoid the Clash of Civilizations, 1; Globalization and its Discontents 45",103
