ref,line_index
"To Heal a Fractured World; The Ethics of Responsibility, Introduction to Hebrew Edition 1",4
"To Heal a Fractured World; The Ethics of Responsibility, Introduction to Hebrew Edition 2",5
"To Heal a Fractured World; The Ethics of Responsibility, Introduction to Hebrew Edition 3",6
"To Heal a Fractured World; The Ethics of Responsibility, Introduction to Hebrew Edition 4",7
"To Heal a Fractured World; The Ethics of Responsibility, Introduction to Hebrew Edition 5",8
"To Heal a Fractured World; The Ethics of Responsibility, Introduction to Hebrew Edition 6",9
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 1",11
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 2",12
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 3",13
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 4",14
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 5",15
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 6",16
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 7",17
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 8",18
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 9",19
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 10",20
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 11",21
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 12",22
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 13",23
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 14",24
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 15",25
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 16",26
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 17",27
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 18",28
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 19",29
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 20",30
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 21",31
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 22",32
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 23",33
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 24",34
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 25",35
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 26",36
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 27",37
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 28",38
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 29",39
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 30",40
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 31",41
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 32",42
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 33",43
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 34",44
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 35",45
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 36",46
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 37",47
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 38",48
"To Heal a Fractured World; The Ethics of Responsibility, Foreword 39",49
"To Heal a Fractured World; The Ethics of Responsibility, Part 1; The Call to Responsibility, 1; The Ethics of Responsibility 1",52
"To Heal a Fractured World; The Ethics of Responsibility, Part 1; The Call to Responsibility, 1; The Ethics of Responsibility 2",53
"To Heal a Fractured World; The Ethics of Responsibility, Part 1; The Call to Responsibility, 1; The Ethics of Responsibility 3",54
