ref,line_index
"Steinsaltz on Mishneh Torah, Fringes 1:1:1",5
"Steinsaltz on Mishneh Torah, Fringes 1:1:2",6
"Steinsaltz on Mishneh Torah, Fringes 1:1:3",7
"Steinsaltz on Mishneh Torah, Fringes 1:1:4",8
"Steinsaltz on Mishneh Torah, Fringes 1:1:5",9
"Steinsaltz on Mishneh Torah, Fringes 1:2:1",11
"Steinsaltz on Mishneh Torah, Fringes 1:2:2",12
"Steinsaltz on Mishneh Torah, Fringes 1:2:3",13
"Steinsaltz on Mishneh Torah, Fringes 1:3:1",15
"Steinsaltz on Mishneh Torah, Fringes 1:3:2",16
"Steinsaltz on Mishneh Torah, Fringes 1:3:3",17
"Steinsaltz on Mishneh Torah, Fringes 1:4:1",19
"Steinsaltz on Mishneh Torah, Fringes 1:4:2",20
"Steinsaltz on Mishneh Torah, Fringes 1:5:1",22
"Steinsaltz on Mishneh Torah, Fringes 1:6:1",24
"Steinsaltz on Mishneh Torah, Fringes 1:6:2",25
"Steinsaltz on Mishneh Torah, Fringes 1:6:3",26
"Steinsaltz on Mishneh Torah, Fringes 1:6:4",27
"Steinsaltz on Mishneh Torah, Fringes 1:6:5",28
"Steinsaltz on Mishneh Torah, Fringes 1:7:1",30
"Steinsaltz on Mishneh Torah, Fringes 1:7:2",31
"Steinsaltz on Mishneh Torah, Fringes 1:8:1",33
"Steinsaltz on Mishneh Torah, Fringes 1:8:2",34
"Steinsaltz on Mishneh Torah, Fringes 1:8:3",35
"Steinsaltz on Mishneh Torah, Fringes 1:9:1",37
"Steinsaltz on Mishneh Torah, Fringes 1:10:1",39
"Steinsaltz on Mishneh Torah, Fringes 1:10:2",40
"Steinsaltz on Mishneh Torah, Fringes 1:11:1",42
"Steinsaltz on Mishneh Torah, Fringes 1:11:2",43
"Steinsaltz on Mishneh Torah, Fringes 1:11:3",44
"Steinsaltz on Mishneh Torah, Fringes 1:11:4",45
"Steinsaltz on Mishneh Torah, Fringes 1:11:5",46
"Steinsaltz on Mishneh Torah, Fringes 1:11:6",47
"Steinsaltz on Mishneh Torah, Fringes 1:11:7",48
"Steinsaltz on Mishneh Torah, Fringes 1:11:8",49
"Steinsaltz on Mishneh Torah, Fringes 1:12:1",51
"Steinsaltz on Mishneh Torah, Fringes 1:13:1",53
"Steinsaltz on Mishneh Torah, Fringes 1:14:1",55
"Steinsaltz on Mishneh Torah, Fringes 1:14:2",56
"Steinsaltz on Mishneh Torah, Fringes 1:15:1",58
"Steinsaltz on Mishneh Torah, Fringes 1:15:2",59
"Steinsaltz on Mishneh Torah, Fringes 1:15:3",60
"Steinsaltz on Mishneh Torah, Fringes 1:16:1",62
"Steinsaltz on Mishneh Torah, Fringes 1:17:1",64
"Steinsaltz on Mishneh Torah, Fringes 1:17:2",65
"Steinsaltz on Mishneh Torah, Fringes 1:17:3",66
"Steinsaltz on Mishneh Torah, Fringes 1:18:1",68
"Steinsaltz on Mishneh Torah, Fringes 1:18:2",69
"Steinsaltz on Mishneh Torah, Fringes 1:18:3",70
"Steinsaltz on Mishneh Torah, Fringes 1:18:4",71
"Steinsaltz on Mishneh Torah, Fringes 1:18:5",72
"Steinsaltz on Mishneh Torah, Fringes 1:18:6",73
"Steinsaltz on Mishneh Torah, Fringes 2:1:1",76
"Steinsaltz on Mishneh Torah, Fringes 2:1:2",77
"Steinsaltz on Mishneh Torah, Fringes 2:1:3",78
"Steinsaltz on Mishneh Torah, Fringes 2:1:4",79
"Steinsaltz on Mishneh Torah, Fringes 2:1:5",80
"Steinsaltz on Mishneh Torah, Fringes 2:1:6",81
"Steinsaltz on Mishneh Torah, Fringes 2:1:7",82
"Steinsaltz on Mishneh Torah, Fringes 2:1:8",83
"Steinsaltz on Mishneh Torah, Fringes 2:1:9",84
"Steinsaltz on Mishneh Torah, Fringes 2:1:10",85
"Steinsaltz on Mishneh Torah, Fringes 2:2:1",87
"Steinsaltz on Mishneh Torah, Fringes 2:2:2",88
"Steinsaltz on Mishneh Torah, Fringes 2:2:3",89
"Steinsaltz on Mishneh Torah, Fringes 2:2:4",90
"Steinsaltz on Mishneh Torah, Fringes 2:2:5",91
"Steinsaltz on Mishneh Torah, Fringes 2:2:6",92
"Steinsaltz on Mishneh Torah, Fringes 2:2:7",93
"Steinsaltz on Mishneh Torah, Fringes 2:2:8",94
"Steinsaltz on Mishneh Torah, Fringes 2:3:1",96
"Steinsaltz on Mishneh Torah, Fringes 2:3:2",97
"Steinsaltz on Mishneh Torah, Fringes 2:3:3",98
"Steinsaltz on Mishneh Torah, Fringes 2:4:1",100
"Steinsaltz on Mishneh Torah, Fringes 2:4:2",101
"Steinsaltz on Mishneh Torah, Fringes 2:5:1",103
"Steinsaltz on Mishneh Torah, Fringes 2:5:2",104
"Steinsaltz on Mishneh Torah, Fringes 2:5:3",105
"Steinsaltz on Mishneh Torah, Fringes 2:5:4",106
"Steinsaltz on Mishneh Torah, Fringes 2:6:1",108
"Steinsaltz on Mishneh Torah, Fringes 2:6:2",109
"Steinsaltz on Mishneh Torah, Fringes 2:6:3",110
"Steinsaltz on Mishneh Torah, Fringes 2:7:1",112
"Steinsaltz on Mishneh Torah, Fringes 2:7:2",113
"Steinsaltz on Mishneh Torah, Fringes 2:7:3",114
"Steinsaltz on Mishneh Torah, Fringes 2:7:4",115
"Steinsaltz on Mishneh Torah, Fringes 2:7:5",116
"Steinsaltz on Mishneh Torah, Fringes 2:7:6",117
"Steinsaltz on Mishneh Torah, Fringes 3:1:1",120
"Steinsaltz on Mishneh Torah, Fringes 3:1:2",121
"Steinsaltz on Mishneh Torah, Fringes 3:1:3",122
"Steinsaltz on Mishneh Torah, Fringes 3:1:4",123
"Steinsaltz on Mishneh Torah, Fringes 3:2:1",125
"Steinsaltz on Mishneh Torah, Fringes 3:2:2",126
"Steinsaltz on Mishneh Torah, Fringes 3:2:3",127
"Steinsaltz on Mishneh Torah, Fringes 3:3:1",129
"Steinsaltz on Mishneh Torah, Fringes 3:3:2",130
"Steinsaltz on Mishneh Torah, Fringes 3:4:1",132
"Steinsaltz on Mishneh Torah, Fringes 3:4:2",133
"Steinsaltz on Mishneh Torah, Fringes 3:5:1",135
"Steinsaltz on Mishneh Torah, Fringes 3:5:2",136
"Steinsaltz on Mishneh Torah, Fringes 3:6:1",138
"Steinsaltz on Mishneh Torah, Fringes 3:6:2",139
"Steinsaltz on Mishneh Torah, Fringes 3:6:3",140
"Steinsaltz on Mishneh Torah, Fringes 3:6:4",141
"Steinsaltz on Mishneh Torah, Fringes 3:7:1",143
"Steinsaltz on Mishneh Torah, Fringes 3:7:2",144
"Steinsaltz on Mishneh Torah, Fringes 3:8:1",146
"Steinsaltz on Mishneh Torah, Fringes 3:8:2",147
"Steinsaltz on Mishneh Torah, Fringes 3:8:3",148
"Steinsaltz on Mishneh Torah, Fringes 3:8:4",149
"Steinsaltz on Mishneh Torah, Fringes 3:9:1",151
"Steinsaltz on Mishneh Torah, Fringes 3:9:2",152
"Steinsaltz on Mishneh Torah, Fringes 3:9:3",153
"Steinsaltz on Mishneh Torah, Fringes 3:9:4",154
"Steinsaltz on Mishneh Torah, Fringes 3:9:5",155
"Steinsaltz on Mishneh Torah, Fringes 3:9:6",156
"Steinsaltz on Mishneh Torah, Fringes 3:10:1",158
"Steinsaltz on Mishneh Torah, Fringes 3:11:1",160
"Steinsaltz on Mishneh Torah, Fringes 3:12:1",162
