ref,line_index
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:1:1",5
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:1:2",6
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:1:3",7
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:1:4",8
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:1:5",9
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:1:6",10
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:2:1",12
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:2:2",13
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:2:3",14
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:2:4",15
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:3:1",17
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:4:1",19
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:4:2",20
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:4:3",21
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:4:4",22
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:5:1",24
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:5:2",25
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:5:3",26
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:6:1",28
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:7:1",30
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:7:2",31
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:8:1",33
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:8:2",34
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:8:3",35
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:9:1",37
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:9:2",38
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:10:1",40
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:10:2",41
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:11:1",43
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:12:1",45
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:12:2",46
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:12:3",47
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:13:1",49
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:13:2",50
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:13:3",51
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:14:1",53
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:15:1",55
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:15:2",56
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:17:1",58
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:17:2",59
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:17:3",60
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:17:4",61
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:18:1",63
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:18:2",64
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:18:3",65
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:19:1",67
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:20:1",69
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:21:1",71
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:21:2",72
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:23:1",74
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:23:2",75
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 1:23:3",76
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:1:1",79
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:4:1",81
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:5:1",83
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:5:2",84
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:5:3",85
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:5:4",86
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:5:5",87
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:6:1",89
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:6:2",90
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:7:1",92
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:8:1",94
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:8:2",95
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:8:3",96
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:9:1",98
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:9:2",99
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:9:3",100
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:9:4",101
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:9:5",102
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:10:1",104
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:11:1",106
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:12:1",108
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:12:2",109
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:12:3",110
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:13:1",112
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:13:2",113
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:13:3",114
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 2:13:4",115
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:1:1",118
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:1:2",119
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:1:3",120
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:1:4",121
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:2:1",123
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:2:2",124
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:2:3",125
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:2:4",126
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:3:1",128
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:4:1",130
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:5:1",132
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:5:2",133
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:5:3",134
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:6:1",136
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:7:1",138
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:8:1",140
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:9:1",142
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:10:1",144
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:11:1",146
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:11:2",147
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:11:3",148
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:11:4",149
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:11:5",150
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:12:1",152
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:13:1",154
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:13:2",155
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:13:3",156
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:14:1",158
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:14:2",159
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:14:3",160
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:14:4",161
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:15:1",163
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:15:2",164
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:15:3",165
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:16:1",167
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:17:1",169
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:17:2",170
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:17:3",171
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:17:4",172
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:17:5",173
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:17:6",174
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:18:1",176
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:19:1",178
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:19:2",179
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:19:3",180
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:19:4",181
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:19:5",182
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:19:6",183
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:19:7",184
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:20:1",186
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:20:2",187
"Steinsaltz on Mishneh Torah, Appraisals and Devoted Property 3:20:3",188
