ref,line_index
"Steinsaltz on Mishneh Torah, Oaths 1:1:1",5
"Steinsaltz on Mishneh Torah, Oaths 1:2:1",7
"Steinsaltz on Mishneh Torah, Oaths 1:2:2",8
"Steinsaltz on Mishneh Torah, Oaths 1:3:1",10
"Steinsaltz on Mishneh Torah, Oaths 1:3:2",11
"Steinsaltz on Mishneh Torah, Oaths 1:3:3",12
"Steinsaltz on Mishneh Torah, Oaths 1:3:4",13
"Steinsaltz on Mishneh Torah, Oaths 1:5:1",15
"Steinsaltz on Mishneh Torah, Oaths 1:5:2",16
"Steinsaltz on Mishneh Torah, Oaths 1:6:1",18
"Steinsaltz on Mishneh Torah, Oaths 1:6:2",19
"Steinsaltz on Mishneh Torah, Oaths 1:7:1",21
"Steinsaltz on Mishneh Torah, Oaths 1:8:1",23
"Steinsaltz on Mishneh Torah, Oaths 1:8:2",24
"Steinsaltz on Mishneh Torah, Oaths 1:8:3",25
"Steinsaltz on Mishneh Torah, Oaths 1:9:1",27
"Steinsaltz on Mishneh Torah, Oaths 1:9:2",28
"Steinsaltz on Mishneh Torah, Oaths 1:9:3",29
"Steinsaltz on Mishneh Torah, Oaths 1:9:4",30
"Steinsaltz on Mishneh Torah, Oaths 1:9:5",31
"Steinsaltz on Mishneh Torah, Oaths 1:10:1",33
"Steinsaltz on Mishneh Torah, Oaths 1:10:2",34
"Steinsaltz on Mishneh Torah, Oaths 1:13:1",36
"Steinsaltz on Mishneh Torah, Oaths 2:1:1",39
"Steinsaltz on Mishneh Torah, Oaths 2:1:2",40
"Steinsaltz on Mishneh Torah, Oaths 2:1:3",41
"Steinsaltz on Mishneh Torah, Oaths 2:1:4",42
"Steinsaltz on Mishneh Torah, Oaths 2:2:1",44
"Steinsaltz on Mishneh Torah, Oaths 2:2:2",45
"Steinsaltz on Mishneh Torah, Oaths 2:2:3",46
"Steinsaltz on Mishneh Torah, Oaths 2:2:4",47
"Steinsaltz on Mishneh Torah, Oaths 2:2:5",48
"Steinsaltz on Mishneh Torah, Oaths 2:3:1",50
"Steinsaltz on Mishneh Torah, Oaths 2:3:2",51
