ref,line_index
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:1:1",5
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:1:2",6
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:2:1",8
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:2:2",9
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:2:3",10
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:2:4",11
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:3:1",13
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:3:2",14
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:4:1",16
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:4:2",17
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:4:3",18
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:5:1",20
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:5:2",21
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:5:3",22
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:5:4",23
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:5:5",24
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:6:1",26
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:6:2",27
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:6:3",28
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:6:4",29
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:6:5",30
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:6:6",31
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:6:7",32
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:8:1",34
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:8:2",35
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:8:3",36
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:8:4",37
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:9:1",39
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:9:2",40
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:9:3",41
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:9:4",42
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 1:9:5",43
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:1:1",46
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:1:2",47
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:1:3",48
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:1:4",49
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:3:1",51
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:3:2",52
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:3:3",53
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:3:4",54
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:3:5",55
"Steinsaltz on Mishneh Torah, Leavened and Unleavened Bread 2:4:1",57
