ref,line_index
"Steinsaltz on Mishneh Torah, Diverse Species 1:1:1",5
"Steinsaltz on Mishneh Torah, Diverse Species 1:2:1",7
"Steinsaltz on Mishneh Torah, Diverse Species 1:2:2",8
"Steinsaltz on Mishneh Torah, Diverse Species 1:2:3",9
"Steinsaltz on Mishneh Torah, Diverse Species 1:2:4",10
"Steinsaltz on Mishneh Torah, Diverse Species 1:3:1",12
"Steinsaltz on Mishneh Torah, Diverse Species 1:3:2",13
"Steinsaltz on Mishneh Torah, Diverse Species 1:3:3",14
"Steinsaltz on Mishneh Torah, Diverse Species 1:4:1",16
"Steinsaltz on Mishneh Torah, Diverse Species 1:4:2",17
"Steinsaltz on Mishneh Torah, Diverse Species 1:5:1",19
"Steinsaltz on Mishneh Torah, Diverse Species 1:6:1",21
"Steinsaltz on Mishneh Torah, Diverse Species 1:7:1",23
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:1",25
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:2",26
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:3",27
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:4",28
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:5",29
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:6",30
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:7",31
"Steinsaltz on Mishneh Torah, Diverse Species 1:8:8",32
"Steinsaltz on Mishneh Torah, Diverse Species 1:9:1",34
"Steinsaltz on Mishneh Torah, Diverse Species 1:9:2",35
"Steinsaltz on Mishneh Torah, Diverse Species 1:9:3",36
"Steinsaltz on Mishneh Torah, Diverse Species 1:9:4",37
"Steinsaltz on Mishneh Torah, Diverse Species 2:1:1",40
"Steinsaltz on Mishneh Torah, Diverse Species 2:2:1",42
"Steinsaltz on Mishneh Torah, Diverse Species 2:2:2",43
"Steinsaltz on Mishneh Torah, Diverse Species 2:3:1",45
"Steinsaltz on Mishneh Torah, Diverse Species 2:3:2",46
"Steinsaltz on Mishneh Torah, Diverse Species 2:4:1",48
"Steinsaltz on Mishneh Torah, Diverse Species 2:4:2",49
"Steinsaltz on Mishneh Torah, Diverse Species 2:5:1",51
"Steinsaltz on Mishneh Torah, Diverse Species 2:6:1",53
"Steinsaltz on Mishneh Torah, Diverse Species 2:6:2",54
"Steinsaltz on Mishneh Torah, Diverse Species 2:6:3",55
"Steinsaltz on Mishneh Torah, Diverse Species 2:7:1",57
"Steinsaltz on Mishneh Torah, Diverse Species 2:7:2",58
"Steinsaltz on Mishneh Torah, Diverse Species 2:9:1",60
"Steinsaltz on Mishneh Torah, Diverse Species 2:9:2",61
"Steinsaltz on Mishneh Torah, Diverse Species 2:10:1",63
"Steinsaltz on Mishneh Torah, Diverse Species 2:10:2",64
"Steinsaltz on Mishneh Torah, Diverse Species 2:10:3",65
"Steinsaltz on Mishneh Torah, Diverse Species 2:10:4",66
"Steinsaltz on Mishneh Torah, Diverse Species 2:11:1",68
"Steinsaltz on Mishneh Torah, Diverse Species 2:11:2",69
"Steinsaltz on Mishneh Torah, Diverse Species 2:11:3",70
"Steinsaltz on Mishneh Torah, Diverse Species 2:11:4",71
"Steinsaltz on Mishneh Torah, Diverse Species 2:12:1",73
"Steinsaltz on Mishneh Torah, Diverse Species 2:12:2",74
"Steinsaltz on Mishneh Torah, Diverse Species 2:13:1",76
"Steinsaltz on Mishneh Torah, Diverse Species 2:13:2",77
"Steinsaltz on Mishneh Torah, Diverse Species 2:13:3",78
"Steinsaltz on Mishneh Torah, Diverse Species 2:13:4",79
