ref,line_index
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:1:1",5
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:1:2",6
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:1:3",7
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:2:1",9
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:3:1",11
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:4:1",13
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:4:2",14
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:5:1",16
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:5:2",17
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:5:3",18
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:5:4",19
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:5:5",20
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:6:1",22
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:8:1",24
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:8:2",25
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:9:1",27
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:9:2",28
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:9:3",29
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:9:4",30
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:10:1",32
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:10:2",33
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:10:3",34
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:11:1",36
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:11:2",37
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:11:3",38
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:11:4",39
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:12:1",41
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:12:2",42
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:13:1",44
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:14:1",46
"Steinsaltz on Mishneh Torah, Gifts to the Poor 1:14:2",47
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:1:1",50
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:1:2",51
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:1:3",52
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:1:4",53
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:2:1",55
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:2:2",56
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:2:3",57
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:2:4",58
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:2:5",59
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:2:6",60
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:2:7",61
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:3:1",63
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:4:1",65
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:4:2",66
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:4:3",67
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:5:1",69
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:5:2",70
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:5:3",71
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:5:4",72
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:5:5",73
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:6:1",75
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:6:2",76
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:6:3",77
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:6:4",78
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:7:1",80
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:7:2",81
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:7:3",82
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:8:1",84
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:8:2",85
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:9:1",87
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:10:1",89
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:11:1",91
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:11:2",92
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:11:3",93
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:11:4",94
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:11:5",95
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:11:6",96
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:11:7",97
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:12:1",99
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:12:2",100
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:12:3",101
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:13:1",103
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:14:1",105
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:15:1",107
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:15:2",108
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:15:3",109
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:16:1",111
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:16:2",112
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:16:3",113
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:16:4",114
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:17:1",116
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:17:2",117
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:17:3",118
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:17:4",119
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:17:5",120
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:18:1",122
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:18:2",123
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:19:1",125
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:19:2",126
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:20:1",128
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:20:2",129
"Steinsaltz on Mishneh Torah, Gifts to the Poor 2:20:3",130
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:1:1",133
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:1:2",134
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:1:3",135
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:2:1",137
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:2:2",138
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:2:3",139
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:3:1",141
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:3:2",142
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:4:1",144
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:4:2",145
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:4:3",146
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:4:4",147
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:4:5",148
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:4:6",149
"Steinsaltz on Mishneh Torah, Gifts to the Poor 3:4:7",150
