ref,line_index
"Steinsaltz on Mishneh Torah, Heave Offerings 1:1:1",5
"Steinsaltz on Mishneh Torah, Heave Offerings 1:1:2",6
"Steinsaltz on Mishneh Torah, Heave Offerings 1:1:3",7
"Steinsaltz on Mishneh Torah, Heave Offerings 1:1:4",8
"Steinsaltz on Mishneh Torah, Heave Offerings 1:1:5",9
"Steinsaltz on Mishneh Torah, Heave Offerings 1:1:6",10
"Steinsaltz on Mishneh Torah, Heave Offerings 1:2:1",12
"Steinsaltz on Mishneh Torah, Heave Offerings 1:2:2",13
"Steinsaltz on Mishneh Torah, Heave Offerings 1:2:3",14
"Steinsaltz on Mishneh Torah, Heave Offerings 1:3:1",16
"Steinsaltz on Mishneh Torah, Heave Offerings 1:3:2",17
"Steinsaltz on Mishneh Torah, Heave Offerings 1:3:3",18
"Steinsaltz on Mishneh Torah, Heave Offerings 1:3:4",19
"Steinsaltz on Mishneh Torah, Heave Offerings 1:3:5",20
"Steinsaltz on Mishneh Torah, Heave Offerings 1:3:6",21
"Steinsaltz on Mishneh Torah, Heave Offerings 1:3:7",22
"Steinsaltz on Mishneh Torah, Heave Offerings 1:4:1",24
"Steinsaltz on Mishneh Torah, Heave Offerings 1:4:2",25
"Steinsaltz on Mishneh Torah, Heave Offerings 1:4:3",26
"Steinsaltz on Mishneh Torah, Heave Offerings 1:4:4",27
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:1",29
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:2",30
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:3",31
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:4",32
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:5",33
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:6",34
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:7",35
"Steinsaltz on Mishneh Torah, Heave Offerings 1:5:8",36
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:1",38
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:2",39
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:3",40
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:4",41
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:5",42
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:6",43
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:7",44
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:8",45
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:9",46
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:10",47
"Steinsaltz on Mishneh Torah, Heave Offerings 1:7:11",48
"Steinsaltz on Mishneh Torah, Heave Offerings 1:8:1",50
"Steinsaltz on Mishneh Torah, Heave Offerings 1:8:2",51
"Steinsaltz on Mishneh Torah, Heave Offerings 1:8:3",52
"Steinsaltz on Mishneh Torah, Heave Offerings 1:9:1",54
"Steinsaltz on Mishneh Torah, Heave Offerings 1:9:2",55
"Steinsaltz on Mishneh Torah, Heave Offerings 1:10:1",57
"Steinsaltz on Mishneh Torah, Heave Offerings 1:10:2",58
"Steinsaltz on Mishneh Torah, Heave Offerings 1:10:3",59
"Steinsaltz on Mishneh Torah, Heave Offerings 1:10:4",60
"Steinsaltz on Mishneh Torah, Heave Offerings 1:11:1",62
"Steinsaltz on Mishneh Torah, Heave Offerings 1:11:2",63
"Steinsaltz on Mishneh Torah, Heave Offerings 1:11:3",64
"Steinsaltz on Mishneh Torah, Heave Offerings 1:11:4",65
"Steinsaltz on Mishneh Torah, Heave Offerings 1:11:5",66
"Steinsaltz on Mishneh Torah, Heave Offerings 1:11:6",67
"Steinsaltz on Mishneh Torah, Heave Offerings 1:11:7",68
"Steinsaltz on Mishneh Torah, Heave Offerings 1:12:1",70
"Steinsaltz on Mishneh Torah, Heave Offerings 1:12:2",71
"Steinsaltz on Mishneh Torah, Heave Offerings 1:12:3",72
"Steinsaltz on Mishneh Torah, Heave Offerings 1:12:4",73
"Steinsaltz on Mishneh Torah, Heave Offerings 1:12:5",74
"Steinsaltz on Mishneh Torah, Heave Offerings 1:13:1",76
"Steinsaltz on Mishneh Torah, Heave Offerings 1:13:2",77
"Steinsaltz on Mishneh Torah, Heave Offerings 1:13:3",78
"Steinsaltz on Mishneh Torah, Heave Offerings 1:14:1",80
"Steinsaltz on Mishneh Torah, Heave Offerings 1:15:1",82
"Steinsaltz on Mishneh Torah, Heave Offerings 1:17:1",84
"Steinsaltz on Mishneh Torah, Heave Offerings 1:17:2",85
"Steinsaltz on Mishneh Torah, Heave Offerings 1:17:3",86
"Steinsaltz on Mishneh Torah, Heave Offerings 1:17:4",87
"Steinsaltz on Mishneh Torah, Heave Offerings 1:17:5",88
"Steinsaltz on Mishneh Torah, Heave Offerings 1:18:1",90
"Steinsaltz on Mishneh Torah, Heave Offerings 1:19:1",92
"Steinsaltz on Mishneh Torah, Heave Offerings 1:20:1",94
"Steinsaltz on Mishneh Torah, Heave Offerings 1:20:2",95
"Steinsaltz on Mishneh Torah, Heave Offerings 1:20:3",96
"Steinsaltz on Mishneh Torah, Heave Offerings 1:20:4",97
"Steinsaltz on Mishneh Torah, Heave Offerings 1:20:5",98
"Steinsaltz on Mishneh Torah, Heave Offerings 1:21:1",100
"Steinsaltz on Mishneh Torah, Heave Offerings 1:21:2",101
"Steinsaltz on Mishneh Torah, Heave Offerings 1:21:3",102
"Steinsaltz on Mishneh Torah, Heave Offerings 1:22:1",104
"Steinsaltz on Mishneh Torah, Heave Offerings 1:22:2",105
"Steinsaltz on Mishneh Torah, Heave Offerings 1:22:3",106
"Steinsaltz on Mishneh Torah, Heave Offerings 1:22:4",107
"Steinsaltz on Mishneh Torah, Heave Offerings 1:23:1",109
"Steinsaltz on Mishneh Torah, Heave Offerings 1:24:1",111
"Steinsaltz on Mishneh Torah, Heave Offerings 1:24:2",112
"Steinsaltz on Mishneh Torah, Heave Offerings 1:24:3",113
"Steinsaltz on Mishneh Torah, Heave Offerings 1:25:1",115
"Steinsaltz on Mishneh Torah, Heave Offerings 1:25:2",116
"Steinsaltz on Mishneh Torah, Heave Offerings 1:25:3",117
"Steinsaltz on Mishneh Torah, Heave Offerings 1:26:1",119
"Steinsaltz on Mishneh Torah, Heave Offerings 1:26:2",120
"Steinsaltz on Mishneh Torah, Heave Offerings 1:26:3",121
"Steinsaltz on Mishneh Torah, Heave Offerings 1:26:4",122
"Steinsaltz on Mishneh Torah, Heave Offerings 1:26:5",123
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:1",126
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:2",127
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:3",128
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:4",129
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:5",130
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:6",131
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:7",132
"Steinsaltz on Mishneh Torah, Heave Offerings 2:1:8",133
"Steinsaltz on Mishneh Torah, Heave Offerings 2:2:1",135
"Steinsaltz on Mishneh Torah, Heave Offerings 2:2:2",136
"Steinsaltz on Mishneh Torah, Heave Offerings 2:2:3",137
"Steinsaltz on Mishneh Torah, Heave Offerings 2:2:4",138
"Steinsaltz on Mishneh Torah, Heave Offerings 2:2:5",139
"Steinsaltz on Mishneh Torah, Heave Offerings 2:2:6",140
"Steinsaltz on Mishneh Torah, Heave Offerings 2:2:7",141
"Steinsaltz on Mishneh Torah, Heave Offerings 2:3:1",143
"Steinsaltz on Mishneh Torah, Heave Offerings 2:4:1",145
"Steinsaltz on Mishneh Torah, Heave Offerings 2:4:2",146
"Steinsaltz on Mishneh Torah, Heave Offerings 2:4:3",147
"Steinsaltz on Mishneh Torah, Heave Offerings 2:4:4",148
"Steinsaltz on Mishneh Torah, Heave Offerings 2:5:1",150
"Steinsaltz on Mishneh Torah, Heave Offerings 2:5:2",151
"Steinsaltz on Mishneh Torah, Heave Offerings 2:5:3",152
"Steinsaltz on Mishneh Torah, Heave Offerings 2:5:4",153
