ref,line_index
"Steinsaltz on Mishneh Torah, Immersion Pools 1:1:1",5
"Steinsaltz on Mishneh Torah, Immersion Pools 1:2:1",7
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:1",9
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:2",10
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:3",11
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:4",12
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:5",13
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:6",14
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:1",16
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:2",17
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:3",18
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:4",19
"Steinsaltz on Mishneh Torah, Immersion Pools 1:5:1",21
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:1",23
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:2",24
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:3",25
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:4",26
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:5",27
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:6",28
"Steinsaltz on Mishneh Torah, Immersion Pools 1:7:1",30
"Steinsaltz on Mishneh Torah, Immersion Pools 1:7:2",31
"Steinsaltz on Mishneh Torah, Immersion Pools 1:8:1",33
"Steinsaltz on Mishneh Torah, Immersion Pools 1:8:2",34
"Steinsaltz on Mishneh Torah, Immersion Pools 1:9:1",36
"Steinsaltz on Mishneh Torah, Immersion Pools 1:9:2",37
"Steinsaltz on Mishneh Torah, Immersion Pools 1:9:3",38
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:1",40
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:2",41
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:3",42
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:4",43
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:5",44
"Steinsaltz on Mishneh Torah, Immersion Pools 1:11:1",46
"Steinsaltz on Mishneh Torah, Immersion Pools 1:11:2",47
"Steinsaltz on Mishneh Torah, Immersion Pools 1:11:3",48
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:1",50
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:2",51
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:3",52
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:4",53
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:1",56
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:2",57
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:3",58
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:4",59
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:5",60
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:6",61
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:7",62
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:8",63
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:9",64
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:1",66
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:2",67
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:3",68
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:4",69
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:5",70
"Steinsaltz on Mishneh Torah, Immersion Pools 2:3:1",72
"Steinsaltz on Mishneh Torah, Immersion Pools 2:3:2",73
"Steinsaltz on Mishneh Torah, Immersion Pools 2:3:3",74
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:1",76
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:2",77
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:3",78
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:4",79
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:5",80
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:6",81
"Steinsaltz on Mishneh Torah, Immersion Pools 2:5:1",83
"Steinsaltz on Mishneh Torah, Immersion Pools 2:5:2",84
"Steinsaltz on Mishneh Torah, Immersion Pools 2:5:3",85
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:1",87
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:2",88
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:3",89
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:4",90
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:5",91
"Steinsaltz on Mishneh Torah, Immersion Pools 2:7:1",93
"Steinsaltz on Mishneh Torah, Immersion Pools 2:7:2",94
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:1",96
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:2",97
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:3",98
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:4",99
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:5",100
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:6",101
