ref,line_index
"Steinsaltz on Mishneh Torah, Repentance 1:1:1",5
"Steinsaltz on Mishneh Torah, Repentance 1:1:2",6
"Steinsaltz on Mishneh Torah, Repentance 1:1:3",7
"Steinsaltz on Mishneh Torah, Repentance 1:1:4",8
"Steinsaltz on Mishneh Torah, Repentance 1:1:5",9
"Steinsaltz on Mishneh Torah, Repentance 1:1:6",10
"Steinsaltz on Mishneh Torah, Repentance 1:1:7",11
"Steinsaltz on Mishneh Torah, Repentance 1:1:8",12
"Steinsaltz on Mishneh Torah, Repentance 1:1:9",13
"Steinsaltz on Mishneh Torah, Repentance 1:1:10",14
"Steinsaltz on Mishneh Torah, Repentance 1:1:11",15
"Steinsaltz on Mishneh Torah, Repentance 1:1:12",16
"Steinsaltz on Mishneh Torah, Repentance 1:1:13",17
"Steinsaltz on Mishneh Torah, Repentance 1:1:14",18
"Steinsaltz on Mishneh Torah, Repentance 1:2:1",20
"Steinsaltz on Mishneh Torah, Repentance 1:2:2",21
"Steinsaltz on Mishneh Torah, Repentance 1:2:3",22
"Steinsaltz on Mishneh Torah, Repentance 1:2:4",23
"Steinsaltz on Mishneh Torah, Repentance 1:2:5",24
"Steinsaltz on Mishneh Torah, Repentance 1:3:1",26
"Steinsaltz on Mishneh Torah, Repentance 1:3:2",27
"Steinsaltz on Mishneh Torah, Repentance 1:3:3",28
"Steinsaltz on Mishneh Torah, Repentance 1:3:4",29
"Steinsaltz on Mishneh Torah, Repentance 1:4:1",31
"Steinsaltz on Mishneh Torah, Repentance 1:4:2",32
"Steinsaltz on Mishneh Torah, Repentance 1:4:3",33
"Steinsaltz on Mishneh Torah, Repentance 1:4:4",34
"Steinsaltz on Mishneh Torah, Repentance 1:4:5",35
"Steinsaltz on Mishneh Torah, Repentance 1:4:6",36
"Steinsaltz on Mishneh Torah, Repentance 1:4:7",37
"Steinsaltz on Mishneh Torah, Repentance 2:1:1",40
"Steinsaltz on Mishneh Torah, Repentance 2:1:2",41
"Steinsaltz on Mishneh Torah, Repentance 2:1:3",42
"Steinsaltz on Mishneh Torah, Repentance 2:1:4",43
"Steinsaltz on Mishneh Torah, Repentance 2:1:5",44
"Steinsaltz on Mishneh Torah, Repentance 2:1:6",45
"Steinsaltz on Mishneh Torah, Repentance 2:1:7",46
"Steinsaltz on Mishneh Torah, Repentance 2:2:1",48
"Steinsaltz on Mishneh Torah, Repentance 2:2:2",49
"Steinsaltz on Mishneh Torah, Repentance 2:2:3",50
"Steinsaltz on Mishneh Torah, Repentance 2:2:4",51
"Steinsaltz on Mishneh Torah, Repentance 2:2:5",52
"Steinsaltz on Mishneh Torah, Repentance 2:2:6",53
"Steinsaltz on Mishneh Torah, Repentance 2:3:1",55
"Steinsaltz on Mishneh Torah, Repentance 2:3:2",56
"Steinsaltz on Mishneh Torah, Repentance 2:3:3",57
"Steinsaltz on Mishneh Torah, Repentance 2:3:4",58
"Steinsaltz on Mishneh Torah, Repentance 2:4:1",60
