ref,line_index
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:1:1",5
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:1:2",6
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:1:3",7
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:1:4",8
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:1:5",9
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:2:1",11
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:2:2",12
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:2:3",13
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:3:1",15
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:4:1",17
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:4:2",18
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:4:3",19
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:1",21
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:2",22
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:3",23
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:4",24
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:5",25
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:6",26
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:7",27
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:5:8",28
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:6:1",30
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:7:1",32
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:7:2",33
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:8:1",35
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:8:2",36
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:9:1",38
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:9:2",39
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:9:3",40
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:9:4",41
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:9:5",42
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:10:1",44
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:10:2",45
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:10:3",46
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:10:4",47
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:10:5",48
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 1:10:6",49
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:1:1",52
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:1:2",53
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:1:3",54
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:1:4",55
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:1:5",56
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:2:1",58
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:2:2",59
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:2:3",60
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:2:4",61
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:2:5",62
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:2:6",63
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:3:1",65
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:3:2",66
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:3:3",67
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:3:4",68
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:3:5",69
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:4:1",71
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:4:2",72
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:4:3",73
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:4:4",74
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:4:5",75
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:4:6",76
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:5:1",78
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:5:2",79
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:5:3",80
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:6:1",82
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:6:2",83
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:7:1",85
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:7:2",86
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:7:3",87
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:8:1",89
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:8:2",90
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:8:3",91
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:8:4",92
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:8:5",93
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:9:1",95
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:9:2",96
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:9:3",97
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:9:4",98
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:9:5",99
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:10:1",101
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:10:2",102
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:11:1",104
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:11:2",105
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:11:3",106
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:11:4",107
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:11:5",108
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 2:11:6",109
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:1:1",112
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:1:2",113
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:1:3",114
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:1:4",115
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:2:1",117
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:2:2",118
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:2:3",119
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:2:4",120
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:2:5",121
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:2:6",122
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:3:1",124
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:3:2",125
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:3:3",126
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:3:4",127
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:3:5",128
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:3:6",129
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:1",131
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:2",132
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:3",133
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:4",134
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:5",135
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:6",136
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:7",137
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 3:4:8",138
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 4:1:1",141
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 4:1:2",142
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 4:1:3",143
"Steinsaltz on Mishneh Torah, Borrowing and Deposit 4:1:4",144
