ref,line_index
"Steinsaltz on Mishneh Torah, Hiring 1:1:1",5
"Steinsaltz on Mishneh Torah, Hiring 1:1:2",6
"Steinsaltz on Mishneh Torah, Hiring 1:1:3",7
"Steinsaltz on Mishneh Torah, Hiring 1:1:4",8
"Steinsaltz on Mishneh Torah, Hiring 1:1:5",9
"Steinsaltz on Mishneh Torah, Hiring 1:2:1",11
"Steinsaltz on Mishneh Torah, Hiring 1:2:2",12
"Steinsaltz on Mishneh Torah, Hiring 1:2:3",13
"Steinsaltz on Mishneh Torah, Hiring 1:2:4",14
"Steinsaltz on Mishneh Torah, Hiring 1:2:5",15
"Steinsaltz on Mishneh Torah, Hiring 1:2:6",16
"Steinsaltz on Mishneh Torah, Hiring 1:2:7",17
"Steinsaltz on Mishneh Torah, Hiring 1:2:8",18
"Steinsaltz on Mishneh Torah, Hiring 1:2:9",19
"Steinsaltz on Mishneh Torah, Hiring 1:2:10",20
"Steinsaltz on Mishneh Torah, Hiring 1:2:11",21
"Steinsaltz on Mishneh Torah, Hiring 1:2:12",22
"Steinsaltz on Mishneh Torah, Hiring 1:2:13",23
"Steinsaltz on Mishneh Torah, Hiring 1:2:14",24
"Steinsaltz on Mishneh Torah, Hiring 1:3:1",26
"Steinsaltz on Mishneh Torah, Hiring 1:3:2",27
"Steinsaltz on Mishneh Torah, Hiring 1:3:3",28
"Steinsaltz on Mishneh Torah, Hiring 1:3:4",29
"Steinsaltz on Mishneh Torah, Hiring 1:3:5",30
"Steinsaltz on Mishneh Torah, Hiring 1:4:1",32
"Steinsaltz on Mishneh Torah, Hiring 1:4:2",33
"Steinsaltz on Mishneh Torah, Hiring 1:4:3",34
"Steinsaltz on Mishneh Torah, Hiring 1:4:4",35
"Steinsaltz on Mishneh Torah, Hiring 1:4:5",36
"Steinsaltz on Mishneh Torah, Hiring 1:4:6",37
"Steinsaltz on Mishneh Torah, Hiring 1:4:7",38
"Steinsaltz on Mishneh Torah, Hiring 1:4:8",39
"Steinsaltz on Mishneh Torah, Hiring 1:4:9",40
"Steinsaltz on Mishneh Torah, Hiring 1:4:10",41
"Steinsaltz on Mishneh Torah, Hiring 1:4:11",42
"Steinsaltz on Mishneh Torah, Hiring 1:5:1",44
"Steinsaltz on Mishneh Torah, Hiring 1:5:2",45
"Steinsaltz on Mishneh Torah, Hiring 1:5:3",46
