ref,line_index
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:1",5
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:2",6
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:3",7
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:4",8
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:5",9
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:6",10
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:7",11
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:1:8",12
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:2:1",14
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:2:2",15
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:2:3",16
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:2:4",17
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:2:5",18
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:3:1",20
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:4:1",22
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:5:1",24
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:5:2",25
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:6:1",27
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:7:1",29
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:7:2",30
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:8:1",32
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:9:1",34
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:10:1",36
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:11:1",38
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:11:2",39
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:11:3",40
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:11:4",41
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:11:5",42
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:11:6",43
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:11:7",44
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:12:1",46
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:12:2",47
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:12:3",48
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:12:4",49
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:13:1",51
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:14:1",53
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:14:2",54
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:15:1",56
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:15:2",57
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:15:3",58
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:15:4",59
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:16:1",61
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:16:2",62
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:16:3",63
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:16:4",64
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:16:5",65
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:16:6",66
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:16:7",67
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:17:1",69
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:17:2",70
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:17:3",71
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:17:4",72
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:17:5",73
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:18:1",75
"Steinsaltz on Mishneh Torah, One Who Injures a Person or Property 1:18:2",76
