ref,line_index
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:1",5
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:2",6
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:3",7
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:4",8
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:5",9
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:1",11
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:2",12
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:3",13
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:4",14
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:5",15
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:6",16
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:3:1",18
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:5:1",20
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:6:1",22
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:1",24
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:2",25
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:3",26
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:4",27
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:1",29
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:2",30
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:3",31
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:4",32
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:5",33
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:9:1",35
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:9:2",36
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:10:1",38
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:10:2",39
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:10:3",40
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:11:1",42
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:12:1",44
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:12:2",45
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:12:3",46
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:13:1",48
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:13:2",49
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:13:3",50
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:14:1",52
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:14:2",53
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:1",55
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:2",56
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:3",57
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:4",58
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:5",59
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:16:1",61
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:16:2",62
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:17:1",64
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:17:2",65
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:17:3",66
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:18:1",68
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:19:1",70
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:20:1",72
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:1",75
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:2",76
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:3",77
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:4",78
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:5",79
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:1",81
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:2",82
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:3",83
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:4",84
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:5",85
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:6",86
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:7",87
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:8",88
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:1",90
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:2",91
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:3",92
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:4",93
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:5",94
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1",96
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:2",97
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:3",98
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:4",99
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:5",100
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:6",101
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:5:1",103
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:5:2",104
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:1",106
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:2",107
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:3",108
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:4",109
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:5",110
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:7:1",112
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:7:2",113
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:8:1",115
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:8:2",116
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:1",118
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:2",119
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:3",120
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:4",121
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:5",122
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:1",124
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:2",125
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:3",126
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:4",127
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:5",128
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:11:1",130
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:11:2",131
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:1",133
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:2",134
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:3",135
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:4",136
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:5",137
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:6",138
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:13:1",140
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:13:2",141
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:13:3",142
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:1",144
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:2",145
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:3",146
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:4",147
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:5",148
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:15:1",150
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:16:1",152
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:16:2",153
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:1",156
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:2",157
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:3",158
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:4",159
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:1",161
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:2",162
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:3",163
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:4",164
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:5",165
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:6",166
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:7",167
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:8",168
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:9",169
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:3:1",171
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:3:2",172
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:3:3",173
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:4:1",175
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:4:2",176
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:4:3",177
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:5:1",179
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:5:2",180
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:5:3",181
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:5:4",182
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:6:1",184
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:7:1",186
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:7:2",187
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:7:3",188
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:7:4",189
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:7:5",190
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:8:1",192
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:8:2",193
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:8:3",194
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:8:4",195
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:9:1",197
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:9:2",198
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:9:3",199
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:9:4",200
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:10:1",202
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:10:2",203
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:10:3",204
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:10:4",205
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:10:5",206
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:11:1",208
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:11:2",209
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:11:3",210
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:11:4",211
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:11:5",212
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:11:6",213
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:12:1",215
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:12:2",216
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:12:3",217
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:12:4",218
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:13:1",220
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:13:2",221
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:13:3",222
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:14:1",224
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:15:1",226
