ref,line_index
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:1:1",5
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:1:2",6
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:1:3",7
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:2:1",9
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:2:2",10
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:3:1",12
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:3:2",13
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:1",15
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:2",16
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:3",17
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:4",18
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:5",19
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:6",20
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:7",21
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:5:1",23
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:5:2",24
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:5:3",25
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:1",27
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:2",28
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:3",29
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:4",30
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:5",31
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:7:1",33
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:7:2",34
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:7:3",35
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:8:1",37
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:9:1",39
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:9:2",40
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:10:1",42
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:10:2",43
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:11:1",45
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:11:2",46
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:1",48
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:2",49
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:3",50
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:4",51
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:5",52
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:13:1",54
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:13:2",55
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:13:3",56
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:14:1",58
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:15:1",60
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:1",62
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:2",63
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:3",64
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:4",65
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:5",66
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:6",67
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:7",68
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:17:1",70
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:17:2",71
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:18:1",73
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:19:1",75
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:19:2",76
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:19:3",77
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:20:1",79
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:20:2",80
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:21:1",82
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:22:1",84
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:22:2",85
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:22:3",86
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:22:4",87
