ref,line_index
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:1:1",5
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:1:2",6
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:2:1",8
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:2:2",9
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:1",11
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:2",12
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:3",13
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:4",14
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:5",15
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:6",16
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:7",17
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:3:8",18
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:4:1",20
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:5:1",22
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:5:2",23
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:6:1",25
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:8:1",27
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:9:1",29
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:9:2",30
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:9:3",31
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:9:4",32
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:9:5",33
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:9:6",34
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:10:1",36
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:10:2",37
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:10:3",38
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:10:4",39
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:10:5",40
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:1",42
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:2",43
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:3",44
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:4",45
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:5",46
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:6",47
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:7",48
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:8",49
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:9",50
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:10",51
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:11",52
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:12",53
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:13",54
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:14",55
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:15",56
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:11:16",57
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:1",59
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:2",60
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:3",61
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:4",62
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:5",63
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:6",64
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:7",65
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 1:12:8",66
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:1:1",69
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:2:1",71
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:2:2",72
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:2:3",73
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:2:4",74
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:2:5",75
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:2:6",76
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:3:1",78
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:3:2",79
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:3:3",80
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:3:4",81
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:3:5",82
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:1",84
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:2",85
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:3",86
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:4",87
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:5",88
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:6",89
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:7",90
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:8",91
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:9",92
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:4:10",93
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:5:1",95
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:5:2",96
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:5:3",97
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:6:1",99
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:6:2",100
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:6:3",101
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:6:4",102
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:7:1",104
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:7:2",105
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:7:3",106
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:7:4",107
"Steinsaltz on Mishneh Torah, Things Forbidden on the Altar 2:8:1",109
