ref,line_index
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:2:1",5
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:2:2",6
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:2:3",7
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:2:4",8
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:2:5",9
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:2:6",10
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:3:1",12
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:3:2",13
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:3:3",14
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:3:4",15
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:3:5",16
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:4:1",18
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:4:2",19
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:4:3",20
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:4:4",21
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:5:1",23
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:5:2",24
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:7:1",26
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:7:2",27
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:7:3",28
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:8:1",30
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:8:2",31
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:8:3",32
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:9:1",34
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:9:2",35
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:9:3",36
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:9:4",37
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:9:5",38
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:10:1",40
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:10:2",41
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:1",43
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:2",44
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:3",45
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:4",46
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:5",47
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:6",48
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:7",49
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:8",50
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:11:9",51
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:13:1",53
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:13:2",54
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:13:3",55
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:13:4",56
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:14:1",58
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:15:1",60
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:15:2",61
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:15:3",62
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:16:1",64
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:16:2",65
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:16:3",66
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:16:4",67
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:17:1",69
"Steinsaltz on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1:17:2",70
