ref,line_index
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:1:1",5
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:1:2",6
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:2:1",8
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:2:2",9
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:3:1",11
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:3:2",12
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:4:1",14
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:5:1",16
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:5:2",17
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:1",19
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:2",20
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:3",21
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:4",22
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:7:1",24
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:8:1",26
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:11:1",28
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:11:2",29
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:11:3",30
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:12:1",32
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:13:1",34
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:13:2",35
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:1",37
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:2",38
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:3",39
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:4",40
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:16:1",42
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:18:1",44
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:18:2",45
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:19:1",47
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:20:1",49
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:20:2",50
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:20:3",51
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:1",53
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:2",54
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:3",55
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:4",56
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:22:1",58
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:22:2",59
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:22:3",60
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:23:1",62
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:23:2",63
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:24:1",65
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:25:1",67
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:1",69
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:2",70
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:3",71
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:4",72
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:27:1",74
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:27:2",75
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:27:3",76
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:28:1",78
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:28:2",79
