ref,line_index
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:1:1",5
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:1:2",6
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:1:3",7
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:1:4",8
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:1:5",9
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:2:1",11
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:2:2",12
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:3:1",14
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:3:2",15
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:4:1",17
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:5:1",19
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:6:1",21
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:6:2",22
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:6:3",23
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:6:4",24
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:6:5",25
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:8:1",27
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:8:2",28
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:8:3",29
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:8:4",30
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:8:5",31
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:8:6",32
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:8:7",33
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:9:1",35
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:9:2",36
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:9:3",37
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:9:4",38
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:9:5",39
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:10:1",41
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:10:2",42
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:10:3",43
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:10:4",44
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:10:5",45
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:11:1",47
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:11:2",48
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:11:3",49
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:11:4",50
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:12:1",52
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:12:2",53
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:12:3",54
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:12:4",55
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:12:5",56
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:12:6",57
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:12:7",58
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:13:1",60
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:13:2",61
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:13:3",62
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:13:4",63
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:13:5",64
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:14:1",66
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:14:2",67
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:14:3",68
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:14:4",69
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:15:1",71
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:15:2",72
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:15:3",73
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:15:4",74
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:16:1",76
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:17:1",78
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:17:2",79
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:18:1",81
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:18:2",82
"Steinsaltz on Mishneh Torah, Forbidden Intercourse 1:18:3",83
