ref,line_index
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:1:1",5
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:1:2",6
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:1",8
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:2",9
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:3",10
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:4",11
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:5",12
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:3:1",14
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:3:2",15
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:3:3",16
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:4:1",18
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:4:2",19
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:4:3",20
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:5:1",22
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:5:2",23
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:6:1",25
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:6:2",26
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:6:3",27
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:7:1",29
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:7:2",30
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:8:1",32
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:9:1",34
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:9:2",35
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:1",37
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:2",38
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:3",39
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:4",40
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:11:1",42
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:11:2",43
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:11:3",44
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:12:1",46
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:12:2",47
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:13:1",49
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:13:2",50
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:1",52
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:2",53
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:3",54
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:4",55
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:5",56
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:6",57
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:7",58
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:8",59
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:15:1",61
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:15:2",62
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:1:1",65
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:1:2",66
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:1:3",67
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:1:4",68
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:1:5",69
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:2:1",71
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:2:2",72
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:3:1",74
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:3:2",75
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:3:3",76
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:3:4",77
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:3:5",78
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:4:1",80
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:4:2",81
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:4:3",82
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:4:4",83
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:4:5",84
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:4:6",85
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:5:1",87
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:5:2",88
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:6:1",90
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:6:2",91
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:6:3",92
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:7:1",94
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:7:2",95
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:9:1",97
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:9:2",98
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:9:3",99
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:10:1",101
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:11:1",103
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:11:2",104
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:13:1",106
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:14:1",108
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:14:2",109
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:15:1",111
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:15:2",112
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:16:1",114
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:16:2",115
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:17:1",117
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:17:2",118
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:17:3",119
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:17:4",120
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:17:5",121
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:17:6",122
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:18:1",124
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:18:2",125
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 2:18:3",126
