ref,line_index
"Steinsaltz on Mishneh Torah, Kings and Wars 1:1:1",5
"Steinsaltz on Mishneh Torah, Kings and Wars 1:1:2",6
"Steinsaltz on Mishneh Torah, Kings and Wars 1:2:1",8
"Steinsaltz on Mishneh Torah, Kings and Wars 1:2:2",9
"Steinsaltz on Mishneh Torah, Kings and Wars 1:3:1",11
"Steinsaltz on Mishneh Torah, Kings and Wars 1:3:2",12
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:1",14
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:2",15
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:3",16
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:4",17
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:5",18
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:6",19
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:1",21
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:2",22
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:3",23
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:4",24
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:5",25
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:1",27
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:2",28
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:3",29
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:4",30
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:5",31
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:6",32
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:7",33
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:8",34
"Steinsaltz on Mishneh Torah, Kings and Wars 1:8:1",36
"Steinsaltz on Mishneh Torah, Kings and Wars 1:8:2",37
"Steinsaltz on Mishneh Torah, Kings and Wars 1:8:3",38
"Steinsaltz on Mishneh Torah, Kings and Wars 1:9:1",40
"Steinsaltz on Mishneh Torah, Kings and Wars 1:10:1",42
"Steinsaltz on Mishneh Torah, Kings and Wars 1:10:2",43
"Steinsaltz on Mishneh Torah, Kings and Wars 1:11:1",45
"Steinsaltz on Mishneh Torah, Kings and Wars 1:12:1",47
"Steinsaltz on Mishneh Torah, Kings and Wars 1:12:2",48
"Steinsaltz on Mishneh Torah, Kings and Wars 1:12:3",49
"Steinsaltz on Mishneh Torah, Kings and Wars 2:1:1",52
"Steinsaltz on Mishneh Torah, Kings and Wars 2:1:2",53
"Steinsaltz on Mishneh Torah, Kings and Wars 2:1:3",54
"Steinsaltz on Mishneh Torah, Kings and Wars 2:3:1",56
"Steinsaltz on Mishneh Torah, Kings and Wars 2:3:2",57
"Steinsaltz on Mishneh Torah, Kings and Wars 2:3:3",58
"Steinsaltz on Mishneh Torah, Kings and Wars 2:3:4",59
"Steinsaltz on Mishneh Torah, Kings and Wars 2:3:5",60
"Steinsaltz on Mishneh Torah, Kings and Wars 2:3:6",61
"Steinsaltz on Mishneh Torah, Kings and Wars 2:4:1",63
"Steinsaltz on Mishneh Torah, Kings and Wars 2:4:2",64
"Steinsaltz on Mishneh Torah, Kings and Wars 2:4:3",65
"Steinsaltz on Mishneh Torah, Kings and Wars 2:4:4",66
"Steinsaltz on Mishneh Torah, Kings and Wars 2:4:5",67
"Steinsaltz on Mishneh Torah, Kings and Wars 2:5:1",69
"Steinsaltz on Mishneh Torah, Kings and Wars 2:5:2",70
"Steinsaltz on Mishneh Torah, Kings and Wars 2:5:3",71
"Steinsaltz on Mishneh Torah, Kings and Wars 2:5:4",72
"Steinsaltz on Mishneh Torah, Kings and Wars 2:5:5",73
"Steinsaltz on Mishneh Torah, Kings and Wars 2:5:6",74
"Steinsaltz on Mishneh Torah, Kings and Wars 2:5:7",75
"Steinsaltz on Mishneh Torah, Kings and Wars 2:6:1",77
"Steinsaltz on Mishneh Torah, Kings and Wars 2:6:2",78
