ref,line_index
"Steinsaltz on Mishneh Torah, Testimony 1:1:1",5
"Steinsaltz on Mishneh Torah, Testimony 1:1:2",6
"Steinsaltz on Mishneh Torah, Testimony 1:1:3",7
"Steinsaltz on Mishneh Torah, Testimony 1:1:4",8
"Steinsaltz on Mishneh Torah, Testimony 1:2:1",10
"Steinsaltz on Mishneh Torah, Testimony 1:2:2",11
"Steinsaltz on Mishneh Torah, Testimony 1:2:3",12
"Steinsaltz on Mishneh Torah, Testimony 1:2:4",13
"Steinsaltz on Mishneh Torah, Testimony 1:2:5",14
"Steinsaltz on Mishneh Torah, Testimony 1:3:1",16
"Steinsaltz on Mishneh Torah, Testimony 1:3:2",17
"Steinsaltz on Mishneh Torah, Testimony 1:4:1",19
"Steinsaltz on Mishneh Torah, Testimony 1:4:2",20
"Steinsaltz on Mishneh Torah, Testimony 1:4:3",21
"Steinsaltz on Mishneh Torah, Testimony 1:4:4",22
"Steinsaltz on Mishneh Torah, Testimony 1:4:5",23
"Steinsaltz on Mishneh Torah, Testimony 1:4:6",24
"Steinsaltz on Mishneh Torah, Testimony 1:4:7",25
"Steinsaltz on Mishneh Torah, Testimony 1:4:8",26
"Steinsaltz on Mishneh Torah, Testimony 1:4:9",27
"Steinsaltz on Mishneh Torah, Testimony 1:4:10",28
"Steinsaltz on Mishneh Torah, Testimony 1:4:11",29
"Steinsaltz on Mishneh Torah, Testimony 1:4:12",30
"Steinsaltz on Mishneh Torah, Testimony 1:4:13",31
"Steinsaltz on Mishneh Torah, Testimony 1:5:1",33
"Steinsaltz on Mishneh Torah, Testimony 1:5:2",34
"Steinsaltz on Mishneh Torah, Testimony 1:5:3",35
"Steinsaltz on Mishneh Torah, Testimony 1:5:4",36
"Steinsaltz on Mishneh Torah, Testimony 1:6:1",38
"Steinsaltz on Mishneh Torah, Testimony 2:1:1",41
"Steinsaltz on Mishneh Torah, Testimony 2:1:2",42
"Steinsaltz on Mishneh Torah, Testimony 2:1:3",43
"Steinsaltz on Mishneh Torah, Testimony 2:1:4",44
"Steinsaltz on Mishneh Torah, Testimony 2:1:5",45
"Steinsaltz on Mishneh Torah, Testimony 2:1:6",46
"Steinsaltz on Mishneh Torah, Testimony 2:1:7",47
"Steinsaltz on Mishneh Torah, Testimony 2:1:8",48
"Steinsaltz on Mishneh Torah, Testimony 2:1:9",49
"Steinsaltz on Mishneh Torah, Testimony 2:1:10",50
"Steinsaltz on Mishneh Torah, Testimony 2:1:11",51
"Steinsaltz on Mishneh Torah, Testimony 2:1:12",52
"Steinsaltz on Mishneh Torah, Testimony 2:1:13",53
"Steinsaltz on Mishneh Torah, Testimony 2:2:1",55
"Steinsaltz on Mishneh Torah, Testimony 2:2:2",56
"Steinsaltz on Mishneh Torah, Testimony 2:2:3",57
"Steinsaltz on Mishneh Torah, Testimony 2:2:4",58
"Steinsaltz on Mishneh Torah, Testimony 2:3:1",60
"Steinsaltz on Mishneh Torah, Testimony 2:3:2",61
"Steinsaltz on Mishneh Torah, Testimony 2:3:3",62
"Steinsaltz on Mishneh Torah, Testimony 2:3:4",63
"Steinsaltz on Mishneh Torah, Testimony 2:4:1",65
"Steinsaltz on Mishneh Torah, Testimony 2:4:2",66
"Steinsaltz on Mishneh Torah, Testimony 2:4:3",67
"Steinsaltz on Mishneh Torah, Testimony 2:4:4",68
"Steinsaltz on Mishneh Torah, Testimony 2:4:5",69
"Steinsaltz on Mishneh Torah, Testimony 2:5:1",71
"Steinsaltz on Mishneh Torah, Testimony 2:5:2",72
"Steinsaltz on Mishneh Torah, Testimony 2:5:3",73
"Steinsaltz on Mishneh Torah, Testimony 3:1:1",76
"Steinsaltz on Mishneh Torah, Testimony 3:1:2",77
"Steinsaltz on Mishneh Torah, Testimony 3:1:3",78
"Steinsaltz on Mishneh Torah, Testimony 3:1:4",79
"Steinsaltz on Mishneh Torah, Testimony 3:2:1",81
"Steinsaltz on Mishneh Torah, Testimony 3:2:2",82
"Steinsaltz on Mishneh Torah, Testimony 3:2:3",83
