ref,line_index
Par Echad on Pirkei DeRabbi Eliezer 1:1,4
Par Echad on Pirkei DeRabbi Eliezer 1:2,5
Par Echad on Pirkei DeRabbi Eliezer 1:3,6
Par Echad on Pirkei DeRabbi Eliezer 2:1,8
Par Echad on Pirkei DeRabbi Eliezer 2:2,9
Par Echad on Pirkei DeRabbi Eliezer 3:1,11
Par Echad on Pirkei DeRabbi Eliezer 3:2,12
Par Echad on Pirkei DeRabbi Eliezer 4:1,14
Par Echad on Pirkei DeRabbi Eliezer 4:2,15
Par Echad on Pirkei DeRabbi Eliezer 5:1,17
Par Echad on Pirkei DeRabbi Eliezer 5:2,18
Par Echad on Pirkei DeRabbi Eliezer 6:1,20
Par Echad on Pirkei DeRabbi Eliezer 6:2,21
Par Echad on Pirkei DeRabbi Eliezer 7:1,23
Par Echad on Pirkei DeRabbi Eliezer 7:2,24
Par Echad on Pirkei DeRabbi Eliezer 8:1,26
Par Echad on Pirkei DeRabbi Eliezer 8:2,27
Par Echad on Pirkei DeRabbi Eliezer 8:3,28
Par Echad on Pirkei DeRabbi Eliezer 8:4,29
Par Echad on Pirkei DeRabbi Eliezer 9:1,31
Par Echad on Pirkei DeRabbi Eliezer 9:2,32
Par Echad on Pirkei DeRabbi Eliezer 9:3,33
Par Echad on Pirkei DeRabbi Eliezer 9:4,34
Par Echad on Pirkei DeRabbi Eliezer 10:1,36
Par Echad on Pirkei DeRabbi Eliezer 11:1,38
Par Echad on Pirkei DeRabbi Eliezer 11:2,39
Par Echad on Pirkei DeRabbi Eliezer 11:3,40
Par Echad on Pirkei DeRabbi Eliezer 11:4,41
Par Echad on Pirkei DeRabbi Eliezer 11:5,42
Par Echad on Pirkei DeRabbi Eliezer 11:6,43
Par Echad on Pirkei DeRabbi Eliezer 12:1,45
Par Echad on Pirkei DeRabbi Eliezer 12:2,46
Par Echad on Pirkei DeRabbi Eliezer 12:3,47
Par Echad on Pirkei DeRabbi Eliezer 12:4,48
Par Echad on Pirkei DeRabbi Eliezer 12:5,49
Par Echad on Pirkei DeRabbi Eliezer 13:1,51
Par Echad on Pirkei DeRabbi Eliezer 14:1,53
Par Echad on Pirkei DeRabbi Eliezer 14:2,54
Par Echad on Pirkei DeRabbi Eliezer 15:1,56
Par Echad on Pirkei DeRabbi Eliezer 15:2,57
Par Echad on Pirkei DeRabbi Eliezer 15:3,58
Par Echad on Pirkei DeRabbi Eliezer 16:1,60
Par Echad on Pirkei DeRabbi Eliezer 16:2,61
Par Echad on Pirkei DeRabbi Eliezer 16:3,62
Par Echad on Pirkei DeRabbi Eliezer 17:1,64
Par Echad on Pirkei DeRabbi Eliezer 17:2,65
Par Echad on Pirkei DeRabbi Eliezer 17:3,66
Par Echad on Pirkei DeRabbi Eliezer 17:4,67
Par Echad on Pirkei DeRabbi Eliezer 18:1,69
Par Echad on Pirkei DeRabbi Eliezer 18:2,70
Par Echad on Pirkei DeRabbi Eliezer 18:3,71
Par Echad on Pirkei DeRabbi Eliezer 18:4,72
Par Echad on Pirkei DeRabbi Eliezer 19:1,74
Par Echad on Pirkei DeRabbi Eliezer 19:2,75
