ref,line_index
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:1",5
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:2",7
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:3",9
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:4",11
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:5",13
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:6",15
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:7",17
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:8",19
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:9",21
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:10",23
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:11",25
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:12",27
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 1:13",29
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 2:1",31
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 2:2",33
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 2:3",35
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 2:4",37
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 2:5",39
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 2:6",41
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 3:1",43
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 4:1",45
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 5:1",47
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 6:1",49
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 6:2",51
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 6:3",53
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 7:1",55
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 8:1",57
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 9:1",59
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 10:1",61
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 10:2",63
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 11:1",65
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 12:1",67
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 13:1",69
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 14:1",71
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 15:1",73
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 16:1",75
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 17:1",77
"Ra'avad on Sifra, Baraita DeRabbi Yishmael 17:2",79
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 1:1",83
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 3:1",85
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 7:1",87
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 7:2",89
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 8:1",91
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 9:1",93
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 9:2",95
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 11:1",97
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 1 12:1",99
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 1:1",102
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 4:1",104
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 5:1",106
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 5:2",108
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 6:1",110
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 6:2",112
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 7:1",114
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 9:1",116
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 9:2",118
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 10:1",120
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 12:1",122
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 12:2",124
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 12:3",126
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 13:1",128
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 13:2",130
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 13:3",132
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 13:4",134
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Chapter 2 13:5",136
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 1:1",139
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 2:1",141
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 2:2",143
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 2:3",145
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 2:4",147
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 2:5",149
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 2:6",151
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 2:7",153
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 3:1",155
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 3:2",157
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 3:3",159
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 3:4",161
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 5:1",163
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 6:1",165
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 7:1",167
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:1",169
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:2",171
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:3",173
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:4",175
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:5",177
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:6",179
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:7",181
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 9:8",183
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 10:1",185
"Ra'avad on Sifra, Vayikra Dibbura DeNedavah, Section 2 10:2",187
