ref,line_index
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 1",4
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 2",5
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 3",6
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 4",7
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 5",8
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 6",9
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 7",10
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 8",11
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 9",12
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 10",13
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 11",14
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 12",15
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 13",16
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 14",17
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 15",18
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 16",19
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 17",20
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 18",21
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 19",22
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 20",23
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 21",24
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 22",25
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 23",26
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 24",27
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 25",28
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 26",29
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 27",30
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 28",31
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 29",32
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 30",33
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 31",34
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 32",35
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 33",36
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 34",37
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 35",38
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 36",39
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 37",40
"Future Tense; A Vision for Jews and Judaism in the Global Culture, Prologue 38",41
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 1",43
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 2",44
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 3",45
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 4",46
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 5",47
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 6",48
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 7",49
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 8",50
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 9",51
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 10",52
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 11",53
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 12",54
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 13",55
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 14",56
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 15",57
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 16",58
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 17",59
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 18",60
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 19",61
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 20",62
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 21",63
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 22",64
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 23",65
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 24",66
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 25",67
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 26",68
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 27",69
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 28",70
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 29",71
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 30",72
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 31",73
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 32",74
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 33",75
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 34",76
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 35",77
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 36",78
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 37",79
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 38",80
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 39",81
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 40",82
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 41",83
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 42",84
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 43",85
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 44",86
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 1; Story of the People, People of the Story 45",87
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 1",90
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 2",91
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 3",92
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 4",93
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 5",94
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 6",95
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 7",96
"Future Tense; A Vision for Jews and Judaism in the Global Culture, 3; Jewish Continuity and How to Achieve It 8",97
