ref,line_index
Sha'arei Torat Bavel on Mishnah Oholot 1:2:1,5
Sha'arei Torat Bavel on Mishnah Oholot 1:3:1,7
Sha'arei Torat Bavel on Mishnah Oholot 1:8:1,9
Sha'arei Torat Bavel on Mishnah Oholot 2:1:1,12
Sha'arei Torat Bavel on Mishnah Oholot 2:2:1,14
Sha'arei Torat Bavel on Mishnah Oholot 2:4:1,16
Sha'arei Torat Bavel on Mishnah Oholot 4:1:1,19
Sha'arei Torat Bavel on Mishnah Oholot 4:3:1,21
Sha'arei Torat Bavel on Mishnah Oholot 5:6:1,24
Sha'arei Torat Bavel on Mishnah Oholot 5:7:1,26
Sha'arei Torat Bavel on Mishnah Oholot 7:3:1,29
Sha'arei Torat Bavel on Mishnah Oholot 8:2:1,32
Sha'arei Torat Bavel on Mishnah Oholot 8:3:1,34
Sha'arei Torat Bavel on Mishnah Oholot 9:12:1,37
Sha'arei Torat Bavel on Mishnah Oholot 9:15:1,39
Sha'arei Torat Bavel on Mishnah Oholot 9:16:1,41
Sha'arei Torat Bavel on Mishnah Oholot 10:4:1,44
Sha'arei Torat Bavel on Mishnah Oholot 10:7:1,46
Sha'arei Torat Bavel on Mishnah Oholot 11:2:1,49
Sha'arei Torat Bavel on Mishnah Oholot 11:4:1,51
Sha'arei Torat Bavel on Mishnah Oholot 11:7:1,53
Sha'arei Torat Bavel on Mishnah Oholot 12:7:1,56
Sha'arei Torat Bavel on Mishnah Oholot 13:1:1,59
Sha'arei Torat Bavel on Mishnah Oholot 13:4:1,61
Sha'arei Torat Bavel on Mishnah Oholot 13:5:1,63
Sha'arei Torat Bavel on Mishnah Oholot 14:2:1,66
Sha'arei Torat Bavel on Mishnah Oholot 15:1:1,69
Sha'arei Torat Bavel on Mishnah Oholot 15:7:1,71
Sha'arei Torat Bavel on Mishnah Oholot 15:8:1,73
Sha'arei Torat Bavel on Mishnah Oholot 16:3:1,76
Sha'arei Torat Bavel on Mishnah Oholot 16:5:1,78
Sha'arei Torat Bavel on Mishnah Oholot 18:2:1,81
Sha'arei Torat Bavel on Mishnah Oholot 18:3:1,83
Sha'arei Torat Bavel on Mishnah Oholot 18:4:1,85
Sha'arei Torat Bavel on Mishnah Oholot 18:5:1,87
Sha'arei Torat Bavel on Mishnah Oholot 18:9:1,89
Sha'arei Torat Bavel on Mishnah Oholot 18:10:1,91
