ref,line_index
Be'er Sheva on Chullin 5a:1,4
Be'er Sheva on Chullin 5b:1,6
Be'er Sheva on Chullin 5b:2,7
Be'er Sheva on Chullin 15a:1,9
Be'er Sheva on Chullin 15b:1,11
Be'er Sheva on Chullin 57a:1,13
Be'er Sheva on Chullin 67a:1,15
Be'er Sheva on Chullin 82a:1,17
Be'er Sheva on Chullin 91a:1,19
Be'er Sheva on Chullin 96a:1,21
Be'er Sheva on Chullin 96a:2,22
Be'er Sheva on Chullin 97b:1,24
Be'er Sheva on Chullin 98a:1,26
Be'er Sheva on Chullin 100a:1,28
Be'er Sheva on Chullin 109a:1,30
Be'er Sheva on Chullin 111b:1,32
Be'er Sheva on Chullin 111b:2,33
Be'er Sheva on Chullin 113a:1,35
Be'er Sheva on Chullin 113a:2,36
Be'er Sheva on Chullin 113a:3,37
Be'er Sheva on Chullin 113a:4,38
Be'er Sheva on Chullin 113a:5,39
Be'er Sheva on Chullin 113a:6,40
Be'er Sheva on Chullin 113a:7,41
Be'er Sheva on Chullin 113a:8,42
Be'er Sheva on Chullin 130b:1,44
