ref,line_index
Gevurat Ari on Makkot 2a:1,3
Gevurat Ari on Makkot 2a:2,4
Gevurat Ari on Makkot 2a:3,5
Gevurat Ari on Makkot 2a:4,6
Gevurat Ari on Makkot 2a:5,7
Gevurat Ari on Makkot 2a:6,8
Gevurat Ari on Makkot 2a:7,9
Gevurat Ari on Makkot 2a:8,10
Gevurat Ari on Makkot 2b:1,12
Gevurat Ari on Makkot 2b:2,13
Gevurat Ari on Makkot 4b:1,15
Gevurat Ari on Makkot 4b:2,16
Gevurat Ari on Makkot 5a:1,18
Gevurat Ari on Makkot 5a:2,19
Gevurat Ari on Makkot 5a:3,20
Gevurat Ari on Makkot 5b:1,22
Gevurat Ari on Makkot 5b:2,23
Gevurat Ari on Makkot 5b:3,24
Gevurat Ari on Makkot 5b:4,25
Gevurat Ari on Makkot 5b:5,26
Gevurat Ari on Makkot 5b:6,27
Gevurat Ari on Makkot 5b:7,28
Gevurat Ari on Makkot 5b:8,29
Gevurat Ari on Makkot 5b:9,30
Gevurat Ari on Makkot 5b:10,31
Gevurat Ari on Makkot 5b:11,32
Gevurat Ari on Makkot 5b:12,33
Gevurat Ari on Makkot 5b:13,34
Gevurat Ari on Makkot 5b:14,35
Gevurat Ari on Makkot 5b:15,36
Gevurat Ari on Makkot 6a:1,38
Gevurat Ari on Makkot 6a:2,39
Gevurat Ari on Makkot 6a:3,40
Gevurat Ari on Makkot 6a:4,41
Gevurat Ari on Makkot 6a:5,42
Gevurat Ari on Makkot 6a:6,43
Gevurat Ari on Makkot 6b:1,45
Gevurat Ari on Makkot 6b:2,46
Gevurat Ari on Makkot 6b:3,47
Gevurat Ari on Makkot 6b:4,48
Gevurat Ari on Makkot 6b:5,49
Gevurat Ari on Makkot 7a:1,51
Gevurat Ari on Makkot 7a:2,52
Gevurat Ari on Makkot 7a:3,53
Gevurat Ari on Makkot 7a:4,54
Gevurat Ari on Makkot 7a:5,55
Gevurat Ari on Makkot 7a:6,56
Gevurat Ari on Makkot 7a:7,57
Gevurat Ari on Makkot 9b:1,59
Gevurat Ari on Makkot 10a:1,61
Gevurat Ari on Makkot 11b:1,63
Gevurat Ari on Makkot 11b:2,64
Gevurat Ari on Makkot 11b:3,65
Gevurat Ari on Makkot 11b:4,66
Gevurat Ari on Makkot 12a:1,68
Gevurat Ari on Makkot 12a:2,69
Gevurat Ari on Makkot 13a:1,71
Gevurat Ari on Makkot 14b:1,73
Gevurat Ari on Makkot 16b:1,75
Gevurat Ari on Makkot 16b:2,76
Gevurat Ari on Makkot 17a:1,78
Gevurat Ari on Makkot 18b:1,80
Gevurat Ari on Makkot 18b:2,81
Gevurat Ari on Makkot 18b:3,82
Gevurat Ari on Makkot 21b:1,84
Gevurat Ari on Makkot 21b:2,85
Gevurat Ari on Makkot 21b:3,86
Gevurat Ari on Makkot 21b:4,87
Gevurat Ari on Makkot 21b:5,88
Gevurat Ari on Makkot 21b:6,89
Gevurat Ari on Makkot 22a:1,91
Gevurat Ari on Makkot 22a:2,92
Gevurat Ari on Makkot 22a:3,93
Gevurat Ari on Makkot 22a:4,94
Gevurat Ari on Makkot 22a:5,95
Gevurat Ari on Makkot 23b:1,97
Gevurat Ari on Makkot 23b:2,98
Gevurat Ari on Makkot 23b:3,99
