ref,line_index
Gevurat Ari on Taanit 2a:1,4
Gevurat Ari on Taanit 2a:2,5
Gevurat Ari on Taanit 2a:3,6
Gevurat Ari on Taanit 2a:4,7
Gevurat Ari on Taanit 2a:5,8
Gevurat Ari on Taanit 2a:6,9
Gevurat Ari on Taanit 2a:7,10
Gevurat Ari on Taanit 2b:1,12
Gevurat Ari on Taanit 2b:2,13
Gevurat Ari on Taanit 2b:3,14
Gevurat Ari on Taanit 2b:4,15
Gevurat Ari on Taanit 2b:5,16
Gevurat Ari on Taanit 2b:6,17
Gevurat Ari on Taanit 2b:7,18
Gevurat Ari on Taanit 2b:8,19
Gevurat Ari on Taanit 2b:9,20
Gevurat Ari on Taanit 2b:10,21
Gevurat Ari on Taanit 2b:11,22
Gevurat Ari on Taanit 2b:12,23
Gevurat Ari on Taanit 2b:13,24
Gevurat Ari on Taanit 2b:14,25
Gevurat Ari on Taanit 2b:15,26
Gevurat Ari on Taanit 2b:16,27
Gevurat Ari on Taanit 2b:17,28
Gevurat Ari on Taanit 3a:1,30
Gevurat Ari on Taanit 3a:2,31
Gevurat Ari on Taanit 3b:1,33
Gevurat Ari on Taanit 3b:2,34
Gevurat Ari on Taanit 3b:3,35
Gevurat Ari on Taanit 3b:4,36
Gevurat Ari on Taanit 3b:5,37
Gevurat Ari on Taanit 4a:1,39
Gevurat Ari on Taanit 4a:2,40
Gevurat Ari on Taanit 4a:3,41
Gevurat Ari on Taanit 4a:4,42
Gevurat Ari on Taanit 4a:5,43
Gevurat Ari on Taanit 4b:1,45
Gevurat Ari on Taanit 4b:2,46
Gevurat Ari on Taanit 4b:3,47
Gevurat Ari on Taanit 4b:4,48
Gevurat Ari on Taanit 4b:5,49
Gevurat Ari on Taanit 4b:6,50
Gevurat Ari on Taanit 4b:7,51
Gevurat Ari on Taanit 4b:8,52
Gevurat Ari on Taanit 4b:9,53
Gevurat Ari on Taanit 4b:10,54
Gevurat Ari on Taanit 4b:11,55
Gevurat Ari on Taanit 4b:12,56
Gevurat Ari on Taanit 5a:1,58
Gevurat Ari on Taanit 5a:2,59
Gevurat Ari on Taanit 5a:3,60
Gevurat Ari on Taanit 5a:4,61
Gevurat Ari on Taanit 5b:1,63
Gevurat Ari on Taanit 5b:2,64
Gevurat Ari on Taanit 5b:3,65
Gevurat Ari on Taanit 5b:4,66
Gevurat Ari on Taanit 6a:1,68
Gevurat Ari on Taanit 6a:2,69
Gevurat Ari on Taanit 6a:3,70
Gevurat Ari on Taanit 6a:4,71
Gevurat Ari on Taanit 6b:1,73
Gevurat Ari on Taanit 6b:2,74
Gevurat Ari on Taanit 6b:3,75
Gevurat Ari on Taanit 6b:4,76
Gevurat Ari on Taanit 6b:5,77
Gevurat Ari on Taanit 6b:6,78
Gevurat Ari on Taanit 7a:1,80
Gevurat Ari on Taanit 7a:2,81
Gevurat Ari on Taanit 7a:3,82
Gevurat Ari on Taanit 7a:4,83
Gevurat Ari on Taanit 7a:5,84
Gevurat Ari on Taanit 7b:1,86
Gevurat Ari on Taanit 7b:2,87
Gevurat Ari on Taanit 7b:3,88
Gevurat Ari on Taanit 7b:4,89
Gevurat Ari on Taanit 7b:5,90
Gevurat Ari on Taanit 7b:6,91
Gevurat Ari on Taanit 8a:1,93
Gevurat Ari on Taanit 9a:1,95
Gevurat Ari on Taanit 9a:2,96
Gevurat Ari on Taanit 10a:1,98
Gevurat Ari on Taanit 10a:2,99
Gevurat Ari on Taanit 10a:3,100
Gevurat Ari on Taanit 10a:4,101
Gevurat Ari on Taanit 10a:5,102
Gevurat Ari on Taanit 10a:6,103
Gevurat Ari on Taanit 10a:7,104
Gevurat Ari on Taanit 10a:8,105
Gevurat Ari on Taanit 10a:9,106
Gevurat Ari on Taanit 10a:10,107
Gevurat Ari on Taanit 10b:1,109
Gevurat Ari on Taanit 10b:2,110
Gevurat Ari on Taanit 10b:3,111
Gevurat Ari on Taanit 10b:4,112
Gevurat Ari on Taanit 10b:5,113
Gevurat Ari on Taanit 11a:1,115
Gevurat Ari on Taanit 11a:2,116
Gevurat Ari on Taanit 11a:3,117
Gevurat Ari on Taanit 11a:4,118
Gevurat Ari on Taanit 11a:5,119
Gevurat Ari on Taanit 11a:6,120
Gevurat Ari on Taanit 11a:7,121
Gevurat Ari on Taanit 11a:8,122
Gevurat Ari on Taanit 11a:9,123
Gevurat Ari on Taanit 11a:10,124
Gevurat Ari on Taanit 11a:11,125
Gevurat Ari on Taanit 11a:12,126
Gevurat Ari on Taanit 11a:13,127
Gevurat Ari on Taanit 11a:14,128
