ref,line_index
Sha'arei Torat Bavel on Yoma 2a:1,4
Sha'arei Torat Bavel on Yoma 6b:1,6
Sha'arei Torat Bavel on Yoma 8b:1,8
Sha'arei Torat Bavel on Yoma 9b:1,10
Sha'arei Torat Bavel on Yoma 9b:2,11
Sha'arei Torat Bavel on Yoma 10a:1,13
Sha'arei Torat Bavel on Yoma 11a:1,15
Sha'arei Torat Bavel on Yoma 11b:1,17
Sha'arei Torat Bavel on Yoma 12a:1,19
Sha'arei Torat Bavel on Yoma 12b:1,21
Sha'arei Torat Bavel on Yoma 12b:2,22
Sha'arei Torat Bavel on Yoma 14a:1,24
Sha'arei Torat Bavel on Yoma 15a:1,26
Sha'arei Torat Bavel on Yoma 15b:1,28
Sha'arei Torat Bavel on Yoma 19a:1,30
Sha'arei Torat Bavel on Yoma 19a:2,31
Sha'arei Torat Bavel on Yoma 21a:1,33
Sha'arei Torat Bavel on Yoma 21b:1,35
Sha'arei Torat Bavel on Yoma 23a:1,37
Sha'arei Torat Bavel on Yoma 24a:1,39
Sha'arei Torat Bavel on Yoma 24b:1,41
Sha'arei Torat Bavel on Yoma 26b:1,43
Sha'arei Torat Bavel on Yoma 27a:1,45
Sha'arei Torat Bavel on Yoma 27b:1,47
Sha'arei Torat Bavel on Yoma 28b:1,49
Sha'arei Torat Bavel on Yoma 28b:2,50
Sha'arei Torat Bavel on Yoma 30a:1,52
Sha'arei Torat Bavel on Yoma 33b:1,54
Sha'arei Torat Bavel on Yoma 33b:2,55
Sha'arei Torat Bavel on Yoma 35b:1,57
Sha'arei Torat Bavel on Yoma 35b:2,58
Sha'arei Torat Bavel on Yoma 35b:3,59
Sha'arei Torat Bavel on Yoma 36a:1,61
Sha'arei Torat Bavel on Yoma 36b:1,63
Sha'arei Torat Bavel on Yoma 37a:1,65
Sha'arei Torat Bavel on Yoma 37a:2,66
Sha'arei Torat Bavel on Yoma 39a:1,68
Sha'arei Torat Bavel on Yoma 42a:1,70
Sha'arei Torat Bavel on Yoma 43b:1,72
Sha'arei Torat Bavel on Yoma 47a:1,74
Sha'arei Torat Bavel on Yoma 47a:2,75
Sha'arei Torat Bavel on Yoma 47a:3,76
Sha'arei Torat Bavel on Yoma 49a:1,78
Sha'arei Torat Bavel on Yoma 49a:2,79
Sha'arei Torat Bavel on Yoma 52b:1,81
Sha'arei Torat Bavel on Yoma 52b:2,82
Sha'arei Torat Bavel on Yoma 52b:3,83
Sha'arei Torat Bavel on Yoma 52b:4,84
Sha'arei Torat Bavel on Yoma 53b:1,86
Sha'arei Torat Bavel on Yoma 54b:1,88
Sha'arei Torat Bavel on Yoma 54b:2,89
Sha'arei Torat Bavel on Yoma 54b:3,90
Sha'arei Torat Bavel on Yoma 54b:4,91
Sha'arei Torat Bavel on Yoma 61a:1,93
Sha'arei Torat Bavel on Yoma 62b:1,95
Sha'arei Torat Bavel on Yoma 66a:1,97
Sha'arei Torat Bavel on Yoma 66b:1,99
Sha'arei Torat Bavel on Yoma 66b:2,100
Sha'arei Torat Bavel on Yoma 66b:3,101
Sha'arei Torat Bavel on Yoma 67a:1,103
Sha'arei Torat Bavel on Yoma 67b:1,105
Sha'arei Torat Bavel on Yoma 68b:1,107
Sha'arei Torat Bavel on Yoma 70b:1,109
Sha'arei Torat Bavel on Yoma 71a:1,111
Sha'arei Torat Bavel on Yoma 72b:1,113
Sha'arei Torat Bavel on Yoma 74a:1,115
Sha'arei Torat Bavel on Yoma 74b:1,117
Sha'arei Torat Bavel on Yoma 75b:1,119
Sha'arei Torat Bavel on Yoma 76a:1,121
Sha'arei Torat Bavel on Yoma 76a:2,122
Sha'arei Torat Bavel on Yoma 78a:1,124
Sha'arei Torat Bavel on Yoma 79a:1,126
Sha'arei Torat Bavel on Yoma 80a:1,128
Sha'arei Torat Bavel on Yoma 81a:1,130
Sha'arei Torat Bavel on Yoma 81a:2,131
Sha'arei Torat Bavel on Yoma 81a:3,132
Sha'arei Torat Bavel on Yoma 81a:4,133
Sha'arei Torat Bavel on Yoma 82a:1,135
Sha'arei Torat Bavel on Yoma 83b:1,137
Sha'arei Torat Bavel on Yoma 84a:1,139
Sha'arei Torat Bavel on Yoma 84a:2,140
Sha'arei Torat Bavel on Yoma 84a:3,141
Sha'arei Torat Bavel on Yoma 84a:4,142
Sha'arei Torat Bavel on Yoma 86a:1,144
Sha'arei Torat Bavel on Yoma 86b:1,146
Sha'arei Torat Bavel on Yoma 88a:1,148
