ref,line_index
Sha'arei Torat Bavel on Pesachim 2b:1,4
Sha'arei Torat Bavel on Pesachim 3a:1,6
Sha'arei Torat Bavel on Pesachim 4a:1,8
Sha'arei Torat Bavel on Pesachim 8b:1,10
Sha'arei Torat Bavel on Pesachim 9b:1,12
Sha'arei Torat Bavel on Pesachim 10b:1,14
Sha'arei Torat Bavel on Pesachim 10b:2,15
Sha'arei Torat Bavel on Pesachim 11a:1,17
Sha'arei Torat Bavel on Pesachim 12b:1,19
Sha'arei Torat Bavel on Pesachim 14b:1,21
Sha'arei Torat Bavel on Pesachim 16a:1,23
Sha'arei Torat Bavel on Pesachim 24b:1,25
Sha'arei Torat Bavel on Pesachim 26a:1,27
Sha'arei Torat Bavel on Pesachim 27a:1,29
Sha'arei Torat Bavel on Pesachim 28a:1,31
Sha'arei Torat Bavel on Pesachim 28b:1,33
Sha'arei Torat Bavel on Pesachim 30b:1,35
Sha'arei Torat Bavel on Pesachim 34b:1,37
Sha'arei Torat Bavel on Pesachim 35a:1,39
Sha'arei Torat Bavel on Pesachim 36b:1,41
Sha'arei Torat Bavel on Pesachim 36b:2,42
Sha'arei Torat Bavel on Pesachim 38b:1,44
Sha'arei Torat Bavel on Pesachim 49a:1,46
Sha'arei Torat Bavel on Pesachim 49a:2,47
Sha'arei Torat Bavel on Pesachim 51a:1,49
Sha'arei Torat Bavel on Pesachim 51b:1,51
Sha'arei Torat Bavel on Pesachim 53a:1,53
Sha'arei Torat Bavel on Pesachim 56b:1,55
Sha'arei Torat Bavel on Pesachim 56b:2,56
Sha'arei Torat Bavel on Pesachim 57a:1,58
Sha'arei Torat Bavel on Pesachim 63a:1,60
Sha'arei Torat Bavel on Pesachim 64b:1,62
Sha'arei Torat Bavel on Pesachim 64b:2,63
Sha'arei Torat Bavel on Pesachim 70a:1,65
Sha'arei Torat Bavel on Pesachim 72a:1,67
Sha'arei Torat Bavel on Pesachim 78b:1,69
Sha'arei Torat Bavel on Pesachim 81a:1,71
Sha'arei Torat Bavel on Pesachim 81b:1,73
Sha'arei Torat Bavel on Pesachim 82a:1,75
Sha'arei Torat Bavel on Pesachim 83a:1,77
Sha'arei Torat Bavel on Pesachim 83a:2,78
Sha'arei Torat Bavel on Pesachim 83b:1,80
Sha'arei Torat Bavel on Pesachim 83b:2,81
Sha'arei Torat Bavel on Pesachim 84b:1,83
Sha'arei Torat Bavel on Pesachim 86b:1,85
Sha'arei Torat Bavel on Pesachim 86b:2,86
Sha'arei Torat Bavel on Pesachim 86b:3,87
Sha'arei Torat Bavel on Pesachim 87a:1,89
Sha'arei Torat Bavel on Pesachim 87b:1,91
Sha'arei Torat Bavel on Pesachim 89a:1,93
Sha'arei Torat Bavel on Pesachim 92a:1,95
Sha'arei Torat Bavel on Pesachim 94a:1,97
Sha'arei Torat Bavel on Pesachim 94a:2,98
Sha'arei Torat Bavel on Pesachim 94a:3,99
Sha'arei Torat Bavel on Pesachim 94b:1,101
Sha'arei Torat Bavel on Pesachim 95a:1,103
Sha'arei Torat Bavel on Pesachim 97a:1,105
Sha'arei Torat Bavel on Pesachim 99b:1,107
Sha'arei Torat Bavel on Pesachim 103a:1,109
Sha'arei Torat Bavel on Pesachim 103b:1,111
Sha'arei Torat Bavel on Pesachim 107a:1,113
Sha'arei Torat Bavel on Pesachim 107a:2,114
Sha'arei Torat Bavel on Pesachim 108a:1,116
Sha'arei Torat Bavel on Pesachim 109a:1,118
Sha'arei Torat Bavel on Pesachim 109a:2,119
Sha'arei Torat Bavel on Pesachim 109a:3,120
Sha'arei Torat Bavel on Pesachim 109a:4,121
Sha'arei Torat Bavel on Pesachim 109b:1,123
Sha'arei Torat Bavel on Pesachim 111b:1,125
Sha'arei Torat Bavel on Pesachim 112a:1,127
Sha'arei Torat Bavel on Pesachim 112a:2,128
Sha'arei Torat Bavel on Pesachim 113a:1,130
Sha'arei Torat Bavel on Pesachim 113a:2,131
Sha'arei Torat Bavel on Pesachim 113b:1,133
Sha'arei Torat Bavel on Pesachim 113b:2,134
Sha'arei Torat Bavel on Pesachim 113b:3,135
Sha'arei Torat Bavel on Pesachim 114b:1,137
Sha'arei Torat Bavel on Pesachim 117a:1,139
Sha'arei Torat Bavel on Pesachim 118a:1,141
