ref,line_index
Sha'arei Torat Bavel on Rosh Hashanah 3b:1,4
Sha'arei Torat Bavel on Rosh Hashanah 8a:1,6
Sha'arei Torat Bavel on Rosh Hashanah 8a:2,7
Sha'arei Torat Bavel on Rosh Hashanah 8b:1,9
Sha'arei Torat Bavel on Rosh Hashanah 10a:1,11
Sha'arei Torat Bavel on Rosh Hashanah 10a:2,12
Sha'arei Torat Bavel on Rosh Hashanah 10a:3,13
Sha'arei Torat Bavel on Rosh Hashanah 10a:4,14
Sha'arei Torat Bavel on Rosh Hashanah 10a:5,15
Sha'arei Torat Bavel on Rosh Hashanah 10a:6,16
Sha'arei Torat Bavel on Rosh Hashanah 10a:7,17
Sha'arei Torat Bavel on Rosh Hashanah 10a:8,18
Sha'arei Torat Bavel on Rosh Hashanah 12b:1,20
Sha'arei Torat Bavel on Rosh Hashanah 12b:2,21
Sha'arei Torat Bavel on Rosh Hashanah 13b:1,23
Sha'arei Torat Bavel on Rosh Hashanah 16b:1,25
Sha'arei Torat Bavel on Rosh Hashanah 17a:1,27
Sha'arei Torat Bavel on Rosh Hashanah 17b:1,29
Sha'arei Torat Bavel on Rosh Hashanah 17b:2,30
Sha'arei Torat Bavel on Rosh Hashanah 17b:3,31
Sha'arei Torat Bavel on Rosh Hashanah 17b:4,32
Sha'arei Torat Bavel on Rosh Hashanah 18a:1,34
Sha'arei Torat Bavel on Rosh Hashanah 19a:1,36
Sha'arei Torat Bavel on Rosh Hashanah 21a:1,38
Sha'arei Torat Bavel on Rosh Hashanah 21b:1,40
Sha'arei Torat Bavel on Rosh Hashanah 21b:2,41
Sha'arei Torat Bavel on Rosh Hashanah 22b:1,43
Sha'arei Torat Bavel on Rosh Hashanah 22b:2,44
Sha'arei Torat Bavel on Rosh Hashanah 23b:1,46
Sha'arei Torat Bavel on Rosh Hashanah 25a:1,48
Sha'arei Torat Bavel on Rosh Hashanah 27a:1,50
Sha'arei Torat Bavel on Rosh Hashanah 29b:1,52
Sha'arei Torat Bavel on Rosh Hashanah 29b:2,53
Sha'arei Torat Bavel on Rosh Hashanah 29b:3,54
Sha'arei Torat Bavel on Rosh Hashanah 29b:4,55
Sha'arei Torat Bavel on Rosh Hashanah 29b:5,56
Sha'arei Torat Bavel on Rosh Hashanah 30a:1,58
Sha'arei Torat Bavel on Rosh Hashanah 30b:1,60
Sha'arei Torat Bavel on Rosh Hashanah 31a:1,62
Sha'arei Torat Bavel on Rosh Hashanah 31b:1,64
Sha'arei Torat Bavel on Rosh Hashanah 32b:1,66
Sha'arei Torat Bavel on Rosh Hashanah 33b:1,68
Sha'arei Torat Bavel on Rosh Hashanah 34a:1,70
Sha'arei Torat Bavel on Rosh Hashanah 35a:1,72
