ref,line_index
Sha'arei Torat Bavel on Shabbat 6b:1,4
Sha'arei Torat Bavel on Shabbat 6b:2,5
Sha'arei Torat Bavel on Shabbat 12a:1,7
Sha'arei Torat Bavel on Shabbat 12a:2,8
Sha'arei Torat Bavel on Shabbat 14a:1,10
Sha'arei Torat Bavel on Shabbat 19a:1,12
Sha'arei Torat Bavel on Shabbat 20b:1,14
Sha'arei Torat Bavel on Shabbat 22a:1,16
Sha'arei Torat Bavel on Shabbat 23b:1,18
Sha'arei Torat Bavel on Shabbat 25b:1,20
Sha'arei Torat Bavel on Shabbat 26a:1,22
Sha'arei Torat Bavel on Shabbat 33a:1,24
Sha'arei Torat Bavel on Shabbat 35a:1,26
Sha'arei Torat Bavel on Shabbat 36a:1,28
Sha'arei Torat Bavel on Shabbat 37b:1,30
Sha'arei Torat Bavel on Shabbat 38a:1,32
Sha'arei Torat Bavel on Shabbat 40b:1,34
Sha'arei Torat Bavel on Shabbat 41a:1,36
Sha'arei Torat Bavel on Shabbat 49a:1,38
Sha'arei Torat Bavel on Shabbat 49a:2,39
Sha'arei Torat Bavel on Shabbat 49a:3,40
Sha'arei Torat Bavel on Shabbat 50a:1,42
Sha'arei Torat Bavel on Shabbat 51a:1,44
Sha'arei Torat Bavel on Shabbat 51a:2,45
Sha'arei Torat Bavel on Shabbat 63b:1,47
Sha'arei Torat Bavel on Shabbat 63b:2,48
Sha'arei Torat Bavel on Shabbat 67b:1,50
Sha'arei Torat Bavel on Shabbat 74b:1,52
Sha'arei Torat Bavel on Shabbat 74b:2,53
Sha'arei Torat Bavel on Shabbat 79a:1,55
Sha'arei Torat Bavel on Shabbat 79b:1,57
Sha'arei Torat Bavel on Shabbat 89a:1,59
Sha'arei Torat Bavel on Shabbat 89b:1,61
Sha'arei Torat Bavel on Shabbat 90b:1,63
Sha'arei Torat Bavel on Shabbat 93a:1,65
Sha'arei Torat Bavel on Shabbat 95b:1,67
Sha'arei Torat Bavel on Shabbat 97b:1,69
Sha'arei Torat Bavel on Shabbat 98a:1,71
Sha'arei Torat Bavel on Shabbat 100a:1,73
Sha'arei Torat Bavel on Shabbat 105a:1,75
Sha'arei Torat Bavel on Shabbat 106a:1,77
Sha'arei Torat Bavel on Shabbat 106b:1,79
Sha'arei Torat Bavel on Shabbat 106b:2,80
Sha'arei Torat Bavel on Shabbat 107b:1,82
Sha'arei Torat Bavel on Shabbat 109a:1,84
Sha'arei Torat Bavel on Shabbat 109b:1,86
Sha'arei Torat Bavel on Shabbat 110b:1,88
Sha'arei Torat Bavel on Shabbat 110b:2,89
Sha'arei Torat Bavel on Shabbat 111a:1,91
Sha'arei Torat Bavel on Shabbat 114a:1,93
Sha'arei Torat Bavel on Shabbat 114b:1,95
Sha'arei Torat Bavel on Shabbat 117b:1,97
Sha'arei Torat Bavel on Shabbat 119b:1,99
Sha'arei Torat Bavel on Shabbat 120b:1,101
Sha'arei Torat Bavel on Shabbat 129a:1,103
Sha'arei Torat Bavel on Shabbat 129a:2,104
Sha'arei Torat Bavel on Shabbat 134b:1,106
Sha'arei Torat Bavel on Shabbat 142a:1,108
Sha'arei Torat Bavel on Shabbat 143a:1,110
Sha'arei Torat Bavel on Shabbat 148b:1,112
Sha'arei Torat Bavel on Shabbat 149a:1,114
Sha'arei Torat Bavel on Shabbat 149b:1,116
Sha'arei Torat Bavel on Shabbat 150b:1,118
Sha'arei Torat Bavel on Shabbat 151b:1,120
