ref,line_index
Sha'arei Torat Bavel on Horayot 2a:1,4
Sha'arei Torat Bavel on Horayot 2a:2,5
Sha'arei Torat Bavel on Horayot 3a:1,7
Sha'arei Torat Bavel on Horayot 3b:1,9
Sha'arei Torat Bavel on Horayot 4b:1,11
Sha'arei Torat Bavel on Horayot 5a:1,13
Sha'arei Torat Bavel on Horayot 5b:1,15
Sha'arei Torat Bavel on Horayot 6b:1,17
Sha'arei Torat Bavel on Horayot 7a:1,19
Sha'arei Torat Bavel on Horayot 8b:1,21
Sha'arei Torat Bavel on Horayot 10a:1,23
Sha'arei Torat Bavel on Horayot 12b:1,25
Sha'arei Torat Bavel on Horayot 12b:2,26
