ref,line_index
Sha'arei Torat Bavel on Avodah Zarah 2a:1,4
Sha'arei Torat Bavel on Avodah Zarah 6b:1,6
Sha'arei Torat Bavel on Avodah Zarah 6b:2,7
Sha'arei Torat Bavel on Avodah Zarah 8b:1,9
Sha'arei Torat Bavel on Avodah Zarah 9a:1,11
Sha'arei Torat Bavel on Avodah Zarah 9b:1,13
Sha'arei Torat Bavel on Avodah Zarah 9b:2,14
Sha'arei Torat Bavel on Avodah Zarah 10a:1,16
Sha'arei Torat Bavel on Avodah Zarah 10a:2,17
Sha'arei Torat Bavel on Avodah Zarah 10a:3,18
Sha'arei Torat Bavel on Avodah Zarah 10b:1,20
Sha'arei Torat Bavel on Avodah Zarah 11b:1,22
Sha'arei Torat Bavel on Avodah Zarah 11b:2,23
Sha'arei Torat Bavel on Avodah Zarah 11b:3,24
Sha'arei Torat Bavel on Avodah Zarah 12b:1,26
Sha'arei Torat Bavel on Avodah Zarah 14a:1,28
Sha'arei Torat Bavel on Avodah Zarah 14a:2,29
Sha'arei Torat Bavel on Avodah Zarah 16b:1,31
Sha'arei Torat Bavel on Avodah Zarah 19a:1,33
Sha'arei Torat Bavel on Avodah Zarah 19b:1,35
Sha'arei Torat Bavel on Avodah Zarah 27b:1,37
Sha'arei Torat Bavel on Avodah Zarah 28b:1,39
Sha'arei Torat Bavel on Avodah Zarah 29b:1,41
Sha'arei Torat Bavel on Avodah Zarah 29b:2,42
Sha'arei Torat Bavel on Avodah Zarah 29b:3,43
Sha'arei Torat Bavel on Avodah Zarah 29b:4,44
Sha'arei Torat Bavel on Avodah Zarah 29b:5,45
Sha'arei Torat Bavel on Avodah Zarah 30b:1,47
Sha'arei Torat Bavel on Avodah Zarah 30b:2,48
Sha'arei Torat Bavel on Avodah Zarah 30b:3,49
Sha'arei Torat Bavel on Avodah Zarah 30b:4,50
Sha'arei Torat Bavel on Avodah Zarah 32a:1,52
Sha'arei Torat Bavel on Avodah Zarah 32a:2,53
Sha'arei Torat Bavel on Avodah Zarah 34a:1,55
Sha'arei Torat Bavel on Avodah Zarah 36b:1,57
Sha'arei Torat Bavel on Avodah Zarah 38a:1,59
Sha'arei Torat Bavel on Avodah Zarah 39a:1,61
Sha'arei Torat Bavel on Avodah Zarah 39b:1,63
Sha'arei Torat Bavel on Avodah Zarah 40a:1,65
Sha'arei Torat Bavel on Avodah Zarah 43a:1,67
Sha'arei Torat Bavel on Avodah Zarah 43a:2,68
Sha'arei Torat Bavel on Avodah Zarah 45a:1,70
Sha'arei Torat Bavel on Avodah Zarah 45a:2,71
Sha'arei Torat Bavel on Avodah Zarah 48b:1,73
Sha'arei Torat Bavel on Avodah Zarah 48b:2,74
Sha'arei Torat Bavel on Avodah Zarah 52a:1,76
Sha'arei Torat Bavel on Avodah Zarah 52a:2,77
Sha'arei Torat Bavel on Avodah Zarah 52b:1,79
Sha'arei Torat Bavel on Avodah Zarah 52b:2,80
Sha'arei Torat Bavel on Avodah Zarah 53b:1,82
Sha'arei Torat Bavel on Avodah Zarah 54a:1,84
Sha'arei Torat Bavel on Avodah Zarah 54b:1,86
Sha'arei Torat Bavel on Avodah Zarah 55a:1,88
Sha'arei Torat Bavel on Avodah Zarah 55a:2,89
Sha'arei Torat Bavel on Avodah Zarah 56a:1,91
Sha'arei Torat Bavel on Avodah Zarah 58a:1,93
Sha'arei Torat Bavel on Avodah Zarah 59a:1,95
Sha'arei Torat Bavel on Avodah Zarah 60b:1,97
Sha'arei Torat Bavel on Avodah Zarah 61a:1,99
Sha'arei Torat Bavel on Avodah Zarah 61b:1,101
Sha'arei Torat Bavel on Avodah Zarah 63b:1,103
Sha'arei Torat Bavel on Avodah Zarah 64b:1,105
Sha'arei Torat Bavel on Avodah Zarah 65a:1,107
Sha'arei Torat Bavel on Avodah Zarah 65a:2,108
Sha'arei Torat Bavel on Avodah Zarah 66a:1,110
Sha'arei Torat Bavel on Avodah Zarah 66b:1,112
Sha'arei Torat Bavel on Avodah Zarah 66b:2,113
Sha'arei Torat Bavel on Avodah Zarah 67a:1,115
Sha'arei Torat Bavel on Avodah Zarah 68a:1,117
Sha'arei Torat Bavel on Avodah Zarah 69a:1,119
Sha'arei Torat Bavel on Avodah Zarah 69a:2,120
Sha'arei Torat Bavel on Avodah Zarah 69a:3,121
Sha'arei Torat Bavel on Avodah Zarah 69a:4,122
Sha'arei Torat Bavel on Avodah Zarah 69a:5,123
Sha'arei Torat Bavel on Avodah Zarah 70b:1,125
Sha'arei Torat Bavel on Avodah Zarah 70b:2,126
Sha'arei Torat Bavel on Avodah Zarah 71a:1,128
Sha'arei Torat Bavel on Avodah Zarah 74b:1,130
Sha'arei Torat Bavel on Avodah Zarah 74b:2,131
Sha'arei Torat Bavel on Avodah Zarah 74b:3,132
Sha'arei Torat Bavel on Avodah Zarah 74b:4,133
Sha'arei Torat Bavel on Avodah Zarah 74b:5,134
Sha'arei Torat Bavel on Avodah Zarah 74b:6,135
Sha'arei Torat Bavel on Avodah Zarah 74b:7,136
Sha'arei Torat Bavel on Avodah Zarah 74b:8,137
Sha'arei Torat Bavel on Avodah Zarah 74b:9,138
Sha'arei Torat Bavel on Avodah Zarah 74b:10,139
Sha'arei Torat Bavel on Avodah Zarah 74b:11,140
Sha'arei Torat Bavel on Avodah Zarah 74b:12,141
Sha'arei Torat Bavel on Avodah Zarah 75a:1,143
