ref,line_index
Sha'arei Torat Bavel on Shevuot 3a:1,4
Sha'arei Torat Bavel on Shevuot 4a:1,6
Sha'arei Torat Bavel on Shevuot 4b:1,8
Sha'arei Torat Bavel on Shevuot 5a:1,10
Sha'arei Torat Bavel on Shevuot 10b:1,12
Sha'arei Torat Bavel on Shevuot 11b:1,14
Sha'arei Torat Bavel on Shevuot 12a:1,16
Sha'arei Torat Bavel on Shevuot 13b:1,18
Sha'arei Torat Bavel on Shevuot 16a:1,20
Sha'arei Torat Bavel on Shevuot 17b:1,22
Sha'arei Torat Bavel on Shevuot 17b:2,23
Sha'arei Torat Bavel on Shevuot 18b:1,25
Sha'arei Torat Bavel on Shevuot 23b:1,27
Sha'arei Torat Bavel on Shevuot 35b:1,29
Sha'arei Torat Bavel on Shevuot 36b:1,31
Sha'arei Torat Bavel on Shevuot 41a:1,33
Sha'arei Torat Bavel on Shevuot 42a:1,35
Sha'arei Torat Bavel on Shevuot 48b:1,37
