ref,line_index
Sha'arei Torat Bavel on Nazir 4a:1,4
Sha'arei Torat Bavel on Nazir 4a:2,5
Sha'arei Torat Bavel on Nazir 7a:1,7
Sha'arei Torat Bavel on Nazir 9a:1,9
Sha'arei Torat Bavel on Nazir 9a:2,10
Sha'arei Torat Bavel on Nazir 9b:1,12
Sha'arei Torat Bavel on Nazir 14b:1,14
Sha'arei Torat Bavel on Nazir 16a:1,16
Sha'arei Torat Bavel on Nazir 16a:2,17
Sha'arei Torat Bavel on Nazir 18b:1,19
Sha'arei Torat Bavel on Nazir 20a:1,21
Sha'arei Torat Bavel on Nazir 20a:2,22
Sha'arei Torat Bavel on Nazir 20a:3,23
Sha'arei Torat Bavel on Nazir 22a:1,25
Sha'arei Torat Bavel on Nazir 31b:1,27
Sha'arei Torat Bavel on Nazir 32b:1,29
Sha'arei Torat Bavel on Nazir 38a:1,31
Sha'arei Torat Bavel on Nazir 38a:2,32
Sha'arei Torat Bavel on Nazir 39a:1,34
Sha'arei Torat Bavel on Nazir 42b:1,36
Sha'arei Torat Bavel on Nazir 43a:1,38
Sha'arei Torat Bavel on Nazir 44a:1,40
Sha'arei Torat Bavel on Nazir 49b:1,42
Sha'arei Torat Bavel on Nazir 50a:1,44
Sha'arei Torat Bavel on Nazir 50b:1,46
Sha'arei Torat Bavel on Nazir 50b:2,47
Sha'arei Torat Bavel on Nazir 52a:1,49
Sha'arei Torat Bavel on Nazir 52a:2,50
Sha'arei Torat Bavel on Nazir 52a:3,51
Sha'arei Torat Bavel on Nazir 53a:1,53
Sha'arei Torat Bavel on Nazir 53a:2,54
Sha'arei Torat Bavel on Nazir 53b:1,56
Sha'arei Torat Bavel on Nazir 53b:2,57
Sha'arei Torat Bavel on Nazir 55b:1,59
Sha'arei Torat Bavel on Nazir 56a:1,61
Sha'arei Torat Bavel on Nazir 56b:1,63
Sha'arei Torat Bavel on Nazir 61b:1,65
Sha'arei Torat Bavel on Nazir 64a:1,67
Sha'arei Torat Bavel on Nazir 64b:1,69
Sha'arei Torat Bavel on Nazir 65a:1,71
Sha'arei Torat Bavel on Nazir 65a:2,72
Sha'arei Torat Bavel on Nazir 65a:3,73
Sha'arei Torat Bavel on Nazir 65b:1,75
Sha'arei Torat Bavel on Nazir 65b:2,76
Sha'arei Torat Bavel on Nazir 66a:1,78
