ref,line_index
Sha'arei Torat Bavel on Sotah 5a:1,4
Sha'arei Torat Bavel on Sotah 5a:2,5
Sha'arei Torat Bavel on Sotah 6a:1,7
Sha'arei Torat Bavel on Sotah 7b:1,9
Sha'arei Torat Bavel on Sotah 9b:1,11
Sha'arei Torat Bavel on Sotah 10a:1,13
Sha'arei Torat Bavel on Sotah 10a:2,14
Sha'arei Torat Bavel on Sotah 11a:1,16
Sha'arei Torat Bavel on Sotah 12a:1,18
Sha'arei Torat Bavel on Sotah 12b:1,20
Sha'arei Torat Bavel on Sotah 14a:1,22
Sha'arei Torat Bavel on Sotah 16a:1,24
Sha'arei Torat Bavel on Sotah 16a:2,25
Sha'arei Torat Bavel on Sotah 16b:1,27
Sha'arei Torat Bavel on Sotah 16b:2,28
Sha'arei Torat Bavel on Sotah 16b:3,29
Sha'arei Torat Bavel on Sotah 16b:4,30
Sha'arei Torat Bavel on Sotah 18b:1,32
Sha'arei Torat Bavel on Sotah 18b:2,33
Sha'arei Torat Bavel on Sotah 20b:1,35
Sha'arei Torat Bavel on Sotah 21a:1,37
Sha'arei Torat Bavel on Sotah 21b:1,39
Sha'arei Torat Bavel on Sotah 22b:1,41
Sha'arei Torat Bavel on Sotah 23b:1,43
Sha'arei Torat Bavel on Sotah 23b:2,44
Sha'arei Torat Bavel on Sotah 24a:1,46
Sha'arei Torat Bavel on Sotah 25a:1,48
Sha'arei Torat Bavel on Sotah 25a:2,49
Sha'arei Torat Bavel on Sotah 25a:3,50
Sha'arei Torat Bavel on Sotah 25a:4,51
Sha'arei Torat Bavel on Sotah 25a:5,52
Sha'arei Torat Bavel on Sotah 27a:1,54
Sha'arei Torat Bavel on Sotah 27a:2,55
Sha'arei Torat Bavel on Sotah 30a:1,57
Sha'arei Torat Bavel on Sotah 30a:2,58
Sha'arei Torat Bavel on Sotah 30b:1,60
Sha'arei Torat Bavel on Sotah 30b:2,61
Sha'arei Torat Bavel on Sotah 30b:3,62
Sha'arei Torat Bavel on Sotah 33a:1,64
Sha'arei Torat Bavel on Sotah 33b:1,66
Sha'arei Torat Bavel on Sotah 33b:2,67
Sha'arei Torat Bavel on Sotah 33b:3,68
Sha'arei Torat Bavel on Sotah 34a:1,70
Sha'arei Torat Bavel on Sotah 34a:2,71
Sha'arei Torat Bavel on Sotah 34b:1,73
Sha'arei Torat Bavel on Sotah 37b:1,75
Sha'arei Torat Bavel on Sotah 38a:1,77
Sha'arei Torat Bavel on Sotah 40b:1,79
Sha'arei Torat Bavel on Sotah 41a:1,81
Sha'arei Torat Bavel on Sotah 41a:2,82
Sha'arei Torat Bavel on Sotah 41a:3,83
Sha'arei Torat Bavel on Sotah 41a:4,84
Sha'arei Torat Bavel on Sotah 41b:1,86
Sha'arei Torat Bavel on Sotah 43a:1,88
Sha'arei Torat Bavel on Sotah 43b:1,90
Sha'arei Torat Bavel on Sotah 45b:1,92
Sha'arei Torat Bavel on Sotah 46a:1,94
Sha'arei Torat Bavel on Sotah 46a:2,95
Sha'arei Torat Bavel on Sotah 46a:3,96
Sha'arei Torat Bavel on Sotah 46a:4,97
Sha'arei Torat Bavel on Sotah 46a:5,98
Sha'arei Torat Bavel on Sotah 46a:6,99
Sha'arei Torat Bavel on Sotah 47a:1,101
Sha'arei Torat Bavel on Sotah 48b:1,103
Sha'arei Torat Bavel on Sotah 49a:1,105
Sha'arei Torat Bavel on Sotah 49a:2,106
Sha'arei Torat Bavel on Sotah 49b:1,108
Sha'arei Torat Bavel on Sotah 49b:2,109
Sha'arei Torat Bavel on Sotah 49b:3,110
