ref,line_index
Sha'arei Torat Bavel on Kiddushin 3b:1,4
Sha'arei Torat Bavel on Kiddushin 14b:1,6
Sha'arei Torat Bavel on Kiddushin 16a:1,8
Sha'arei Torat Bavel on Kiddushin 19b:1,10
Sha'arei Torat Bavel on Kiddushin 28a:1,12
Sha'arei Torat Bavel on Kiddushin 28a:2,13
Sha'arei Torat Bavel on Kiddushin 29b:1,15
Sha'arei Torat Bavel on Kiddushin 31b:1,17
Sha'arei Torat Bavel on Kiddushin 33a:1,19
Sha'arei Torat Bavel on Kiddushin 40a:1,21
Sha'arei Torat Bavel on Kiddushin 40a:2,22
Sha'arei Torat Bavel on Kiddushin 40a:3,23
Sha'arei Torat Bavel on Kiddushin 43a:1,25
Sha'arei Torat Bavel on Kiddushin 45b:1,27
Sha'arei Torat Bavel on Kiddushin 52a:1,29
Sha'arei Torat Bavel on Kiddushin 54b:1,31
Sha'arei Torat Bavel on Kiddushin 62b:1,33
Sha'arei Torat Bavel on Kiddushin 65b:1,35
Sha'arei Torat Bavel on Kiddushin 69b:1,37
Sha'arei Torat Bavel on Kiddushin 71a:1,39
Sha'arei Torat Bavel on Kiddushin 71a:2,40
Sha'arei Torat Bavel on Kiddushin 71a:3,41
Sha'arei Torat Bavel on Kiddushin 71a:4,42
Sha'arei Torat Bavel on Kiddushin 71a:5,43
Sha'arei Torat Bavel on Kiddushin 71a:6,44
Sha'arei Torat Bavel on Kiddushin 71a:7,45
Sha'arei Torat Bavel on Kiddushin 71b:1,47
Sha'arei Torat Bavel on Kiddushin 75b:1,49
Sha'arei Torat Bavel on Kiddushin 76a:1,51
Sha'arei Torat Bavel on Kiddushin 77b:1,53
Sha'arei Torat Bavel on Kiddushin 77b:2,54
Sha'arei Torat Bavel on Kiddushin 77b:3,55
Sha'arei Torat Bavel on Kiddushin 77b:4,56
Sha'arei Torat Bavel on Kiddushin 77b:5,57
