ref,line_index
Sha'arei Torat Bavel on Bekhorot 7b:1,4
Sha'arei Torat Bavel on Bekhorot 7b:2,5
Sha'arei Torat Bavel on Bekhorot 7b:3,6
Sha'arei Torat Bavel on Bekhorot 8a:1,8
Sha'arei Torat Bavel on Bekhorot 8a:2,9
Sha'arei Torat Bavel on Bekhorot 8a:3,10
Sha'arei Torat Bavel on Bekhorot 8b:1,12
Sha'arei Torat Bavel on Bekhorot 8b:2,13
Sha'arei Torat Bavel on Bekhorot 8b:3,14
Sha'arei Torat Bavel on Bekhorot 8b:4,15
Sha'arei Torat Bavel on Bekhorot 8b:5,16
Sha'arei Torat Bavel on Bekhorot 8b:6,17
Sha'arei Torat Bavel on Bekhorot 8b:7,18
Sha'arei Torat Bavel on Bekhorot 9a:1,20
Sha'arei Torat Bavel on Bekhorot 10b:1,22
Sha'arei Torat Bavel on Bekhorot 11a:1,24
Sha'arei Torat Bavel on Bekhorot 12b:1,26
Sha'arei Torat Bavel on Bekhorot 12b:2,27
Sha'arei Torat Bavel on Bekhorot 13a:1,29
Sha'arei Torat Bavel on Bekhorot 16a:1,31
Sha'arei Torat Bavel on Bekhorot 16a:2,32
Sha'arei Torat Bavel on Bekhorot 22b:1,34
Sha'arei Torat Bavel on Bekhorot 27a:1,36
Sha'arei Torat Bavel on Bekhorot 27a:2,37
Sha'arei Torat Bavel on Bekhorot 27a:3,38
Sha'arei Torat Bavel on Bekhorot 27a:4,39
Sha'arei Torat Bavel on Bekhorot 28a:1,41
Sha'arei Torat Bavel on Bekhorot 29b:1,43
Sha'arei Torat Bavel on Bekhorot 30b:1,45
Sha'arei Torat Bavel on Bekhorot 37a:1,47
Sha'arei Torat Bavel on Bekhorot 38a:1,49
Sha'arei Torat Bavel on Bekhorot 38b:1,51
Sha'arei Torat Bavel on Bekhorot 38b:2,52
Sha'arei Torat Bavel on Bekhorot 41a:1,54
Sha'arei Torat Bavel on Bekhorot 41a:2,55
Sha'arei Torat Bavel on Bekhorot 42a:1,57
Sha'arei Torat Bavel on Bekhorot 43a:1,59
Sha'arei Torat Bavel on Bekhorot 44a:1,61
Sha'arei Torat Bavel on Bekhorot 44b:1,63
Sha'arei Torat Bavel on Bekhorot 44b:2,64
Sha'arei Torat Bavel on Bekhorot 44b:3,65
Sha'arei Torat Bavel on Bekhorot 45a:1,67
Sha'arei Torat Bavel on Bekhorot 49b:1,69
Sha'arei Torat Bavel on Bekhorot 49b:2,70
Sha'arei Torat Bavel on Bekhorot 49b:3,71
Sha'arei Torat Bavel on Bekhorot 49b:4,72
Sha'arei Torat Bavel on Bekhorot 50a:1,74
Sha'arei Torat Bavel on Bekhorot 50a:2,75
Sha'arei Torat Bavel on Bekhorot 50a:3,76
Sha'arei Torat Bavel on Bekhorot 50a:4,77
Sha'arei Torat Bavel on Bekhorot 50a:5,78
Sha'arei Torat Bavel on Bekhorot 50a:6,79
Sha'arei Torat Bavel on Bekhorot 50a:7,80
Sha'arei Torat Bavel on Bekhorot 50a:8,81
Sha'arei Torat Bavel on Bekhorot 50a:9,82
Sha'arei Torat Bavel on Bekhorot 50b:1,84
Sha'arei Torat Bavel on Bekhorot 52a:1,86
Sha'arei Torat Bavel on Bekhorot 53a:1,88
Sha'arei Torat Bavel on Bekhorot 55b:1,90
Sha'arei Torat Bavel on Bekhorot 57b:1,92
Sha'arei Torat Bavel on Bekhorot 58a:1,94
