ref,line_index
Sha'arei Torat Bavel on Menachot 4b:1,4
Sha'arei Torat Bavel on Menachot 7a:1,6
Sha'arei Torat Bavel on Menachot 8b:1,8
Sha'arei Torat Bavel on Menachot 11a:1,10
Sha'arei Torat Bavel on Menachot 11a:2,11
Sha'arei Torat Bavel on Menachot 11b:1,13
Sha'arei Torat Bavel on Menachot 12a:1,15
Sha'arei Torat Bavel on Menachot 13b:1,17
Sha'arei Torat Bavel on Menachot 16a:1,19
Sha'arei Torat Bavel on Menachot 17a:1,21
Sha'arei Torat Bavel on Menachot 21a:1,23
Sha'arei Torat Bavel on Menachot 21a:2,24
Sha'arei Torat Bavel on Menachot 21b:1,26
Sha'arei Torat Bavel on Menachot 21b:2,27
Sha'arei Torat Bavel on Menachot 23b:1,29
Sha'arei Torat Bavel on Menachot 24b:1,31
Sha'arei Torat Bavel on Menachot 26b:1,33
Sha'arei Torat Bavel on Menachot 28b:1,35
Sha'arei Torat Bavel on Menachot 29a:1,37
Sha'arei Torat Bavel on Menachot 33b:1,39
Sha'arei Torat Bavel on Menachot 37a:1,41
Sha'arei Torat Bavel on Menachot 37a:2,42
Sha'arei Torat Bavel on Menachot 37b:1,44
Sha'arei Torat Bavel on Menachot 38b:1,46
Sha'arei Torat Bavel on Menachot 39a:1,48
Sha'arei Torat Bavel on Menachot 39b:1,50
Sha'arei Torat Bavel on Menachot 40a:1,52
Sha'arei Torat Bavel on Menachot 40a:2,53
Sha'arei Torat Bavel on Menachot 40b:1,55
Sha'arei Torat Bavel on Menachot 43b:1,57
Sha'arei Torat Bavel on Menachot 44a:1,59
Sha'arei Torat Bavel on Menachot 44a:2,60
Sha'arei Torat Bavel on Menachot 45a:1,62
Sha'arei Torat Bavel on Menachot 45a:2,63
Sha'arei Torat Bavel on Menachot 45b:1,65
Sha'arei Torat Bavel on Menachot 46a:1,67
Sha'arei Torat Bavel on Menachot 53b:1,69
Sha'arei Torat Bavel on Menachot 56b:1,71
Sha'arei Torat Bavel on Menachot 57b:1,73
Sha'arei Torat Bavel on Menachot 58b:1,75
Sha'arei Torat Bavel on Menachot 59a:1,77
Sha'arei Torat Bavel on Menachot 59b:1,79
Sha'arei Torat Bavel on Menachot 60b:1,81
Sha'arei Torat Bavel on Menachot 61a:1,83
Sha'arei Torat Bavel on Menachot 61b:1,85
Sha'arei Torat Bavel on Menachot 62b:1,87
Sha'arei Torat Bavel on Menachot 64b:1,89
Sha'arei Torat Bavel on Menachot 64b:2,90
Sha'arei Torat Bavel on Menachot 67a:1,92
Sha'arei Torat Bavel on Menachot 67b:1,94
Sha'arei Torat Bavel on Menachot 70a:1,96
Sha'arei Torat Bavel on Menachot 70a:2,97
Sha'arei Torat Bavel on Menachot 70b:1,99
Sha'arei Torat Bavel on Menachot 71b:1,101
Sha'arei Torat Bavel on Menachot 72a:1,103
Sha'arei Torat Bavel on Menachot 72b:1,105
Sha'arei Torat Bavel on Menachot 72b:2,106
Sha'arei Torat Bavel on Menachot 75b:1,108
Sha'arei Torat Bavel on Menachot 75b:2,109
Sha'arei Torat Bavel on Menachot 76a:1,111
Sha'arei Torat Bavel on Menachot 76a:2,112
Sha'arei Torat Bavel on Menachot 77b:1,114
Sha'arei Torat Bavel on Menachot 79b:1,116
Sha'arei Torat Bavel on Menachot 79b:2,117
Sha'arei Torat Bavel on Menachot 80a:1,119
Sha'arei Torat Bavel on Menachot 81b:1,121
Sha'arei Torat Bavel on Menachot 81b:2,122
Sha'arei Torat Bavel on Menachot 82a:1,124
Sha'arei Torat Bavel on Menachot 85a:1,126
Sha'arei Torat Bavel on Menachot 86b:1,128
Sha'arei Torat Bavel on Menachot 86b:2,129
Sha'arei Torat Bavel on Menachot 88a:1,131
Sha'arei Torat Bavel on Menachot 88b:1,133
Sha'arei Torat Bavel on Menachot 90a:1,135
Sha'arei Torat Bavel on Menachot 91a:1,137
Sha'arei Torat Bavel on Menachot 95a:1,139
Sha'arei Torat Bavel on Menachot 96a:1,141
Sha'arei Torat Bavel on Menachot 96a:2,142
Sha'arei Torat Bavel on Menachot 96b:1,144
Sha'arei Torat Bavel on Menachot 97b:1,146
Sha'arei Torat Bavel on Menachot 98a:1,148
Sha'arei Torat Bavel on Menachot 98b:1,150
Sha'arei Torat Bavel on Menachot 98b:2,151
Sha'arei Torat Bavel on Menachot 98b:3,152
Sha'arei Torat Bavel on Menachot 99a:1,154
Sha'arei Torat Bavel on Menachot 99b:1,156
Sha'arei Torat Bavel on Menachot 99b:2,157
Sha'arei Torat Bavel on Menachot 99b:3,158
Sha'arei Torat Bavel on Menachot 99b:4,159
Sha'arei Torat Bavel on Menachot 102b:1,161
Sha'arei Torat Bavel on Menachot 102b:2,162
Sha'arei Torat Bavel on Menachot 102b:3,163
Sha'arei Torat Bavel on Menachot 103b:1,165
Sha'arei Torat Bavel on Menachot 104b:1,167
Sha'arei Torat Bavel on Menachot 105b:1,169
Sha'arei Torat Bavel on Menachot 105b:2,170
Sha'arei Torat Bavel on Menachot 108a:1,172
Sha'arei Torat Bavel on Menachot 109b:1,174
Sha'arei Torat Bavel on Menachot 109b:2,175
Sha'arei Torat Bavel on Menachot 109b:3,176
