ref,line_index
Sha'arei Torat Bavel on Arakhin 2a:1,4
Sha'arei Torat Bavel on Arakhin 6a:1,6
Sha'arei Torat Bavel on Arakhin 9b:1,8
Sha'arei Torat Bavel on Arakhin 10b:1,10
Sha'arei Torat Bavel on Arakhin 12b:1,12
Sha'arei Torat Bavel on Arakhin 13a:1,14
Sha'arei Torat Bavel on Arakhin 13a:2,15
Sha'arei Torat Bavel on Arakhin 13b:1,17
Sha'arei Torat Bavel on Arakhin 15a:1,19
Sha'arei Torat Bavel on Arakhin 15b:1,21
Sha'arei Torat Bavel on Arakhin 15b:2,22
Sha'arei Torat Bavel on Arakhin 15b:3,23
Sha'arei Torat Bavel on Arakhin 16a:1,25
Sha'arei Torat Bavel on Arakhin 16b:1,27
Sha'arei Torat Bavel on Arakhin 17a:1,29
Sha'arei Torat Bavel on Arakhin 18b:1,31
Sha'arei Torat Bavel on Arakhin 21a:1,33
Sha'arei Torat Bavel on Arakhin 21a:2,34
Sha'arei Torat Bavel on Arakhin 26b:1,36
Sha'arei Torat Bavel on Arakhin 27a:1,38
Sha'arei Torat Bavel on Arakhin 27b:1,40
Sha'arei Torat Bavel on Arakhin 27b:2,41
Sha'arei Torat Bavel on Arakhin 27b:3,42
Sha'arei Torat Bavel on Arakhin 32a:1,44
Sha'arei Torat Bavel on Arakhin 33a:1,46
Sha'arei Torat Bavel on Arakhin 34a:1,48
