ref,line_index
Ri Migash on Shevuot 2a:1,4
Ri Migash on Shevuot 2a:2,5
Ri Migash on Shevuot 2a:3,6
Ri Migash on Shevuot 3b:1,8
Ri Migash on Shevuot 4a:1,10
Ri Migash on Shevuot 4a:2,11
Ri Migash on Shevuot 4a:3,12
Ri Migash on Shevuot 4a:4,13
Ri Migash on Shevuot 5b:1,15
Ri Migash on Shevuot 5b:2,16
Ri Migash on Shevuot 5b:3,17
Ri Migash on Shevuot 6b:1,19
Ri Migash on Shevuot 6b:2,20
Ri Migash on Shevuot 6b:3,21
Ri Migash on Shevuot 7a:1,23
Ri Migash on Shevuot 7a:2,24
Ri Migash on Shevuot 7a:3,25
Ri Migash on Shevuot 7a:4,26
Ri Migash on Shevuot 7a:5,27
Ri Migash on Shevuot 7b:1,29
Ri Migash on Shevuot 7b:2,30
Ri Migash on Shevuot 8a:1,32
Ri Migash on Shevuot 8a:2,33
Ri Migash on Shevuot 8a:3,34
Ri Migash on Shevuot 8a:4,35
Ri Migash on Shevuot 8a:5,36
Ri Migash on Shevuot 8a:6,37
Ri Migash on Shevuot 8a:7,38
Ri Migash on Shevuot 8a:8,39
Ri Migash on Shevuot 8a:9,40
Ri Migash on Shevuot 8b:1,42
Ri Migash on Shevuot 8b:2,43
Ri Migash on Shevuot 8b:3,44
Ri Migash on Shevuot 9a:1,46
Ri Migash on Shevuot 9a:2,47
Ri Migash on Shevuot 9a:3,48
Ri Migash on Shevuot 9a:4,49
Ri Migash on Shevuot 9b:1,51
Ri Migash on Shevuot 9b:2,52
Ri Migash on Shevuot 10a:1,54
Ri Migash on Shevuot 10a:2,55
Ri Migash on Shevuot 10b:1,57
Ri Migash on Shevuot 10b:2,58
Ri Migash on Shevuot 10b:3,59
Ri Migash on Shevuot 10b:4,60
Ri Migash on Shevuot 11a:1,62
Ri Migash on Shevuot 11a:2,63
Ri Migash on Shevuot 11a:3,64
Ri Migash on Shevuot 11a:4,65
Ri Migash on Shevuot 11a:5,66
Ri Migash on Shevuot 11a:6,67
Ri Migash on Shevuot 11b:1,69
Ri Migash on Shevuot 11b:2,70
Ri Migash on Shevuot 11b:3,71
Ri Migash on Shevuot 12a:1,73
Ri Migash on Shevuot 12b:1,75
Ri Migash on Shevuot 12b:2,76
Ri Migash on Shevuot 12b:3,77
Ri Migash on Shevuot 13a:1,79
Ri Migash on Shevuot 13a:2,80
Ri Migash on Shevuot 13a:3,81
Ri Migash on Shevuot 13a:4,82
Ri Migash on Shevuot 13b:1,84
Ri Migash on Shevuot 14a:1,86
Ri Migash on Shevuot 14a:2,87
Ri Migash on Shevuot 14a:3,88
Ri Migash on Shevuot 14a:4,89
Ri Migash on Shevuot 14a:5,90
Ri Migash on Shevuot 14a:6,91
Ri Migash on Shevuot 14b:1,93
Ri Migash on Shevuot 14b:2,94
Ri Migash on Shevuot 14b:3,95
Ri Migash on Shevuot 14b:4,96
Ri Migash on Shevuot 14b:5,97
Ri Migash on Shevuot 14b:6,98
Ri Migash on Shevuot 14b:7,99
Ri Migash on Shevuot 15a:1,101
Ri Migash on Shevuot 15a:2,102
Ri Migash on Shevuot 15a:3,103
Ri Migash on Shevuot 15a:4,104
Ri Migash on Shevuot 15a:5,105
Ri Migash on Shevuot 16a:1,107
Ri Migash on Shevuot 16a:2,108
Ri Migash on Shevuot 16a:3,109
Ri Migash on Shevuot 16a:4,110
Ri Migash on Shevuot 16a:5,111
Ri Migash on Shevuot 16a:6,112
Ri Migash on Shevuot 16a:7,113
Ri Migash on Shevuot 17a:1,115
Ri Migash on Shevuot 17a:2,116
Ri Migash on Shevuot 17a:3,117
Ri Migash on Shevuot 17a:4,118
Ri Migash on Shevuot 17a:5,119
Ri Migash on Shevuot 17a:6,120
Ri Migash on Shevuot 17a:7,121
Ri Migash on Shevuot 17a:8,122
Ri Migash on Shevuot 17a:9,123
Ri Migash on Shevuot 17a:10,124
Ri Migash on Shevuot 17b:1,126
Ri Migash on Shevuot 17b:2,127
Ri Migash on Shevuot 18a:1,129
Ri Migash on Shevuot 18a:2,130
Ri Migash on Shevuot 18a:3,131
Ri Migash on Shevuot 18a:4,132
Ri Migash on Shevuot 18a:5,133
Ri Migash on Shevuot 18a:6,134
Ri Migash on Shevuot 18b:1,136
Ri Migash on Shevuot 18b:2,137
Ri Migash on Shevuot 18b:3,138
Ri Migash on Shevuot 19a:1,140
Ri Migash on Shevuot 19a:2,141
Ri Migash on Shevuot 19a:3,142
Ri Migash on Shevuot 19a:4,143
Ri Migash on Shevuot 19b:1,145
Ri Migash on Shevuot 19b:2,146
Ri Migash on Shevuot 19b:3,147
Ri Migash on Shevuot 19b:4,148
Ri Migash on Shevuot 19b:5,149
Ri Migash on Shevuot 19b:6,150
Ri Migash on Shevuot 19b:7,151
Ri Migash on Shevuot 19b:8,152
Ri Migash on Shevuot 20a:1,154
Ri Migash on Shevuot 20a:2,155
Ri Migash on Shevuot 20a:3,156
Ri Migash on Shevuot 20a:4,157
Ri Migash on Shevuot 20a:5,158
Ri Migash on Shevuot 20a:6,159
Ri Migash on Shevuot 20a:7,160
Ri Migash on Shevuot 20a:8,161
Ri Migash on Shevuot 20b:1,163
Ri Migash on Shevuot 20b:2,164
Ri Migash on Shevuot 20b:3,165
Ri Migash on Shevuot 20b:4,166
Ri Migash on Shevuot 20b:5,167
Ri Migash on Shevuot 20b:6,168
Ri Migash on Shevuot 20b:7,169
