ref,line_index
Tosafot HaRosh on Kiddushin 2a:1,4
Tosafot HaRosh on Kiddushin 2a:2,5
Tosafot HaRosh on Kiddushin 2a:3,6
Tosafot HaRosh on Kiddushin 2a:4,7
Tosafot HaRosh on Kiddushin 2a:5,8
Tosafot HaRosh on Kiddushin 2a:6,9
Tosafot HaRosh on Kiddushin 2a:7,10
Tosafot HaRosh on Kiddushin 2a:8,11
Tosafot HaRosh on Kiddushin 2a:9,12
Tosafot HaRosh on Kiddushin 2b:1,14
Tosafot HaRosh on Kiddushin 2b:2,15
Tosafot HaRosh on Kiddushin 2b:3,16
Tosafot HaRosh on Kiddushin 2b:4,17
Tosafot HaRosh on Kiddushin 2b:5,18
Tosafot HaRosh on Kiddushin 2b:6,19
Tosafot HaRosh on Kiddushin 2b:7,20
Tosafot HaRosh on Kiddushin 2b:8,21
Tosafot HaRosh on Kiddushin 2b:9,22
Tosafot HaRosh on Kiddushin 2b:10,23
Tosafot HaRosh on Kiddushin 2b:11,24
Tosafot HaRosh on Kiddushin 2b:12,25
Tosafot HaRosh on Kiddushin 3a:1,27
Tosafot HaRosh on Kiddushin 3a:2,28
Tosafot HaRosh on Kiddushin 3b:1,30
Tosafot HaRosh on Kiddushin 3b:2,31
Tosafot HaRosh on Kiddushin 3b:3,32
Tosafot HaRosh on Kiddushin 3b:4,33
Tosafot HaRosh on Kiddushin 3b:5,34
Tosafot HaRosh on Kiddushin 3b:6,35
Tosafot HaRosh on Kiddushin 3b:7,36
Tosafot HaRosh on Kiddushin 3b:8,37
Tosafot HaRosh on Kiddushin 3b:9,38
Tosafot HaRosh on Kiddushin 4a:1,40
Tosafot HaRosh on Kiddushin 4a:2,41
Tosafot HaRosh on Kiddushin 4a:3,42
Tosafot HaRosh on Kiddushin 4a:4,43
Tosafot HaRosh on Kiddushin 4a:5,44
Tosafot HaRosh on Kiddushin 4a:6,45
Tosafot HaRosh on Kiddushin 4a:7,46
Tosafot HaRosh on Kiddushin 4a:8,47
Tosafot HaRosh on Kiddushin 4a:9,48
Tosafot HaRosh on Kiddushin 4a:10,49
Tosafot HaRosh on Kiddushin 4b:1,51
Tosafot HaRosh on Kiddushin 4b:2,52
Tosafot HaRosh on Kiddushin 4b:3,53
Tosafot HaRosh on Kiddushin 4b:4,54
Tosafot HaRosh on Kiddushin 4b:5,55
Tosafot HaRosh on Kiddushin 4b:6,56
Tosafot HaRosh on Kiddushin 5a:1,58
Tosafot HaRosh on Kiddushin 5a:2,59
Tosafot HaRosh on Kiddushin 5a:3,60
Tosafot HaRosh on Kiddushin 5a:4,61
Tosafot HaRosh on Kiddushin 5a:5,62
Tosafot HaRosh on Kiddushin 5a:6,63
Tosafot HaRosh on Kiddushin 5a:7,64
Tosafot HaRosh on Kiddushin 5a:8,65
Tosafot HaRosh on Kiddushin 5a:9,66
Tosafot HaRosh on Kiddushin 5a:10,67
Tosafot HaRosh on Kiddushin 5a:11,68
Tosafot HaRosh on Kiddushin 5a:12,69
Tosafot HaRosh on Kiddushin 5a:13,70
Tosafot HaRosh on Kiddushin 5a:14,71
Tosafot HaRosh on Kiddushin 5a:15,72
Tosafot HaRosh on Kiddushin 5b:1,74
Tosafot HaRosh on Kiddushin 5b:2,75
Tosafot HaRosh on Kiddushin 5b:3,76
Tosafot HaRosh on Kiddushin 5b:4,77
Tosafot HaRosh on Kiddushin 5b:5,78
Tosafot HaRosh on Kiddushin 5b:6,79
Tosafot HaRosh on Kiddushin 5b:7,80
Tosafot HaRosh on Kiddushin 5b:8,81
Tosafot HaRosh on Kiddushin 6a:1,83
Tosafot HaRosh on Kiddushin 6a:2,84
Tosafot HaRosh on Kiddushin 6a:3,85
Tosafot HaRosh on Kiddushin 6a:4,86
Tosafot HaRosh on Kiddushin 6a:5,87
Tosafot HaRosh on Kiddushin 6a:6,88
Tosafot HaRosh on Kiddushin 6a:7,89
Tosafot HaRosh on Kiddushin 6a:8,90
Tosafot HaRosh on Kiddushin 6b:1,92
Tosafot HaRosh on Kiddushin 6b:2,93
Tosafot HaRosh on Kiddushin 6b:3,94
Tosafot HaRosh on Kiddushin 6b:4,95
Tosafot HaRosh on Kiddushin 6b:5,96
Tosafot HaRosh on Kiddushin 6b:6,97
Tosafot HaRosh on Kiddushin 7a:1,99
Tosafot HaRosh on Kiddushin 7a:2,100
Tosafot HaRosh on Kiddushin 7a:3,101
Tosafot HaRosh on Kiddushin 7b:1,103
Tosafot HaRosh on Kiddushin 7b:2,104
Tosafot HaRosh on Kiddushin 7b:3,105
Tosafot HaRosh on Kiddushin 7b:4,106
Tosafot HaRosh on Kiddushin 7b:5,107
Tosafot HaRosh on Kiddushin 8a:1,109
Tosafot HaRosh on Kiddushin 8a:2,110
Tosafot HaRosh on Kiddushin 8a:3,111
Tosafot HaRosh on Kiddushin 8a:4,112
Tosafot HaRosh on Kiddushin 8a:5,113
Tosafot HaRosh on Kiddushin 8b:1,115
Tosafot HaRosh on Kiddushin 8b:2,116
Tosafot HaRosh on Kiddushin 8b:3,117
Tosafot HaRosh on Kiddushin 8b:4,118
Tosafot HaRosh on Kiddushin 9a:1,120
Tosafot HaRosh on Kiddushin 9a:2,121
Tosafot HaRosh on Kiddushin 9a:3,122
Tosafot HaRosh on Kiddushin 9a:4,123
Tosafot HaRosh on Kiddushin 9a:5,124
Tosafot HaRosh on Kiddushin 9a:6,125
Tosafot HaRosh on Kiddushin 9a:7,126
Tosafot HaRosh on Kiddushin 9a:8,127
Tosafot HaRosh on Kiddushin 9a:9,128
Tosafot HaRosh on Kiddushin 9a:10,129
Tosafot HaRosh on Kiddushin 9b:1,131
Tosafot HaRosh on Kiddushin 9b:2,132
Tosafot HaRosh on Kiddushin 9b:3,133
Tosafot HaRosh on Kiddushin 9b:4,134
Tosafot HaRosh on Kiddushin 9b:5,135
Tosafot HaRosh on Kiddushin 9b:6,136
Tosafot HaRosh on Kiddushin 10a:1,138
Tosafot HaRosh on Kiddushin 10a:2,139
