ref,line_index
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:1:1,6
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:2:1,8
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:3:1,10
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:3:2,11
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:4:1,13
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:4:2,14
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:4:3,15
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:5:1,17
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:7:1,19
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:7:2,20
Beur HaGra on Jerusalem Talmud Bikkurim 1:1:7:3,21
Beur HaGra on Jerusalem Talmud Bikkurim 1:2:2:1,24
Beur HaGra on Jerusalem Talmud Bikkurim 1:2:2:2,25
Beur HaGra on Jerusalem Talmud Bikkurim 1:2:2:3,26
Beur HaGra on Jerusalem Talmud Bikkurim 1:2:2:4,27
Beur HaGra on Jerusalem Talmud Bikkurim 1:2:3:1,29
Beur HaGra on Jerusalem Talmud Bikkurim 1:2:3:2,30
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:3:1,33
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:6:1,35
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:6:2,36
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:6:3,37
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:6:4,38
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:6:5,39
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:7:1,41
Beur HaGra on Jerusalem Talmud Bikkurim 1:3:7:2,42
Beur HaGra on Jerusalem Talmud Bikkurim 1:4:2:1,45
Beur HaGra on Jerusalem Talmud Bikkurim 1:4:2:2,46
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:3:1,49
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:4:1,51
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:4:2,52
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:5:1,54
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:5:2,55
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:5:3,56
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:5:4,57
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:5:5,58
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:5:6,59
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:7:1,61
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:7:2,62
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:8:1,64
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:8:2,65
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:8:3,66
Beur HaGra on Jerusalem Talmud Bikkurim 1:5:8:4,67
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:1:1,70
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:2:1,72
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:2:2,73
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:4:1,75
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:4:2,76
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:4:3,77
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:4:4,78
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:5:1,80
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:5:2,81
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:6:1,83
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:6:2,84
Beur HaGra on Jerusalem Talmud Bikkurim 1:6:6:3,85
Beur HaGra on Jerusalem Talmud Bikkurim 1:7:2:1,88
Beur HaGra on Jerusalem Talmud Bikkurim 1:7:3:1,90
Beur HaGra on Jerusalem Talmud Bikkurim 1:7:4:1,92
Beur HaGra on Jerusalem Talmud Bikkurim 1:7:4:2,93
Beur HaGra on Jerusalem Talmud Bikkurim 1:7:5:1,95
Beur HaGra on Jerusalem Talmud Bikkurim 1:7:5:2,96
