ref,line_index
Beur HaGra on Jerusalem Talmud Challah 1:1:1:1,6
Beur HaGra on Jerusalem Talmud Challah 1:1:1:2,7
Beur HaGra on Jerusalem Talmud Challah 1:1:2:1,9
Beur HaGra on Jerusalem Talmud Challah 1:1:2:2,10
Beur HaGra on Jerusalem Talmud Challah 1:1:2:3,11
Beur HaGra on Jerusalem Talmud Challah 1:1:2:4,12
Beur HaGra on Jerusalem Talmud Challah 1:1:3:1,14
Beur HaGra on Jerusalem Talmud Challah 1:1:4:1,16
Beur HaGra on Jerusalem Talmud Challah 1:1:5:1,18
Beur HaGra on Jerusalem Talmud Challah 1:1:5:2,19
Beur HaGra on Jerusalem Talmud Challah 1:1:5:3,20
Beur HaGra on Jerusalem Talmud Challah 1:1:5:4,21
Beur HaGra on Jerusalem Talmud Challah 1:1:5:5,22
Beur HaGra on Jerusalem Talmud Challah 1:1:5:6,23
Beur HaGra on Jerusalem Talmud Challah 1:1:6:1,25
Beur HaGra on Jerusalem Talmud Challah 1:1:6:2,26
Beur HaGra on Jerusalem Talmud Challah 1:1:7:1,28
Beur HaGra on Jerusalem Talmud Challah 1:1:8:1,30
Beur HaGra on Jerusalem Talmud Challah 1:1:8:2,31
Beur HaGra on Jerusalem Talmud Challah 1:1:8:3,32
Beur HaGra on Jerusalem Talmud Challah 1:1:8:4,33
Beur HaGra on Jerusalem Talmud Challah 1:1:8:5,34
Beur HaGra on Jerusalem Talmud Challah 1:1:8:6,35
Beur HaGra on Jerusalem Talmud Challah 1:1:8:7,36
Beur HaGra on Jerusalem Talmud Challah 1:1:8:8,37
Beur HaGra on Jerusalem Talmud Challah 1:1:9:1,39
Beur HaGra on Jerusalem Talmud Challah 1:1:9:2,40
Beur HaGra on Jerusalem Talmud Challah 1:1:9:3,41
Beur HaGra on Jerusalem Talmud Challah 1:1:10:1,43
Beur HaGra on Jerusalem Talmud Challah 1:1:11:1,45
Beur HaGra on Jerusalem Talmud Challah 1:1:11:2,46
Beur HaGra on Jerusalem Talmud Challah 1:1:11:3,47
Beur HaGra on Jerusalem Talmud Challah 1:1:13:1,49
Beur HaGra on Jerusalem Talmud Challah 1:1:13:2,50
Beur HaGra on Jerusalem Talmud Challah 1:1:13:3,51
Beur HaGra on Jerusalem Talmud Challah 1:1:13:4,52
Beur HaGra on Jerusalem Talmud Challah 1:1:13:5,53
Beur HaGra on Jerusalem Talmud Challah 1:1:14:1,55
Beur HaGra on Jerusalem Talmud Challah 1:1:14:2,56
Beur HaGra on Jerusalem Talmud Challah 1:1:14:3,57
Beur HaGra on Jerusalem Talmud Challah 1:1:14:4,58
Beur HaGra on Jerusalem Talmud Challah 1:1:14:5,59
Beur HaGra on Jerusalem Talmud Challah 1:1:14:6,60
Beur HaGra on Jerusalem Talmud Challah 1:1:14:7,61
Beur HaGra on Jerusalem Talmud Challah 1:1:14:8,62
Beur HaGra on Jerusalem Talmud Challah 1:1:14:9,63
Beur HaGra on Jerusalem Talmud Challah 1:1:15:1,65
Beur HaGra on Jerusalem Talmud Challah 1:1:15:2,66
Beur HaGra on Jerusalem Talmud Challah 1:1:15:3,67
Beur HaGra on Jerusalem Talmud Challah 1:1:15:4,68
Beur HaGra on Jerusalem Talmud Challah 1:1:15:5,69
Beur HaGra on Jerusalem Talmud Challah 1:1:15:6,70
Beur HaGra on Jerusalem Talmud Challah 1:1:16:1,72
Beur HaGra on Jerusalem Talmud Challah 1:1:16:2,73
Beur HaGra on Jerusalem Talmud Challah 1:1:16:3,74
Beur HaGra on Jerusalem Talmud Challah 1:1:16:4,75
Beur HaGra on Jerusalem Talmud Challah 1:1:16:5,76
Beur HaGra on Jerusalem Talmud Challah 1:1:16:6,77
Beur HaGra on Jerusalem Talmud Challah 1:1:16:7,78
Beur HaGra on Jerusalem Talmud Challah 1:1:16:8,79
Beur HaGra on Jerusalem Talmud Challah 1:1:17:1,81
Beur HaGra on Jerusalem Talmud Challah 1:1:17:2,82
Beur HaGra on Jerusalem Talmud Challah 1:1:17:3,83
Beur HaGra on Jerusalem Talmud Challah 1:1:17:4,84
Beur HaGra on Jerusalem Talmud Challah 1:1:17:5,85
Beur HaGra on Jerusalem Talmud Challah 1:1:17:6,86
Beur HaGra on Jerusalem Talmud Challah 1:1:17:7,87
Beur HaGra on Jerusalem Talmud Challah 1:1:18:1,89
Beur HaGra on Jerusalem Talmud Challah 1:1:18:2,90
Beur HaGra on Jerusalem Talmud Challah 1:1:18:3,91
Beur HaGra on Jerusalem Talmud Challah 1:1:18:4,92
Beur HaGra on Jerusalem Talmud Challah 1:1:18:5,93
Beur HaGra on Jerusalem Talmud Challah 1:1:18:6,94
Beur HaGra on Jerusalem Talmud Challah 1:1:18:7,95
Beur HaGra on Jerusalem Talmud Challah 1:1:18:8,96
Beur HaGra on Jerusalem Talmud Challah 1:1:18:9,97
Beur HaGra on Jerusalem Talmud Challah 1:1:19:1,99
Beur HaGra on Jerusalem Talmud Challah 1:1:20:1,101
Beur HaGra on Jerusalem Talmud Challah 1:1:20:2,102
Beur HaGra on Jerusalem Talmud Challah 1:1:20:3,103
Beur HaGra on Jerusalem Talmud Challah 1:1:20:4,104
Beur HaGra on Jerusalem Talmud Challah 1:1:20:5,105
Beur HaGra on Jerusalem Talmud Challah 1:1:20:6,106
Beur HaGra on Jerusalem Talmud Challah 1:1:20:7,107
Beur HaGra on Jerusalem Talmud Challah 1:1:20:8,108
Beur HaGra on Jerusalem Talmud Challah 1:1:20:9,109
Beur HaGra on Jerusalem Talmud Challah 1:1:20:10,110
Beur HaGra on Jerusalem Talmud Challah 1:1:20:11,111
Beur HaGra on Jerusalem Talmud Challah 1:1:20:12,112
Beur HaGra on Jerusalem Talmud Challah 1:1:20:13,113
Beur HaGra on Jerusalem Talmud Challah 1:1:20:14,114
Beur HaGra on Jerusalem Talmud Challah 1:1:20:15,115
Beur HaGra on Jerusalem Talmud Challah 1:1:21:1,117
Beur HaGra on Jerusalem Talmud Challah 1:1:21:2,118
Beur HaGra on Jerusalem Talmud Challah 1:1:21:3,119
Beur HaGra on Jerusalem Talmud Challah 1:1:21:4,120
Beur HaGra on Jerusalem Talmud Challah 1:1:21:5,121
Beur HaGra on Jerusalem Talmud Challah 1:1:22:1,123
Beur HaGra on Jerusalem Talmud Challah 1:1:23:1,125
Beur HaGra on Jerusalem Talmud Challah 1:1:23:2,126
Beur HaGra on Jerusalem Talmud Challah 1:1:24:1,128
Beur HaGra on Jerusalem Talmud Challah 1:1:24:2,129
Beur HaGra on Jerusalem Talmud Challah 1:1:24:3,130
Beur HaGra on Jerusalem Talmud Challah 1:1:24:4,131
Beur HaGra on Jerusalem Talmud Challah 1:1:24:5,132
Beur HaGra on Jerusalem Talmud Challah 1:1:24:6,133
Beur HaGra on Jerusalem Talmud Challah 1:1:24:7,134
Beur HaGra on Jerusalem Talmud Challah 1:1:24:8,135
Beur HaGra on Jerusalem Talmud Challah 1:1:24:9,136
Beur HaGra on Jerusalem Talmud Challah 1:1:25:1,138
Beur HaGra on Jerusalem Talmud Challah 1:1:25:2,139
Beur HaGra on Jerusalem Talmud Challah 1:1:25:3,140
Beur HaGra on Jerusalem Talmud Challah 1:1:25:4,141
Beur HaGra on Jerusalem Talmud Challah 1:1:25:5,142
Beur HaGra on Jerusalem Talmud Challah 1:1:25:6,143
Beur HaGra on Jerusalem Talmud Challah 1:1:25:7,144
Beur HaGra on Jerusalem Talmud Challah 1:1:25:8,145
Beur HaGra on Jerusalem Talmud Challah 1:1:25:9,146
Beur HaGra on Jerusalem Talmud Challah 1:1:26:1,148
Beur HaGra on Jerusalem Talmud Challah 1:1:26:2,149
Beur HaGra on Jerusalem Talmud Challah 1:1:26:3,150
Beur HaGra on Jerusalem Talmud Challah 1:1:27:1,152
Beur HaGra on Jerusalem Talmud Challah 1:1:27:2,153
Beur HaGra on Jerusalem Talmud Challah 1:1:27:3,154
Beur HaGra on Jerusalem Talmud Challah 1:1:27:4,155
Beur HaGra on Jerusalem Talmud Challah 1:1:27:5,156
Beur HaGra on Jerusalem Talmud Challah 1:1:27:6,157
Beur HaGra on Jerusalem Talmud Challah 1:1:27:7,158
Beur HaGra on Jerusalem Talmud Challah 1:1:27:8,159
Beur HaGra on Jerusalem Talmud Challah 1:1:27:9,160
Beur HaGra on Jerusalem Talmud Challah 1:2:2:1,163
Beur HaGra on Jerusalem Talmud Challah 1:2:2:2,164
Beur HaGra on Jerusalem Talmud Challah 1:2:2:3,165
Beur HaGra on Jerusalem Talmud Challah 1:2:2:4,166
Beur HaGra on Jerusalem Talmud Challah 1:2:2:5,167
Beur HaGra on Jerusalem Talmud Challah 1:2:2:6,168
Beur HaGra on Jerusalem Talmud Challah 1:2:2:7,169
Beur HaGra on Jerusalem Talmud Challah 1:2:3:1,171
Beur HaGra on Jerusalem Talmud Challah 1:2:3:2,172
Beur HaGra on Jerusalem Talmud Challah 1:2:3:3,173
Beur HaGra on Jerusalem Talmud Challah 1:2:3:4,174
Beur HaGra on Jerusalem Talmud Challah 1:2:3:5,175
Beur HaGra on Jerusalem Talmud Challah 1:2:3:6,176
Beur HaGra on Jerusalem Talmud Challah 1:2:3:7,177
Beur HaGra on Jerusalem Talmud Challah 1:3:2:1,180
Beur HaGra on Jerusalem Talmud Challah 1:3:2:2,181
Beur HaGra on Jerusalem Talmud Challah 1:3:2:3,182
Beur HaGra on Jerusalem Talmud Challah 1:3:2:4,183
Beur HaGra on Jerusalem Talmud Challah 1:3:3:1,185
Beur HaGra on Jerusalem Talmud Challah 1:3:3:2,186
Beur HaGra on Jerusalem Talmud Challah 1:3:4:1,188
Beur HaGra on Jerusalem Talmud Challah 1:3:4:2,189
Beur HaGra on Jerusalem Talmud Challah 1:3:4:3,190
Beur HaGra on Jerusalem Talmud Challah 1:3:4:4,191
Beur HaGra on Jerusalem Talmud Challah 1:3:5:1,193
Beur HaGra on Jerusalem Talmud Challah 1:3:6:1,195
Beur HaGra on Jerusalem Talmud Challah 1:3:6:2,196
Beur HaGra on Jerusalem Talmud Challah 1:3:6:3,197
Beur HaGra on Jerusalem Talmud Challah 1:3:6:4,198
Beur HaGra on Jerusalem Talmud Challah 1:3:6:5,199
Beur HaGra on Jerusalem Talmud Challah 1:3:7:1,201
Beur HaGra on Jerusalem Talmud Challah 1:3:7:2,202
Beur HaGra on Jerusalem Talmud Challah 1:3:7:3,203
Beur HaGra on Jerusalem Talmud Challah 1:3:7:4,204
Beur HaGra on Jerusalem Talmud Challah 1:3:7:5,205
Beur HaGra on Jerusalem Talmud Challah 1:3:7:6,206
Beur HaGra on Jerusalem Talmud Challah 1:3:8:1,208
Beur HaGra on Jerusalem Talmud Challah 1:3:9:1,210
Beur HaGra on Jerusalem Talmud Challah 1:3:9:2,211
