ref,line_index
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:1,6
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:2,7
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:3,8
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:4,9
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:5,10
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:6,11
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:7,12
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:8,13
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:9,14
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:10,15
Beur HaGra on Jerusalem Talmud Kilayim 1:1:4:1,17
Beur HaGra on Jerusalem Talmud Kilayim 1:1:4:2,18
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:1,20
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:2,21
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:3,22
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:4,23
Beur HaGra on Jerusalem Talmud Kilayim 1:1:8:1,25
Beur HaGra on Jerusalem Talmud Kilayim 1:2:2:1,28
Beur HaGra on Jerusalem Talmud Kilayim 1:2:2:2,29
Beur HaGra on Jerusalem Talmud Kilayim 1:2:2:3,30
Beur HaGra on Jerusalem Talmud Kilayim 1:2:3:1,32
Beur HaGra on Jerusalem Talmud Kilayim 1:2:3:2,33
Beur HaGra on Jerusalem Talmud Kilayim 1:2:3:3,34
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:1,36
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:2,37
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:3,38
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:4,39
Beur HaGra on Jerusalem Talmud Kilayim 1:2:5:1,41
Beur HaGra on Jerusalem Talmud Kilayim 1:3:2:1,44
Beur HaGra on Jerusalem Talmud Kilayim 1:3:2:2,45
Beur HaGra on Jerusalem Talmud Kilayim 1:4:3:1,48
Beur HaGra on Jerusalem Talmud Kilayim 1:4:3:2,49
Beur HaGra on Jerusalem Talmud Kilayim 1:4:6:1,51
Beur HaGra on Jerusalem Talmud Kilayim 1:4:6:2,52
Beur HaGra on Jerusalem Talmud Kilayim 1:5:2:1,55
Beur HaGra on Jerusalem Talmud Kilayim 1:5:2:2,56
Beur HaGra on Jerusalem Talmud Kilayim 1:5:2:3,57
Beur HaGra on Jerusalem Talmud Kilayim 1:6:2:1,60
Beur HaGra on Jerusalem Talmud Kilayim 1:6:2:2,61
Beur HaGra on Jerusalem Talmud Kilayim 1:6:2:3,62
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:1,64
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:2,65
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:3,66
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:4,67
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:5,68
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:1,70
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:2,71
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:3,72
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:4,73
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:5,74
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:1,77
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:2,78
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:3,79
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:4,80
Beur HaGra on Jerusalem Talmud Kilayim 1:7:4:1,82
Beur HaGra on Jerusalem Talmud Kilayim 1:7:4:2,83
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:1,85
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:2,86
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:3,87
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:4,88
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:5,89
Beur HaGra on Jerusalem Talmud Kilayim 1:8:2:1,92
Beur HaGra on Jerusalem Talmud Kilayim 1:8:2:2,93
Beur HaGra on Jerusalem Talmud Kilayim 1:8:2:3,94
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:1,97
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:2,98
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:3,99
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:4,100
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:5,101
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:6,102
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:7,103
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:1,105
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:2,106
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:3,107
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:4,108
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:5,109
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:6,110
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:7,111
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:8,112
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:9,113
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:10,114
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:1,116
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:2,117
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:3,118
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:4,119
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:5,120
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:1,122
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:2,123
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:3,124
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:4,125
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:5,126
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:6,127
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:7,128
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:8,129
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:9,130
Beur HaGra on Jerusalem Talmud Kilayim 2:1:2:1,134
Beur HaGra on Jerusalem Talmud Kilayim 2:1:2:2,135
Beur HaGra on Jerusalem Talmud Kilayim 2:1:2:3,136
Beur HaGra on Jerusalem Talmud Kilayim 2:1:3:1,138
Beur HaGra on Jerusalem Talmud Kilayim 2:1:4:1,140
Beur HaGra on Jerusalem Talmud Kilayim 2:1:5:1,142
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:1,144
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:2,145
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:3,146
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:4,147
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:5,148
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:1,150
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:2,151
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:3,152
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:4,153
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:5,154
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:6,155
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:7,156
Beur HaGra on Jerusalem Talmud Kilayim 2:1:10:1,158
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:1,160
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:2,161
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:3,162
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:4,163
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:5,164
Beur HaGra on Jerusalem Talmud Kilayim 2:2:2:1,167
Beur HaGra on Jerusalem Talmud Kilayim 2:2:2:2,168
Beur HaGra on Jerusalem Talmud Kilayim 2:2:2:3,169
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:1,171
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:2,172
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:3,173
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:4,174
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:5,175
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:1,178
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:2,179
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:3,180
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:4,181
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:5,182
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:6,183
