ref,line_index
Beur HaGra on Jerusalem Talmud Orlah 1:1:2:1,6
Beur HaGra on Jerusalem Talmud Orlah 1:1:2:2,7
Beur HaGra on Jerusalem Talmud Orlah 1:1:2:3,8
Beur HaGra on Jerusalem Talmud Orlah 1:1:3:1,10
Beur HaGra on Jerusalem Talmud Orlah 1:1:4:1,12
Beur HaGra on Jerusalem Talmud Orlah 1:1:4:2,13
Beur HaGra on Jerusalem Talmud Orlah 1:1:4:3,14
Beur HaGra on Jerusalem Talmud Orlah 1:1:4:4,15
Beur HaGra on Jerusalem Talmud Orlah 1:1:5:1,17
Beur HaGra on Jerusalem Talmud Orlah 1:1:5:2,18
Beur HaGra on Jerusalem Talmud Orlah 1:1:6:1,20
Beur HaGra on Jerusalem Talmud Orlah 1:1:6:2,21
Beur HaGra on Jerusalem Talmud Orlah 1:1:6:3,22
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:1,24
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:2,25
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:3,26
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:4,27
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:5,28
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:6,29
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:7,30
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:8,31
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:9,32
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:10,33
Beur HaGra on Jerusalem Talmud Orlah 1:1:7:11,34
Beur HaGra on Jerusalem Talmud Orlah 1:1:8:1,36
Beur HaGra on Jerusalem Talmud Orlah 1:1:8:2,37
Beur HaGra on Jerusalem Talmud Orlah 1:1:9:1,39
Beur HaGra on Jerusalem Talmud Orlah 1:1:9:2,40
Beur HaGra on Jerusalem Talmud Orlah 1:1:9:3,41
Beur HaGra on Jerusalem Talmud Orlah 1:1:9:4,42
Beur HaGra on Jerusalem Talmud Orlah 1:1:10:1,44
Beur HaGra on Jerusalem Talmud Orlah 1:1:10:2,45
Beur HaGra on Jerusalem Talmud Orlah 1:1:10:3,46
Beur HaGra on Jerusalem Talmud Orlah 1:1:10:4,47
Beur HaGra on Jerusalem Talmud Orlah 1:1:10:5,48
Beur HaGra on Jerusalem Talmud Orlah 1:1:10:6,49
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:1,51
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:2,52
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:3,53
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:4,54
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:5,55
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:6,56
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:7,57
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:8,58
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:9,59
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:10,60
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:11,61
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:12,62
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:13,63
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:14,64
Beur HaGra on Jerusalem Talmud Orlah 1:1:11:15,65
