ref,line_index
Noam Yerushalmi on Challah 1:1:11:1,6
Noam Yerushalmi on Challah 1:1:11:2,7
Noam Yerushalmi on Challah 1:1:11:3,8
Noam Yerushalmi on Challah 1:1:11:4,9
Noam Yerushalmi on Challah 1:1:14:1,11
Noam Yerushalmi on Challah 1:1:14:2,12
Noam Yerushalmi on Challah 1:1:14:3,13
Noam Yerushalmi on Challah 1:1:14:4,14
Noam Yerushalmi on Challah 1:1:14:5,15
Noam Yerushalmi on Challah 1:1:14:6,16
Noam Yerushalmi on Challah 1:1:14:7,17
Noam Yerushalmi on Challah 1:1:14:8,18
Noam Yerushalmi on Challah 1:1:14:9,19
Noam Yerushalmi on Challah 1:1:14:10,20
Noam Yerushalmi on Challah 1:1:14:11,21
Noam Yerushalmi on Challah 1:1:14:12,22
Noam Yerushalmi on Challah 1:1:14:13,23
Noam Yerushalmi on Challah 1:1:14:14,24
Noam Yerushalmi on Challah 1:1:14:15,25
Noam Yerushalmi on Challah 1:1:14:16,26
Noam Yerushalmi on Challah 1:1:14:17,27
Noam Yerushalmi on Challah 1:1:14:18,28
Noam Yerushalmi on Challah 1:1:14:19,29
Noam Yerushalmi on Challah 1:1:18:1,31
Noam Yerushalmi on Challah 1:1:18:2,32
Noam Yerushalmi on Challah 1:1:18:3,33
Noam Yerushalmi on Challah 1:1:18:4,34
Noam Yerushalmi on Challah 1:1:18:5,35
Noam Yerushalmi on Challah 1:1:18:6,36
Noam Yerushalmi on Challah 1:1:18:7,37
Noam Yerushalmi on Challah 1:1:18:8,38
Noam Yerushalmi on Challah 1:1:18:9,39
Noam Yerushalmi on Challah 1:1:18:10,40
Noam Yerushalmi on Challah 1:3:7:1,43
Noam Yerushalmi on Challah 1:3:7:2,44
Noam Yerushalmi on Challah 1:3:7:3,45
Noam Yerushalmi on Challah 1:3:7:4,46
Noam Yerushalmi on Challah 1:3:7:5,47
Noam Yerushalmi on Challah 1:3:7:6,48
Noam Yerushalmi on Challah 1:3:7:7,49
Noam Yerushalmi on Challah 1:3:7:8,50
Noam Yerushalmi on Challah 1:3:7:9,51
Noam Yerushalmi on Challah 1:3:12:1,53
Noam Yerushalmi on Challah 1:3:12:2,54
Noam Yerushalmi on Challah 1:3:13:1,56
Noam Yerushalmi on Challah 1:3:13:2,57
Noam Yerushalmi on Challah 1:3:13:3,58
Noam Yerushalmi on Challah 1:3:13:4,59
Noam Yerushalmi on Challah 1:3:13:5,60
Noam Yerushalmi on Challah 1:3:13:6,61
Noam Yerushalmi on Challah 1:3:13:7,62
Noam Yerushalmi on Challah 1:3:13:8,63
Noam Yerushalmi on Challah 2:1:3:1,67
Noam Yerushalmi on Challah 2:1:3:2,68
Noam Yerushalmi on Challah 2:1:5:1,70
Noam Yerushalmi on Challah 2:1:5:2,71
Noam Yerushalmi on Challah 2:1:5:3,72
Noam Yerushalmi on Challah 2:1:5:4,73
Noam Yerushalmi on Challah 2:1:5:5,74
Noam Yerushalmi on Challah 2:1:5:6,75
Noam Yerushalmi on Challah 2:1:5:7,76
Noam Yerushalmi on Challah 2:1:5:8,77
Noam Yerushalmi on Challah 2:1:5:9,78
Noam Yerushalmi on Challah 2:1:5:10,79
Noam Yerushalmi on Challah 2:1:5:11,80
Noam Yerushalmi on Challah 2:1:5:12,81
Noam Yerushalmi on Challah 2:1:10:1,83
Noam Yerushalmi on Challah 2:1:10:2,84
Noam Yerushalmi on Challah 2:1:10:3,85
Noam Yerushalmi on Challah 2:1:10:4,86
Noam Yerushalmi on Challah 2:1:10:5,87
Noam Yerushalmi on Challah 2:1:10:6,88
Noam Yerushalmi on Challah 3:1:7:1,92
Noam Yerushalmi on Challah 3:1:7:2,93
Noam Yerushalmi on Challah 3:1:7:3,94
Noam Yerushalmi on Challah 3:1:7:4,95
Noam Yerushalmi on Challah 3:1:7:5,96
Noam Yerushalmi on Challah 3:1:7:6,97
Noam Yerushalmi on Challah 3:1:7:7,98
Noam Yerushalmi on Challah 3:2:2:1,101
Noam Yerushalmi on Challah 3:2:2:2,102
Noam Yerushalmi on Challah 3:2:2:3,103
Noam Yerushalmi on Challah 3:2:2:4,104
Noam Yerushalmi on Challah 3:2:2:5,105
Noam Yerushalmi on Challah 3:2:2:6,106
Noam Yerushalmi on Challah 3:2:2:7,107
Noam Yerushalmi on Challah 3:2:2:8,108
Noam Yerushalmi on Challah 3:2:2:9,109
Noam Yerushalmi on Challah 3:4:6:1,112
Noam Yerushalmi on Challah 3:4:6:2,113
Noam Yerushalmi on Challah 3:4:6:3,114
Noam Yerushalmi on Challah 3:4:6:4,115
Noam Yerushalmi on Challah 3:4:6:5,116
Noam Yerushalmi on Challah 3:4:6:6,117
Noam Yerushalmi on Challah 3:4:6:7,118
Noam Yerushalmi on Challah 3:4:6:8,119
Noam Yerushalmi on Challah 3:4:6:9,120
Noam Yerushalmi on Challah 3:4:6:10,121
Noam Yerushalmi on Challah 3:4:6:11,122
Noam Yerushalmi on Challah 3:4:6:12,123
Noam Yerushalmi on Challah 3:4:6:13,124
Noam Yerushalmi on Challah 3:4:6:14,125
Noam Yerushalmi on Challah 3:4:6:15,126
Noam Yerushalmi on Challah 3:4:6:16,127
Noam Yerushalmi on Challah 3:4:6:17,128
Noam Yerushalmi on Challah 3:4:6:18,129
Noam Yerushalmi on Challah 3:4:6:19,130
Noam Yerushalmi on Challah 3:4:6:20,131
Noam Yerushalmi on Challah 3:4:7:1,133
