ref,line_index
Noam Yerushalmi on Kilayim 1:9:2:1,6
Noam Yerushalmi on Kilayim 1:9:2:2,7
Noam Yerushalmi on Kilayim 1:9:2:3,8
Noam Yerushalmi on Kilayim 1:9:2:4,9
Noam Yerushalmi on Kilayim 1:9:2:5,10
Noam Yerushalmi on Kilayim 1:9:2:6,11
Noam Yerushalmi on Kilayim 1:9:2:7,12
Noam Yerushalmi on Kilayim 1:9:2:8,13
Noam Yerushalmi on Kilayim 3:2:3:1,17
Noam Yerushalmi on Kilayim 3:2:3:2,18
Noam Yerushalmi on Kilayim 3:2:3:3,19
Noam Yerushalmi on Kilayim 3:2:3:4,20
Noam Yerushalmi on Kilayim 3:2:3:5,21
Noam Yerushalmi on Kilayim 3:2:3:6,22
Noam Yerushalmi on Kilayim 3:2:3:7,23
Noam Yerushalmi on Kilayim 3:2:3:8,24
Noam Yerushalmi on Kilayim 3:2:3:9,25
Noam Yerushalmi on Kilayim 3:2:3:10,26
Noam Yerushalmi on Kilayim 3:2:3:11,27
Noam Yerushalmi on Kilayim 3:2:3:12,28
Noam Yerushalmi on Kilayim 3:2:3:13,29
Noam Yerushalmi on Kilayim 3:2:3:14,30
Noam Yerushalmi on Kilayim 3:2:3:15,31
Noam Yerushalmi on Kilayim 3:2:3:16,32
Noam Yerushalmi on Kilayim 3:2:3:17,33
Noam Yerushalmi on Kilayim 5:6:4:1,37
Noam Yerushalmi on Kilayim 5:6:4:2,38
Noam Yerushalmi on Kilayim 5:6:4:3,39
Noam Yerushalmi on Kilayim 5:6:4:4,40
Noam Yerushalmi on Kilayim 5:6:4:5,41
Noam Yerushalmi on Kilayim 5:6:4:6,42
Noam Yerushalmi on Kilayim 5:6:4:7,43
