ref,line_index
Noam Yerushalmi on Maaser Sheni 2:1:2:1,6
Noam Yerushalmi on Maaser Sheni 2:1:4:1,8
Noam Yerushalmi on Maaser Sheni 2:1:4:2,9
Noam Yerushalmi on Maaser Sheni 2:1:4:3,10
Noam Yerushalmi on Maaser Sheni 2:1:5:1,12
Noam Yerushalmi on Maaser Sheni 2:1:6:1,14
Noam Yerushalmi on Maaser Sheni 2:1:6:2,15
Noam Yerushalmi on Maaser Sheni 2:1:6:3,16
Noam Yerushalmi on Maaser Sheni 2:1:8:1,18
Noam Yerushalmi on Maaser Sheni 2:1:8:2,19
Noam Yerushalmi on Maaser Sheni 3:2:5:1,23
Noam Yerushalmi on Maaser Sheni 3:2:5:2,24
Noam Yerushalmi on Maaser Sheni 3:2:5:3,25
Noam Yerushalmi on Maaser Sheni 3:2:5:4,26
Noam Yerushalmi on Maaser Sheni 3:2:5:5,27
Noam Yerushalmi on Maaser Sheni 3:2:5:6,28
Noam Yerushalmi on Maaser Sheni 3:2:5:7,29
Noam Yerushalmi on Maaser Sheni 3:2:5:8,30
Noam Yerushalmi on Maaser Sheni 3:2:5:9,31
Noam Yerushalmi on Maaser Sheni 3:2:5:10,32
Noam Yerushalmi on Maaser Sheni 3:3:8:1,35
Noam Yerushalmi on Maaser Sheni 3:3:8:2,36
Noam Yerushalmi on Maaser Sheni 3:3:8:3,37
Noam Yerushalmi on Maaser Sheni 3:3:8:4,38
Noam Yerushalmi on Maaser Sheni 3:3:8:5,39
Noam Yerushalmi on Maaser Sheni 3:3:8:6,40
Noam Yerushalmi on Maaser Sheni 3:3:8:7,41
Noam Yerushalmi on Maaser Sheni 3:3:8:8,42
Noam Yerushalmi on Maaser Sheni 3:3:8:9,43
Noam Yerushalmi on Maaser Sheni 3:3:8:10,44
Noam Yerushalmi on Maaser Sheni 3:3:8:11,45
Noam Yerushalmi on Maaser Sheni 3:3:8:12,46
Noam Yerushalmi on Maaser Sheni 3:3:8:13,47
Noam Yerushalmi on Maaser Sheni 3:3:8:14,48
Noam Yerushalmi on Maaser Sheni 3:3:8:15,49
Noam Yerushalmi on Maaser Sheni 3:3:8:16,50
Noam Yerushalmi on Maaser Sheni 3:3:8:17,51
Noam Yerushalmi on Maaser Sheni 3:3:8:18,52
Noam Yerushalmi on Maaser Sheni 3:3:8:19,53
Noam Yerushalmi on Maaser Sheni 3:3:8:20,54
Noam Yerushalmi on Maaser Sheni 3:3:8:21,55
Noam Yerushalmi on Maaser Sheni 3:3:8:22,56
Noam Yerushalmi on Maaser Sheni 3:6:4:1,59
Noam Yerushalmi on Maaser Sheni 3:6:4:2,60
Noam Yerushalmi on Maaser Sheni 3:6:4:3,61
Noam Yerushalmi on Maaser Sheni 3:6:4:4,62
Noam Yerushalmi on Maaser Sheni 3:6:4:5,63
Noam Yerushalmi on Maaser Sheni 3:6:4:6,64
Noam Yerushalmi on Maaser Sheni 3:6:4:7,65
Noam Yerushalmi on Maaser Sheni 3:6:4:8,66
Noam Yerushalmi on Maaser Sheni 3:6:4:9,67
Noam Yerushalmi on Maaser Sheni 3:6:4:10,68
Noam Yerushalmi on Maaser Sheni 3:6:4:11,69
Noam Yerushalmi on Maaser Sheni 3:6:4:12,70
Noam Yerushalmi on Maaser Sheni 3:6:4:13,71
Noam Yerushalmi on Maaser Sheni 3:6:4:14,72
Noam Yerushalmi on Maaser Sheni 4:4:6:1,76
Noam Yerushalmi on Maaser Sheni 4:4:7:1,78
Noam Yerushalmi on Maaser Sheni 4:4:7:2,79
Noam Yerushalmi on Maaser Sheni 4:4:7:3,80
Noam Yerushalmi on Maaser Sheni 4:4:7:4,81
Noam Yerushalmi on Maaser Sheni 5:1:11:1,85
Noam Yerushalmi on Maaser Sheni 5:1:11:2,86
Noam Yerushalmi on Maaser Sheni 5:1:11:3,87
Noam Yerushalmi on Maaser Sheni 5:1:11:4,88
Noam Yerushalmi on Maaser Sheni 5:1:11:5,89
Noam Yerushalmi on Maaser Sheni 5:1:11:6,90
Noam Yerushalmi on Maaser Sheni 5:1:11:7,91
Noam Yerushalmi on Maaser Sheni 5:1:11:8,92
Noam Yerushalmi on Maaser Sheni 5:1:11:9,93
Noam Yerushalmi on Maaser Sheni 5:1:11:10,94
Noam Yerushalmi on Maaser Sheni 5:1:11:11,95
Noam Yerushalmi on Maaser Sheni 5:1:11:12,96
Noam Yerushalmi on Maaser Sheni 5:1:11:13,97
Noam Yerushalmi on Maaser Sheni 5:1:11:14,98
Noam Yerushalmi on Maaser Sheni 5:1:11:15,99
Noam Yerushalmi on Maaser Sheni 5:1:11:16,100
Noam Yerushalmi on Maaser Sheni 5:1:11:17,101
Noam Yerushalmi on Maaser Sheni 5:1:11:18,102
Noam Yerushalmi on Maaser Sheni 5:1:11:19,103
Noam Yerushalmi on Maaser Sheni 5:1:11:20,104
Noam Yerushalmi on Maaser Sheni 5:1:11:21,105
Noam Yerushalmi on Maaser Sheni 5:1:11:22,106
Noam Yerushalmi on Maaser Sheni 5:1:11:23,107
Noam Yerushalmi on Maaser Sheni 5:1:11:24,108
Noam Yerushalmi on Maaser Sheni 5:1:11:25,109
Noam Yerushalmi on Maaser Sheni 5:1:11:26,110
Noam Yerushalmi on Maaser Sheni 5:1:11:27,111
Noam Yerushalmi on Maaser Sheni 5:1:11:28,112
Noam Yerushalmi on Maaser Sheni 5:1:11:29,113
Noam Yerushalmi on Maaser Sheni 5:1:11:30,114
Noam Yerushalmi on Maaser Sheni 5:1:11:31,115
Noam Yerushalmi on Maaser Sheni 5:1:11:32,116
Noam Yerushalmi on Maaser Sheni 5:1:11:33,117
Noam Yerushalmi on Maaser Sheni 5:1:11:34,118
Noam Yerushalmi on Maaser Sheni 5:1:11:35,119
Noam Yerushalmi on Maaser Sheni 5:1:11:36,120
Noam Yerushalmi on Maaser Sheni 5:1:11:37,121
