ref,line_index
Noam Yerushalmi on Orlah 1:1:17:1,6
Noam Yerushalmi on Orlah 1:1:18:1,8
Noam Yerushalmi on Orlah 1:1:18:2,9
Noam Yerushalmi on Orlah 1:1:19:1,11
Noam Yerushalmi on Orlah 1:1:19:2,12
Noam Yerushalmi on Orlah 1:1:19:3,13
Noam Yerushalmi on Orlah 1:1:19:4,14
Noam Yerushalmi on Orlah 1:1:19:5,15
Noam Yerushalmi on Orlah 1:1:20:1,17
Noam Yerushalmi on Orlah 1:1:20:2,18
Noam Yerushalmi on Orlah 1:1:20:3,19
Noam Yerushalmi on Orlah 1:1:20:4,20
Noam Yerushalmi on Orlah 1:1:20:5,21
Noam Yerushalmi on Orlah 1:1:20:6,22
Noam Yerushalmi on Orlah 1:1:20:7,23
Noam Yerushalmi on Orlah 1:1:20:8,24
Noam Yerushalmi on Orlah 1:1:20:9,25
Noam Yerushalmi on Orlah 1:1:20:10,26
Noam Yerushalmi on Orlah 1:5:7:1,29
Noam Yerushalmi on Orlah 1:5:7:2,30
Noam Yerushalmi on Orlah 1:5:7:3,31
Noam Yerushalmi on Orlah 1:5:7:4,32
Noam Yerushalmi on Orlah 1:5:7:5,33
Noam Yerushalmi on Orlah 2:1:10:1,37
Noam Yerushalmi on Orlah 2:1:10:2,38
Noam Yerushalmi on Orlah 2:1:10:3,39
Noam Yerushalmi on Orlah 2:1:10:4,40
Noam Yerushalmi on Orlah 2:1:10:5,41
Noam Yerushalmi on Orlah 2:1:11:1,43
Noam Yerushalmi on Orlah 2:1:11:2,44
Noam Yerushalmi on Orlah 2:1:11:3,45
Noam Yerushalmi on Orlah 2:1:11:4,46
Noam Yerushalmi on Orlah 2:1:11:5,47
Noam Yerushalmi on Orlah 2:1:11:6,48
Noam Yerushalmi on Orlah 2:1:11:7,49
Noam Yerushalmi on Orlah 2:1:11:8,50
Noam Yerushalmi on Orlah 2:1:11:9,51
Noam Yerushalmi on Orlah 2:1:11:10,52
Noam Yerushalmi on Orlah 2:1:11:11,53
Noam Yerushalmi on Orlah 2:1:11:12,54
Noam Yerushalmi on Orlah 2:1:16:1,56
Noam Yerushalmi on Orlah 2:1:16:2,57
Noam Yerushalmi on Orlah 2:1:16:3,58
Noam Yerushalmi on Orlah 2:1:16:4,59
Noam Yerushalmi on Orlah 2:1:16:5,60
Noam Yerushalmi on Orlah 2:4:2:1,63
Noam Yerushalmi on Orlah 2:4:2:2,64
Noam Yerushalmi on Orlah 2:4:2:3,65
Noam Yerushalmi on Orlah 2:4:2:4,66
Noam Yerushalmi on Orlah 2:4:2:5,67
Noam Yerushalmi on Orlah 2:4:2:6,68
Noam Yerushalmi on Orlah 2:4:5:1,70
Noam Yerushalmi on Orlah 2:4:5:2,71
Noam Yerushalmi on Orlah 2:4:5:3,72
Noam Yerushalmi on Orlah 2:4:18:1,74
Noam Yerushalmi on Orlah 2:4:18:2,75
Noam Yerushalmi on Orlah 2:9:2:1,78
Noam Yerushalmi on Orlah 2:9:2:2,79
Noam Yerushalmi on Orlah 2:9:2:3,80
Noam Yerushalmi on Orlah 2:9:2:4,81
Noam Yerushalmi on Orlah 2:9:2:5,82
Noam Yerushalmi on Orlah 2:9:2:6,83
Noam Yerushalmi on Orlah 2:9:2:7,84
Noam Yerushalmi on Orlah 2:9:2:8,85
Noam Yerushalmi on Orlah 2:9:4:1,87
Noam Yerushalmi on Orlah 2:9:4:2,88
Noam Yerushalmi on Orlah 2:9:4:3,89
Noam Yerushalmi on Orlah 2:9:4:4,90
Noam Yerushalmi on Orlah 2:9:4:5,91
Noam Yerushalmi on Orlah 2:9:4:6,92
Noam Yerushalmi on Orlah 2:9:4:7,93
Noam Yerushalmi on Orlah 2:9:4:8,94
Noam Yerushalmi on Orlah 2:9:4:9,95
Noam Yerushalmi on Orlah 2:9:4:10,96
Noam Yerushalmi on Orlah 2:9:4:11,97
Noam Yerushalmi on Orlah 2:9:4:12,98
Noam Yerushalmi on Orlah 2:9:4:13,99
Noam Yerushalmi on Orlah 2:9:4:14,100
Noam Yerushalmi on Orlah 2:9:4:15,101
Noam Yerushalmi on Orlah 2:9:4:16,102
Noam Yerushalmi on Orlah 2:9:4:17,103
Noam Yerushalmi on Orlah 2:9:4:18,104
