ref,line_index
Noam Yerushalmi on Peah 1:1:5:1,6
Noam Yerushalmi on Peah 1:1:5:2,7
Noam Yerushalmi on Peah 1:1:5:3,8
Noam Yerushalmi on Peah 1:1:5:4,9
Noam Yerushalmi on Peah 1:1:5:5,10
Noam Yerushalmi on Peah 1:1:5:6,11
Noam Yerushalmi on Peah 1:1:5:7,12
Noam Yerushalmi on Peah 1:1:5:8,13
Noam Yerushalmi on Peah 1:1:8:1,15
Noam Yerushalmi on Peah 1:1:8:2,16
Noam Yerushalmi on Peah 1:1:8:3,17
Noam Yerushalmi on Peah 1:1:8:4,18
Noam Yerushalmi on Peah 1:1:8:5,19
Noam Yerushalmi on Peah 1:1:8:6,20
Noam Yerushalmi on Peah 1:5:7:1,23
Noam Yerushalmi on Peah 1:5:7:2,24
Noam Yerushalmi on Peah 1:5:7:3,25
Noam Yerushalmi on Peah 1:5:7:4,26
Noam Yerushalmi on Peah 1:5:7:5,27
Noam Yerushalmi on Peah 1:5:7:6,28
Noam Yerushalmi on Peah 1:5:7:7,29
Noam Yerushalmi on Peah 1:5:7:8,30
Noam Yerushalmi on Peah 1:5:7:9,31
Noam Yerushalmi on Peah 1:5:7:10,32
Noam Yerushalmi on Peah 1:5:7:11,33
Noam Yerushalmi on Peah 1:5:7:12,34
Noam Yerushalmi on Peah 1:5:7:13,35
Noam Yerushalmi on Peah 1:5:7:14,36
Noam Yerushalmi on Peah 1:5:7:15,37
Noam Yerushalmi on Peah 1:5:7:16,38
Noam Yerushalmi on Peah 1:5:7:17,39
Noam Yerushalmi on Peah 1:5:7:18,40
Noam Yerushalmi on Peah 1:5:7:19,41
Noam Yerushalmi on Peah 1:5:7:20,42
Noam Yerushalmi on Peah 1:5:7:21,43
Noam Yerushalmi on Peah 1:5:7:22,44
Noam Yerushalmi on Peah 2:1:10:1,48
Noam Yerushalmi on Peah 2:1:10:2,49
Noam Yerushalmi on Peah 2:1:10:3,50
Noam Yerushalmi on Peah 2:1:10:4,51
Noam Yerushalmi on Peah 2:1:10:5,52
Noam Yerushalmi on Peah 2:1:10:6,53
Noam Yerushalmi on Peah 2:1:10:7,54
Noam Yerushalmi on Peah 2:1:10:8,55
Noam Yerushalmi on Peah 2:1:10:9,56
Noam Yerushalmi on Peah 2:1:10:10,57
Noam Yerushalmi on Peah 2:1:10:11,58
Noam Yerushalmi on Peah 2:1:10:12,59
Noam Yerushalmi on Peah 3:5:2:1,63
Noam Yerushalmi on Peah 3:5:2:2,64
Noam Yerushalmi on Peah 4:2:7:1,68
Noam Yerushalmi on Peah 4:2:7:2,69
Noam Yerushalmi on Peah 4:2:7:3,70
Noam Yerushalmi on Peah 4:2:7:4,71
