ref,line_index
Noam Yerushalmi on Beitzah 1:1:2:1,6
Noam Yerushalmi on Beitzah 1:1:6:1,8
Noam Yerushalmi on Beitzah 1:1:7:1,10
Noam Yerushalmi on Beitzah 1:1:7:2,11
Noam Yerushalmi on Beitzah 1:1:9:1,13
Noam Yerushalmi on Beitzah 1:1:9:2,14
Noam Yerushalmi on Beitzah 1:1:9:3,15
Noam Yerushalmi on Beitzah 1:1:9:4,16
Noam Yerushalmi on Beitzah 1:1:9:5,17
Noam Yerushalmi on Beitzah 1:1:9:6,18
Noam Yerushalmi on Beitzah 1:1:9:7,19
Noam Yerushalmi on Beitzah 1:1:9:8,20
Noam Yerushalmi on Beitzah 1:1:9:9,21
Noam Yerushalmi on Beitzah 1:1:11:1,23
Noam Yerushalmi on Beitzah 1:1:11:2,24
Noam Yerushalmi on Beitzah 1:1:11:3,25
Noam Yerushalmi on Beitzah 1:1:11:4,26
Noam Yerushalmi on Beitzah 1:3:2:1,29
Noam Yerushalmi on Beitzah 1:3:2:2,30
Noam Yerushalmi on Beitzah 1:3:2:3,31
Noam Yerushalmi on Beitzah 1:3:2:4,32
Noam Yerushalmi on Beitzah 1:3:2:5,33
Noam Yerushalmi on Beitzah 1:3:2:6,34
Noam Yerushalmi on Beitzah 1:3:2:7,35
Noam Yerushalmi on Beitzah 1:3:2:8,36
Noam Yerushalmi on Beitzah 1:3:2:9,37
Noam Yerushalmi on Beitzah 1:3:2:10,38
Noam Yerushalmi on Beitzah 1:3:2:11,39
Noam Yerushalmi on Beitzah 1:3:2:12,40
Noam Yerushalmi on Beitzah 1:3:2:13,41
Noam Yerushalmi on Beitzah 1:3:2:14,42
Noam Yerushalmi on Beitzah 1:3:2:15,43
Noam Yerushalmi on Beitzah 1:3:2:16,44
Noam Yerushalmi on Beitzah 1:3:2:17,45
Noam Yerushalmi on Beitzah 1:3:2:18,46
Noam Yerushalmi on Beitzah 1:3:2:19,47
Noam Yerushalmi on Beitzah 1:4:4:1,50
Noam Yerushalmi on Beitzah 1:4:4:2,51
Noam Yerushalmi on Beitzah 1:4:4:3,52
Noam Yerushalmi on Beitzah 1:4:4:4,53
Noam Yerushalmi on Beitzah 1:4:4:5,54
Noam Yerushalmi on Beitzah 1:4:4:6,55
Noam Yerushalmi on Beitzah 1:4:4:7,56
Noam Yerushalmi on Beitzah 1:5:2:1,59
Noam Yerushalmi on Beitzah 1:5:2:2,60
Noam Yerushalmi on Beitzah 1:5:2:3,61
Noam Yerushalmi on Beitzah 1:5:2:4,62
Noam Yerushalmi on Beitzah 1:5:3:1,64
Noam Yerushalmi on Beitzah 1:5:3:2,65
Noam Yerushalmi on Beitzah 1:5:3:3,66
Noam Yerushalmi on Beitzah 1:5:3:4,67
Noam Yerushalmi on Beitzah 1:5:3:5,68
Noam Yerushalmi on Beitzah 1:8:3:1,71
Noam Yerushalmi on Beitzah 1:8:3:2,72
Noam Yerushalmi on Beitzah 1:8:3:3,73
Noam Yerushalmi on Beitzah 1:10:2:1,76
Noam Yerushalmi on Beitzah 1:10:2:2,77
Noam Yerushalmi on Beitzah 1:10:4:1,79
Noam Yerushalmi on Beitzah 1:10:4:2,80
Noam Yerushalmi on Beitzah 1:10:4:3,81
Noam Yerushalmi on Beitzah 1:10:4:4,82
Noam Yerushalmi on Beitzah 1:11:2:1,85
Noam Yerushalmi on Beitzah 1:11:2:2,86
Noam Yerushalmi on Beitzah 2:1:3:1,90
Noam Yerushalmi on Beitzah 2:2:2:1,93
Noam Yerushalmi on Beitzah 2:2:4:1,95
Noam Yerushalmi on Beitzah 2:2:4:2,96
Noam Yerushalmi on Beitzah 2:3:2:1,99
Noam Yerushalmi on Beitzah 2:3:2:2,100
Noam Yerushalmi on Beitzah 2:3:2:3,101
Noam Yerushalmi on Beitzah 2:3:2:4,102
Noam Yerushalmi on Beitzah 3:4:2:1,106
Noam Yerushalmi on Beitzah 3:4:2:2,107
Noam Yerushalmi on Beitzah 3:4:2:3,108
Noam Yerushalmi on Beitzah 3:4:2:4,109
Noam Yerushalmi on Beitzah 3:4:2:5,110
Noam Yerushalmi on Beitzah 3:4:2:6,111
Noam Yerushalmi on Beitzah 3:4:2:7,112
Noam Yerushalmi on Beitzah 3:4:2:8,113
Noam Yerushalmi on Beitzah 3:4:2:9,114
Noam Yerushalmi on Beitzah 3:4:2:10,115
Noam Yerushalmi on Beitzah 3:4:2:11,116
Noam Yerushalmi on Beitzah 3:4:2:12,117
Noam Yerushalmi on Beitzah 3:4:2:13,118
Noam Yerushalmi on Beitzah 3:5:1:1,121
Noam Yerushalmi on Beitzah 4:1:3:1,125
Noam Yerushalmi on Beitzah 4:1:3:2,126
Noam Yerushalmi on Beitzah 4:3:2:1,129
Noam Yerushalmi on Beitzah 5:1:7:1,133
Noam Yerushalmi on Beitzah 5:1:7:2,134
Noam Yerushalmi on Beitzah 5:1:7:3,135
Noam Yerushalmi on Beitzah 5:2:5:1,138
Noam Yerushalmi on Beitzah 5:2:6:1,140
Noam Yerushalmi on Beitzah 5:2:6:2,141
Noam Yerushalmi on Beitzah 5:2:15:1,143
Noam Yerushalmi on Beitzah 5:2:15:2,144
Noam Yerushalmi on Beitzah 5:2:15:3,145
Noam Yerushalmi on Beitzah 5:2:15:4,146
Noam Yerushalmi on Beitzah 5:6:2:1,149
Noam Yerushalmi on Beitzah 5:8:2:1,152
