ref,line_index
Noam Yerushalmi on Rosh Hashanah 1:1:8:1,6
Noam Yerushalmi on Rosh Hashanah 1:1:8:2,7
Noam Yerushalmi on Rosh Hashanah 1:1:8:3,8
Noam Yerushalmi on Rosh Hashanah 1:1:8:4,9
Noam Yerushalmi on Rosh Hashanah 1:1:8:5,10
Noam Yerushalmi on Rosh Hashanah 1:1:8:6,11
Noam Yerushalmi on Rosh Hashanah 1:1:8:7,12
Noam Yerushalmi on Rosh Hashanah 1:1:8:8,13
Noam Yerushalmi on Rosh Hashanah 1:1:8:9,14
Noam Yerushalmi on Rosh Hashanah 1:1:8:10,15
Noam Yerushalmi on Rosh Hashanah 1:1:8:11,16
Noam Yerushalmi on Rosh Hashanah 1:1:8:12,17
Noam Yerushalmi on Rosh Hashanah 1:1:8:13,18
Noam Yerushalmi on Rosh Hashanah 1:1:8:14,19
Noam Yerushalmi on Rosh Hashanah 1:1:8:15,20
Noam Yerushalmi on Rosh Hashanah 1:1:8:16,21
Noam Yerushalmi on Rosh Hashanah 1:1:8:17,22
Noam Yerushalmi on Rosh Hashanah 1:1:8:18,23
Noam Yerushalmi on Rosh Hashanah 1:1:8:19,24
Noam Yerushalmi on Rosh Hashanah 1:1:8:20,25
Noam Yerushalmi on Rosh Hashanah 1:1:8:21,26
Noam Yerushalmi on Rosh Hashanah 1:1:8:22,27
Noam Yerushalmi on Rosh Hashanah 1:1:11:1,29
Noam Yerushalmi on Rosh Hashanah 1:1:11:2,30
Noam Yerushalmi on Rosh Hashanah 1:1:11:3,31
Noam Yerushalmi on Rosh Hashanah 1:1:11:4,32
Noam Yerushalmi on Rosh Hashanah 1:1:11:5,33
Noam Yerushalmi on Rosh Hashanah 1:1:11:6,34
Noam Yerushalmi on Rosh Hashanah 1:1:11:7,35
Noam Yerushalmi on Rosh Hashanah 1:1:11:8,36
Noam Yerushalmi on Rosh Hashanah 1:1:11:9,37
Noam Yerushalmi on Rosh Hashanah 1:1:11:10,38
Noam Yerushalmi on Rosh Hashanah 1:1:11:11,39
Noam Yerushalmi on Rosh Hashanah 1:1:11:12,40
Noam Yerushalmi on Rosh Hashanah 1:1:11:13,41
Noam Yerushalmi on Rosh Hashanah 1:1:11:14,42
Noam Yerushalmi on Rosh Hashanah 1:1:11:15,43
Noam Yerushalmi on Rosh Hashanah 1:1:11:16,44
