ref,line_index
Noam Yerushalmi on Shabbat 1:1:2:1,6
Noam Yerushalmi on Shabbat 1:1:2:2,7
Noam Yerushalmi on Shabbat 1:1:2:3,8
Noam Yerushalmi on Shabbat 1:1:2:4,9
Noam Yerushalmi on Shabbat 1:1:2:5,10
Noam Yerushalmi on Shabbat 1:1:2:6,11
Noam Yerushalmi on Shabbat 1:1:2:7,12
Noam Yerushalmi on Shabbat 1:1:2:8,13
Noam Yerushalmi on Shabbat 1:1:2:9,14
Noam Yerushalmi on Shabbat 1:1:2:10,15
Noam Yerushalmi on Shabbat 1:1:3:1,17
Noam Yerushalmi on Shabbat 1:1:3:2,18
Noam Yerushalmi on Shabbat 1:1:3:3,19
Noam Yerushalmi on Shabbat 1:1:3:4,20
Noam Yerushalmi on Shabbat 1:1:3:5,21
Noam Yerushalmi on Shabbat 1:1:3:6,22
Noam Yerushalmi on Shabbat 1:1:3:7,23
Noam Yerushalmi on Shabbat 1:1:3:8,24
Noam Yerushalmi on Shabbat 1:1:3:9,25
Noam Yerushalmi on Shabbat 1:1:3:10,26
Noam Yerushalmi on Shabbat 1:1:3:11,27
Noam Yerushalmi on Shabbat 1:1:3:12,28
Noam Yerushalmi on Shabbat 1:1:3:13,29
Noam Yerushalmi on Shabbat 1:1:3:14,30
Noam Yerushalmi on Shabbat 1:1:3:15,31
Noam Yerushalmi on Shabbat 1:1:3:16,32
Noam Yerushalmi on Shabbat 1:1:7:1,34
Noam Yerushalmi on Shabbat 1:1:7:2,35
Noam Yerushalmi on Shabbat 1:1:8:1,37
Noam Yerushalmi on Shabbat 1:1:8:2,38
Noam Yerushalmi on Shabbat 1:1:8:3,39
Noam Yerushalmi on Shabbat 1:1:8:4,40
Noam Yerushalmi on Shabbat 1:1:8:5,41
Noam Yerushalmi on Shabbat 1:1:8:6,42
Noam Yerushalmi on Shabbat 1:1:8:7,43
Noam Yerushalmi on Shabbat 1:1:8:8,44
Noam Yerushalmi on Shabbat 1:1:8:9,45
Noam Yerushalmi on Shabbat 1:1:8:10,46
Noam Yerushalmi on Shabbat 1:1:8:11,47
Noam Yerushalmi on Shabbat 1:1:8:12,48
Noam Yerushalmi on Shabbat 1:1:8:13,49
Noam Yerushalmi on Shabbat 1:1:8:14,50
Noam Yerushalmi on Shabbat 1:1:8:15,51
Noam Yerushalmi on Shabbat 1:1:8:16,52
Noam Yerushalmi on Shabbat 1:1:8:17,53
Noam Yerushalmi on Shabbat 1:1:8:18,54
Noam Yerushalmi on Shabbat 1:1:8:19,55
Noam Yerushalmi on Shabbat 1:1:8:20,56
Noam Yerushalmi on Shabbat 1:1:8:21,57
Noam Yerushalmi on Shabbat 1:1:8:22,58
Noam Yerushalmi on Shabbat 1:1:8:23,59
Noam Yerushalmi on Shabbat 1:1:8:24,60
Noam Yerushalmi on Shabbat 1:1:8:25,61
Noam Yerushalmi on Shabbat 1:1:8:26,62
Noam Yerushalmi on Shabbat 1:1:8:27,63
Noam Yerushalmi on Shabbat 1:1:8:28,64
