ref,line_index
Noam Yerushalmi on Bava Kamma 1:1:5:1,6
Noam Yerushalmi on Bava Kamma 1:1:5:2,7
Noam Yerushalmi on Bava Kamma 1:1:5:3,8
Noam Yerushalmi on Bava Kamma 1:1:5:4,9
Noam Yerushalmi on Bava Kamma 1:1:5:5,10
Noam Yerushalmi on Bava Kamma 1:1:5:6,11
Noam Yerushalmi on Bava Kamma 1:1:5:7,12
Noam Yerushalmi on Bava Kamma 1:1:5:8,13
Noam Yerushalmi on Bava Kamma 1:1:5:9,14
Noam Yerushalmi on Bava Kamma 1:1:5:10,15
Noam Yerushalmi on Bava Kamma 1:1:5:11,16
Noam Yerushalmi on Bava Kamma 1:1:5:12,17
Noam Yerushalmi on Bava Kamma 1:1:5:13,18
Noam Yerushalmi on Bava Kamma 1:1:5:14,19
Noam Yerushalmi on Bava Kamma 1:1:5:15,20
Noam Yerushalmi on Bava Kamma 1:1:5:16,21
Noam Yerushalmi on Bava Kamma 1:1:5:17,22
Noam Yerushalmi on Bava Kamma 1:1:5:18,23
Noam Yerushalmi on Bava Kamma 1:1:7:1,25
Noam Yerushalmi on Bava Kamma 1:1:7:2,26
Noam Yerushalmi on Bava Kamma 1:1:7:3,27
Noam Yerushalmi on Bava Kamma 1:1:7:4,28
Noam Yerushalmi on Bava Kamma 1:1:7:5,29
Noam Yerushalmi on Bava Kamma 1:1:7:6,30
Noam Yerushalmi on Bava Kamma 1:1:7:7,31
Noam Yerushalmi on Bava Kamma 1:1:8:1,33
Noam Yerushalmi on Bava Kamma 1:1:8:2,34
Noam Yerushalmi on Bava Kamma 1:1:8:3,35
Noam Yerushalmi on Bava Kamma 1:1:10:1,37
Noam Yerushalmi on Bava Kamma 1:1:10:2,38
Noam Yerushalmi on Bava Kamma 1:1:11:1,40
Noam Yerushalmi on Bava Kamma 1:1:11:2,41
Noam Yerushalmi on Bava Kamma 1:1:11:3,42
Noam Yerushalmi on Bava Kamma 1:1:11:4,43
Noam Yerushalmi on Bava Kamma 1:1:11:5,44
Noam Yerushalmi on Bava Kamma 1:1:11:6,45
Noam Yerushalmi on Bava Kamma 1:2:2:1,48
Noam Yerushalmi on Bava Kamma 1:2:2:2,49
Noam Yerushalmi on Bava Kamma 1:2:2:3,50
Noam Yerushalmi on Bava Kamma 1:2:2:4,51
Noam Yerushalmi on Bava Kamma 1:2:4:1,53
Noam Yerushalmi on Bava Kamma 1:2:4:2,54
Noam Yerushalmi on Bava Kamma 1:2:4:3,55
Noam Yerushalmi on Bava Kamma 1:2:4:4,56
Noam Yerushalmi on Bava Kamma 1:2:4:5,57
Noam Yerushalmi on Bava Kamma 1:2:5:1,59
Noam Yerushalmi on Bava Kamma 1:2:5:2,60
Noam Yerushalmi on Bava Kamma 1:2:6:1,62
Noam Yerushalmi on Bava Kamma 1:2:6:2,63
Noam Yerushalmi on Bava Kamma 1:2:6:3,64
Noam Yerushalmi on Bava Kamma 1:2:6:4,65
Noam Yerushalmi on Bava Kamma 1:2:6:5,66
Noam Yerushalmi on Bava Kamma 2:1:2:1,70
Noam Yerushalmi on Bava Kamma 2:1:2:2,71
Noam Yerushalmi on Bava Kamma 2:1:2:3,72
Noam Yerushalmi on Bava Kamma 2:1:2:4,73
Noam Yerushalmi on Bava Kamma 2:1:4:1,75
Noam Yerushalmi on Bava Kamma 2:1:4:2,76
Noam Yerushalmi on Bava Kamma 2:1:4:3,77
Noam Yerushalmi on Bava Kamma 2:1:4:4,78
Noam Yerushalmi on Bava Kamma 2:1:4:5,79
Noam Yerushalmi on Bava Kamma 2:1:5:1,81
Noam Yerushalmi on Bava Kamma 2:1:5:2,82
Noam Yerushalmi on Bava Kamma 2:1:6:1,84
Noam Yerushalmi on Bava Kamma 2:2:1:1,87
Noam Yerushalmi on Bava Kamma 2:2:1:2,88
Noam Yerushalmi on Bava Kamma 2:2:1:3,89
Noam Yerushalmi on Bava Kamma 2:2:2:1,91
Noam Yerushalmi on Bava Kamma 2:3:2:1,94
Noam Yerushalmi on Bava Kamma 2:3:2:2,95
Noam Yerushalmi on Bava Kamma 2:3:2:3,96
Noam Yerushalmi on Bava Kamma 2:3:2:4,97
Noam Yerushalmi on Bava Kamma 2:5:3:1,100
Noam Yerushalmi on Bava Kamma 2:5:3:2,101
Noam Yerushalmi on Bava Kamma 2:5:3:3,102
Noam Yerushalmi on Bava Kamma 2:5:3:4,103
Noam Yerushalmi on Bava Kamma 2:5:3:5,104
Noam Yerushalmi on Bava Kamma 2:5:3:6,105
Noam Yerushalmi on Bava Kamma 2:5:3:7,106
Noam Yerushalmi on Bava Kamma 2:5:3:8,107
Noam Yerushalmi on Bava Kamma 2:5:3:9,108
Noam Yerushalmi on Bava Kamma 2:5:3:10,109
Noam Yerushalmi on Bava Kamma 2:5:3:11,110
Noam Yerushalmi on Bava Kamma 2:6:2:1,113
Noam Yerushalmi on Bava Kamma 3:1:8:1,117
Noam Yerushalmi on Bava Kamma 3:2:2:1,120
Noam Yerushalmi on Bava Kamma 3:2:2:2,121
Noam Yerushalmi on Bava Kamma 3:2:2:3,122
Noam Yerushalmi on Bava Kamma 3:2:2:4,123
Noam Yerushalmi on Bava Kamma 3:3:2:1,126
Noam Yerushalmi on Bava Kamma 3:3:4:1,128
Noam Yerushalmi on Bava Kamma 3:4:2:1,131
Noam Yerushalmi on Bava Kamma 3:4:2:2,132
Noam Yerushalmi on Bava Kamma 3:4:2:3,133
Noam Yerushalmi on Bava Kamma 3:4:2:4,134
Noam Yerushalmi on Bava Kamma 3:4:2:5,135
Noam Yerushalmi on Bava Kamma 3:4:2:6,136
Noam Yerushalmi on Bava Kamma 3:4:5:1,138
Noam Yerushalmi on Bava Kamma 3:4:5:2,139
Noam Yerushalmi on Bava Kamma 3:4:5:3,140
Noam Yerushalmi on Bava Kamma 3:4:5:4,141
Noam Yerushalmi on Bava Kamma 3:4:5:5,142
Noam Yerushalmi on Bava Kamma 3:4:5:6,143
Noam Yerushalmi on Bava Kamma 3:4:5:7,144
Noam Yerushalmi on Bava Kamma 3:4:5:8,145
Noam Yerushalmi on Bava Kamma 3:4:5:9,146
Noam Yerushalmi on Bava Kamma 3:4:5:10,147
Noam Yerushalmi on Bava Kamma 3:4:5:11,148
Noam Yerushalmi on Bava Kamma 3:4:5:12,149
Noam Yerushalmi on Bava Kamma 3:4:5:13,150
Noam Yerushalmi on Bava Kamma 3:4:5:14,151
Noam Yerushalmi on Bava Kamma 3:4:5:15,152
Noam Yerushalmi on Bava Kamma 3:4:5:16,153
Noam Yerushalmi on Bava Kamma 3:4:5:17,154
Noam Yerushalmi on Bava Kamma 3:4:5:18,155
Noam Yerushalmi on Bava Kamma 3:4:5:19,156
Noam Yerushalmi on Bava Kamma 3:9:2:1,159
Noam Yerushalmi on Bava Kamma 3:11:2:1,162
Noam Yerushalmi on Bava Kamma 3:11:2:2,163
Noam Yerushalmi on Bava Kamma 3:11:2:3,164
Noam Yerushalmi on Bava Kamma 3:11:2:4,165
Noam Yerushalmi on Bava Kamma 3:11:2:5,166
Noam Yerushalmi on Bava Kamma 3:11:2:6,167
Noam Yerushalmi on Bava Kamma 3:11:2:7,168
Noam Yerushalmi on Bava Kamma 3:11:2:8,169
Noam Yerushalmi on Bava Kamma 3:11:2:9,170
Noam Yerushalmi on Bava Kamma 4:1:2:1,174
Noam Yerushalmi on Bava Kamma 4:1:3:1,176
Noam Yerushalmi on Bava Kamma 4:1:3:2,177
Noam Yerushalmi on Bava Kamma 4:1:3:3,178
Noam Yerushalmi on Bava Kamma 4:1:3:4,179
Noam Yerushalmi on Bava Kamma 4:1:3:5,180
Noam Yerushalmi on Bava Kamma 4:1:3:6,181
Noam Yerushalmi on Bava Kamma 4:1:3:7,182
Noam Yerushalmi on Bava Kamma 4:1:3:8,183
Noam Yerushalmi on Bava Kamma 4:1:3:9,184
Noam Yerushalmi on Bava Kamma 4:1:3:10,185
Noam Yerushalmi on Bava Kamma 4:1:5:1,187
Noam Yerushalmi on Bava Kamma 4:1:5:2,188
