ref,line_index
Noam Yerushalmi on Horayot 1:1:3:1,6
Noam Yerushalmi on Horayot 1:1:6:1,8
Noam Yerushalmi on Horayot 1:1:7:1,10
Noam Yerushalmi on Horayot 1:1:7:2,11
Noam Yerushalmi on Horayot 1:1:7:3,12
Noam Yerushalmi on Horayot 1:1:7:4,13
Noam Yerushalmi on Horayot 1:1:7:5,14
Noam Yerushalmi on Horayot 1:1:8:1,16
Noam Yerushalmi on Horayot 1:1:8:2,17
Noam Yerushalmi on Horayot 1:1:8:3,18
Noam Yerushalmi on Horayot 1:1:8:4,19
Noam Yerushalmi on Horayot 1:1:8:5,20
Noam Yerushalmi on Horayot 1:1:8:6,21
Noam Yerushalmi on Horayot 1:1:8:7,22
Noam Yerushalmi on Horayot 1:1:10:1,24
Noam Yerushalmi on Horayot 1:2:2:1,27
Noam Yerushalmi on Horayot 1:2:3:1,29
Noam Yerushalmi on Horayot 1:2:4:1,31
Noam Yerushalmi on Horayot 1:2:4:2,32
Noam Yerushalmi on Horayot 1:2:4:3,33
Noam Yerushalmi on Horayot 1:2:5:1,35
Noam Yerushalmi on Horayot 1:2:5:2,36
Noam Yerushalmi on Horayot 1:2:5:3,37
Noam Yerushalmi on Horayot 1:2:5:4,38
Noam Yerushalmi on Horayot 1:2:5:5,39
Noam Yerushalmi on Horayot 1:2:8:1,41
Noam Yerushalmi on Horayot 1:3:3:1,44
Noam Yerushalmi on Horayot 1:3:3:2,45
Noam Yerushalmi on Horayot 1:3:3:3,46
Noam Yerushalmi on Horayot 1:3:3:4,47
Noam Yerushalmi on Horayot 1:3:3:5,48
Noam Yerushalmi on Horayot 1:3:3:6,49
Noam Yerushalmi on Horayot 1:4:2:1,52
Noam Yerushalmi on Horayot 1:4:2:2,53
Noam Yerushalmi on Horayot 1:4:2:3,54
Noam Yerushalmi on Horayot 1:4:2:4,55
Noam Yerushalmi on Horayot 1:4:2:5,56
Noam Yerushalmi on Horayot 1:5:2:1,59
Noam Yerushalmi on Horayot 1:5:2:2,60
Noam Yerushalmi on Horayot 1:5:2:3,61
Noam Yerushalmi on Horayot 1:7:2:1,64
Noam Yerushalmi on Horayot 1:8:2:1,67
Noam Yerushalmi on Horayot 1:8:3:1,69
Noam Yerushalmi on Horayot 1:8:3:2,70
Noam Yerushalmi on Horayot 1:8:3:3,71
Noam Yerushalmi on Horayot 1:8:4:1,73
Noam Yerushalmi on Horayot 1:8:4:2,74
Noam Yerushalmi on Horayot 1:8:4:3,75
Noam Yerushalmi on Horayot 1:8:4:4,76
Noam Yerushalmi on Horayot 1:8:4:5,77
Noam Yerushalmi on Horayot 1:8:4:6,78
Noam Yerushalmi on Horayot 1:8:4:7,79
Noam Yerushalmi on Horayot 2:3:2:1,83
Noam Yerushalmi on Horayot 2:3:2:2,84
Noam Yerushalmi on Horayot 2:3:2:3,85
Noam Yerushalmi on Horayot 2:3:3:1,87
Noam Yerushalmi on Horayot 2:3:3:2,88
Noam Yerushalmi on Horayot 2:4:2:1,91
Noam Yerushalmi on Horayot 2:4:2:2,92
Noam Yerushalmi on Horayot 2:4:2:3,93
Noam Yerushalmi on Horayot 2:4:2:4,94
Noam Yerushalmi on Horayot 2:6:2:1,97
Noam Yerushalmi on Horayot 2:6:2:2,98
Noam Yerushalmi on Horayot 2:6:2:3,99
Noam Yerushalmi on Horayot 2:7:4:1,102
Noam Yerushalmi on Horayot 2:7:4:2,103
Noam Yerushalmi on Horayot 2:7:4:3,104
Noam Yerushalmi on Horayot 2:7:4:4,105
Noam Yerushalmi on Horayot 2:7:4:5,106
Noam Yerushalmi on Horayot 2:7:4:6,107
Noam Yerushalmi on Horayot 3:2:2:1,111
Noam Yerushalmi on Horayot 3:2:2:2,112
Noam Yerushalmi on Horayot 3:2:3:1,114
Noam Yerushalmi on Horayot 3:2:3:2,115
Noam Yerushalmi on Horayot 3:2:3:3,116
Noam Yerushalmi on Horayot 3:2:3:4,117
Noam Yerushalmi on Horayot 3:2:3:5,118
Noam Yerushalmi on Horayot 3:2:3:6,119
Noam Yerushalmi on Horayot 3:2:4:1,121
Noam Yerushalmi on Horayot 3:2:4:2,122
Noam Yerushalmi on Horayot 3:2:4:3,123
Noam Yerushalmi on Horayot 3:2:5:1,125
Noam Yerushalmi on Horayot 3:2:7:1,127
Noam Yerushalmi on Horayot 3:2:7:2,128
Noam Yerushalmi on Horayot 3:2:7:3,129
Noam Yerushalmi on Horayot 3:2:10:1,131
Noam Yerushalmi on Horayot 3:2:10:2,132
Noam Yerushalmi on Horayot 3:2:11:1,134
Noam Yerushalmi on Horayot 3:2:11:2,135
Noam Yerushalmi on Horayot 3:2:11:3,136
Noam Yerushalmi on Horayot 3:2:13:1,138
Noam Yerushalmi on Horayot 3:2:13:2,139
Noam Yerushalmi on Horayot 3:2:13:3,140
Noam Yerushalmi on Horayot 3:2:13:4,141
Noam Yerushalmi on Horayot 3:2:13:5,142
Noam Yerushalmi on Horayot 3:2:13:6,143
Noam Yerushalmi on Horayot 3:2:13:7,144
Noam Yerushalmi on Horayot 3:2:15:1,146
Noam Yerushalmi on Horayot 3:2:15:2,147
Noam Yerushalmi on Horayot 3:2:35:1,149
Noam Yerushalmi on Horayot 3:4:2:1,152
Noam Yerushalmi on Horayot 3:4:2:2,153
Noam Yerushalmi on Horayot 3:4:2:3,154
Noam Yerushalmi on Horayot 3:4:2:4,155
Noam Yerushalmi on Horayot 3:4:2:5,156
Noam Yerushalmi on Horayot 3:4:2:6,157
Noam Yerushalmi on Horayot 3:4:2:7,158
Noam Yerushalmi on Horayot 3:4:2:8,159
Noam Yerushalmi on Horayot 3:4:2:9,160
Noam Yerushalmi on Horayot 3:4:2:10,161
Noam Yerushalmi on Horayot 3:4:2:11,162
Noam Yerushalmi on Horayot 3:4:2:12,163
Noam Yerushalmi on Horayot 3:4:2:13,164
Noam Yerushalmi on Horayot 3:4:2:14,165
Noam Yerushalmi on Horayot 3:4:2:15,166
Noam Yerushalmi on Horayot 3:4:2:16,167
Noam Yerushalmi on Horayot 3:4:2:17,168
Noam Yerushalmi on Horayot 3:4:2:18,169
